"",ML1,ML2,ML3
Menstrual_disorders,0,0.678,0
Anxiety_disorders,0,0.548,0
Dyspareunia,0,0.455,0
Miscellaneous_mental_health_disorders,0,0.395,0
Depression_and_Mood_disorders,0,0.354,0
Thyroid_disorders,0,0.345,0
Allergic_rhinitis,0,0.323,0
Nonmalignant_breast_conditions,0,0.303,0.453
Headache__including_migraine,0,0.303,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0.658
Other_acquired_deformities,0,0,0.357
Asthma,0,0,0
Atopic_dermatitis,0,0,0
Disorders_of_lipid_metabolism,0.433,0,0
Esophageal_disorders,0,0,0
Female_infertility,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hypertension,0.665,0,0
Neuropathy_and_other_nervous_system_disorders,0.625,0,0
Obesity,0.622,0,0
Psoriasis_and_other_inflammatory,0,0,0
Urinary_incontinence,0.777,0,0
Vision_defects,0,0,0
