"",ML3,ML4,ML1,ML2
Hepatitis,0,0.807,0,0
Adictions,0,0.767,0,0
Anxiety_disorders,0.376,0.466,0,0
Depression_and_Mood_disorders,0,0.442,0.334,0
Alcohol-related_disorders,0,0.426,0,0
Menstrual_disorders,0,0.354,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.325,0,0
Adjustment_disorders,0,0,1.02,0
Miscellaneous_mental_health_disorders,0.383,0,0.42,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.326,0,0.303,0.3
Diseases_of_white_blood_cells,0,0,0,1.002
Obesity,0.398,0,0,0.342
Esophageal_disorders,0,0,0,0.331
Headache__including_migraine,0,0,0,0.3
Allergic_rhinitis,0.383,0,0,0
Asthma,0.38,0,0,0
Atopic_dermatitis,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0
Hypertension,0,0,0,0
Other_acquired_deformities,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Thyroid_disorders,0.437,0,0,0
Urinary_incontinence,0.872,0,0,0
Vision_defects,0.308,0,0,0
