"",ML4,ML10,ML8,ML7,ML1,ML9,ML5,ML2,ML6,ML3
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.956,0,0,0,0,0,0,0,0
Obesity,0,0.39,0,0,0,0,0.3,0,0,0
Hepatitis,0,0.312,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.311,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0.983,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0.409,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,1.018,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0.943,0,0,0,0,0
Adictions,0.315,0,0,0,0.34,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0.326,0,0,0,0,0
Adjustment_disorders,0,0,0,0,0,0.901,0,0,0,0
Miscellaneous_mental_health_disorders,0.316,0,0,0,0,0.343,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0.992,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0.432,0,0,0
Diseases_of_white_blood_cells,0,0,0,0,0,0,0,0.907,0,0
Asthma,0,0,0,0,0,0,0,0,0.922,0
Other_acquired_deformities,0,0,0,0,0,0,0,0,0.34,0
Vision_defects,0,0,0,0,0,0,0,0,0,0.975
Alcohol-related_disorders,0.933,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0
Atopic_dermatitis,0.398,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0
Menstrual_disorders,0.431,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
