"",ML3,ML2,ML1
Adictions,0,0.901,0
Depression_and_Mood_disorders,0.434,0.374,0
Hepatitis,0,0,0.941
Allergic_rhinitis,0.441,0,0
Anxiety_disorders,0.602,0,0
Asthma,0.359,0,0
Atopic_dermatitis,0,0,0
Disorders_of_lipid_metabolism,0.567,0,0
Headache__including_migraine,0.51,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.591,0,0
Hypertension,0,0,0
Menstrual_disorders,0.524,0,0
Miscellaneous_mental_health_disorders,0.553,0,0
Obesity,0.444,0,0
Thyroid_disorders,0.41,0,0
Vision_defects,0,0,0
