"",ML7,ML1,ML6,ML2,ML5,ML4,ML3
Hepatitis,0,0.995,0,0,0,0,0
Adictions,0.668,0.396,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0.996,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.319,0,0,0,0
Asthma,0,0,0.316,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0.968,0,0,0
Obesity,0,0,0,0,0.969,0,0
Hypertension,0,0,0,0,0.408,0,0
Vision_defects,0,0,0,0,0,0.996,0
Atopic_dermatitis,0,0,0,0,0,0,0.966
Allergic_rhinitis,0.338,0,0,0,0,0,0
Anxiety_disorders,0.532,0,0,0,0,0,0
Depression_and_Mood_disorders,0.752,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0
Menstrual_disorders,0.359,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
