"",ML12,ML6,ML13,ML4,ML10,ML2,ML7,ML11,ML15,ML5,ML8,ML9,ML1,ML3,ML14
Menopausal_disorders,-0.018,0.878,-0.019,-0.001,0.088,0.051,-0.135,-0.018,-0.003,0.038,-0.12,-0.112,-0.115,-0.031,-0.011
Osteoporosis,-0.17,0.294,0.022,-0.026,0.15,0.097,-0.045,0.014,0.246,0.248,-0.041,-0.066,0.009,0.03,0.081
Disorders_of_lipid_metabolism,0.076,0.286,0.349,-0.196,-0.048,-0.049,0.09,0.06,0.104,0.06,0.111,0.103,0.076,0.07,0.127
Depression_and_Mood_disorders,0.222,0.272,-0.05,0.214,0.136,0.009,0.008,0.044,0.126,0.058,0.184,0.003,0.113,0.055,0.002
Osteoarthritis,0.086,0.24,0.233,-0.009,0.125,0.019,0.188,-0.008,0.212,0.093,-0.01,0.058,-0.007,-0.101,-0.084
Psoriasis_and_other_inflammatory,0.099,0.239,-0.055,0.038,-0.164,-0.065,0.131,0.197,-0.006,0.031,0.165,0.104,-0.058,0.145,0.04
Miscellaneous_mental_health_disorders,0.388,0.221,0.072,-0.004,0.074,0,-0.004,0.017,-0.25,0.074,0.1,0.099,0.09,0.039,-0.016
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.168,0.211,0.083,-0.063,0.098,-0.054,0.12,0.014,0.21,-0.007,0.166,0.032,0.128,0.035,-0.045
Neuropathy_and_other_nervous_system_disorders,0.296,0.208,0.045,0.05,0.07,-0.146,0.057,0.004,0.15,-0.008,0.041,-0.006,0.142,-0.206,0.151
Adjustment_disorders,0.229,0.198,0.149,0.155,0.12,-0.189,0.112,0.148,0.035,-0.032,0.021,0.035,-0.086,0.169,-0.159
Headache__including_migraine,0.471,0.189,0.042,0.098,-0.062,0.091,0.075,-0.043,-0.063,0.066,0.034,0.077,0.066,0.003,-0.062
Cataract,-0.198,0.182,0.154,-0.174,0.118,-0.023,0.217,0.071,0.316,0.117,0.063,0.071,-0.101,-0.02,0.006
Anxiety_disorders,0.391,0.182,0.022,0.29,-0.031,0.04,0.012,-0.017,0.056,0.113,0.055,0.098,0.134,-0.007,-0.027
Asthma,0.252,0.171,-0.206,0.048,0.05,0.092,0.107,-0.121,0.152,0.031,-0.013,0.021,0.057,0.143,0.065
Vision_defects,0.23,0.151,0.059,0.056,0.1,-0.023,0.076,-0.062,0.091,0.057,0,0.137,0.052,0.047,-0.001
Glaucoma,0.039,0.143,0.096,-0.197,0.072,0.031,0.004,0.183,0.198,0.065,0.151,0.066,0.002,0.079,-0.092
Allergic_rhinitis,0.411,0.13,-0.186,-0.161,0.036,-0.006,0.136,0.11,-0.13,-0.009,0.043,0.146,0.081,0.092,-0.068
Esophageal_disorders,0.243,0.117,-0.014,-0.059,0.076,-0.047,0.077,0.028,-0.047,0.068,0.052,0.086,0.085,-0.016,0.224
Obesity,0.131,0.115,0.281,-0.057,0.119,0.11,-0.09,0.087,-0.151,0.162,0.08,0.045,0.055,0.1,0.155
Hypertension,0.108,0.113,0.44,-0.064,-0.047,0.374,0.252,-0.094,-0.029,0.039,0.01,0.013,0.033,-0.062,0.16
Ischemic_heart_disease,-0.23,0.113,0.284,0.034,-0.167,0.235,0.07,0.176,0.155,0.03,0.126,-0.003,-0.038,0.164,-0.012
Neoplasms,-0.118,0.113,0.1,-0.005,0.061,0.079,0.002,0.055,0.237,0.032,0.003,-0.134,0.075,0.038,-0.014
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.085,0.099,0.019,0.15,0.292,0.049,0.193,0.007,0.19,0.081,0.054,0.107,-0.099,-0.169,-0.145
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.24,0.055,0.148,0.04,0.068,-0.083,0.04,0.104,0.262,-0.027,0.023,0.165,0.039,0.017,-0.031
Hepatitis,0.037,0.048,0.084,0.487,-0.105,-0.041,-0.04,0.003,0.002,0.051,0.058,0.042,-0.013,-0.113,0.301
Congestive_heart_failure__nonhypertensive,0.021,0.021,-0.002,0.005,0.039,0.952,0.017,0.059,0.009,-0.027,0.011,0.018,0.015,0.003,-0.016
Urinary_incontinence,-0.016,0.018,0.001,0.005,0.98,0.02,0.012,-0.001,-0.023,0.011,0.005,0.001,0.005,0.021,0.037
Diabetes,-0.064,0.005,0.486,-0.119,0.135,0.074,0.021,0.063,-0.046,0.052,0.101,0.098,0.009,-0.016,0.227
Adictions,-0.013,-0.009,-0.001,0.984,0.022,0.007,-0.006,0.034,0.004,-0.026,0.001,0.025,0.018,0.002,0.017
Atopic_dermatitis,0.009,-0.014,0.012,-0.01,0.017,0,0.01,-0.026,0.009,-0.009,-0.05,0.027,0.024,0.977,0.011
Coagulation_and_hemorrhagic_disorders,-0.009,-0.016,-0.026,0.032,-0.01,0.023,0.008,0.997,-0.026,0.013,-0.008,-0.026,0.005,-0.023,0.017
