"",ML9,ML2,ML6,ML1,ML10,ML12,ML3,ML8,ML5,ML7,ML4,ML11
Menopausal_disorders,0.007,0.957,0.004,-0.009,0.041,-0.003,0.01,0.028,0.066,-0.108,-0.036,-0.019
Osteoporosis,0.032,0.367,-0.052,0.029,-0.095,0.301,-0.057,0.099,0.176,-0.009,0.029,0.039
Osteoarthritis,0.18,0.257,-0.004,0.209,0.074,0.14,0.009,0.002,0.116,0.174,-0.067,-0.095
Disorders_of_lipid_metabolism,0.425,0.225,-0.069,0.126,0.148,0.169,-0.154,-0.021,-0.042,0.101,0.073,0.077
Depression_and_Mood_disorders,0.003,0.193,0.066,0.012,0.244,0.258,0.239,0.012,0.133,0.016,0.021,0.041
Cataract,0.172,0.178,-0.13,0.185,-0.152,0.328,-0.142,-0.034,0.132,0.218,-0.019,-0.109
Neuropathy_and_other_nervous_system_disorders,0.087,0.16,0.119,-0.029,0.2,0.248,0.05,-0.113,0.084,0.057,-0.2,0.143
Asthma,-0.178,0.158,0.116,-0.089,0.211,0.248,0.014,0.066,0.063,0.069,0.157,0.104
Neoplasms,0.021,0.157,-0.063,0.144,-0.144,0.139,0.004,0.092,0.046,0.039,0.034,0.018
Adjustment_disorders,0.105,0.146,0.154,0.071,0.177,0.071,0.192,-0.153,0.108,0.131,0.154,-0.217
Psoriasis_and_other_inflammatory,0.081,0.138,0.026,0.075,0.146,0.126,0.122,-0.067,-0.163,0.152,0.114,-0.001
Anxiety_disorders,0.019,0.137,0.136,0.094,0.419,0.106,0.308,0.017,-0.036,-0.004,0.014,0.013
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.081,0.137,-0.028,0.082,0.189,0.251,-0.038,-0.035,0.092,0.119,0.017,0.005
Headache__including_migraine,0.054,0.136,0.225,0.031,0.467,-0.006,0.111,0.076,-0.064,0.055,0.016,-0.044
Miscellaneous_mental_health_disorders,0.16,0.129,0.15,-0.027,0.491,-0.111,0.03,0.004,0.076,-0.003,0.027,-0.03
Vision_defects,0.093,0.122,0.07,0.05,0.171,0.096,0.081,-0.043,0.108,0.05,0.091,-0.025
Hypertension,0.448,0.114,0.027,0.037,0.093,-0.017,-0.078,0.39,-0.036,0.23,-0.035,0.095
Thyroid_disorders,0.152,0.091,0.311,-0.065,0.082,0.278,-0.084,-0.063,0.103,0.118,0.022,-0.064
Obesity,0.371,0.081,0.103,0.105,0.153,-0.058,-0.013,0.115,0.122,-0.055,0.102,0.099
Esophageal_disorders,0.083,0.075,0.078,0.094,0.267,-0.005,-0.015,-0.068,0.083,0.078,-0.001,0.236
Ischemic_heart_disease,0.3,0.075,-0.147,0.11,-0.138,0.204,0.069,0.278,-0.166,0.101,0.126,-0.108
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.019,0.074,0.046,0.141,0.054,0.194,0.175,0.007,0.292,0.155,-0.156,-0.212
Glaucoma,0.124,0.064,0.016,0.1,0.036,0.317,-0.154,0.077,0.085,0.036,0.046,-0.156
Hepatitis,0.164,0.052,0.029,-0.007,0.01,0.033,0.494,-0.05,-0.092,-0.034,-0.11,0.296
Allergic_rhinitis,-0.123,0.027,0.124,-0.034,0.519,0.008,-0.138,0.019,0.049,0.124,0.078,-0.03
Urinary_incontinence,-0.011,0.027,-0.001,0.003,-0.012,-0.023,-0.001,0.028,0.985,0.011,0.012,0.025
Congestive_heart_failure__nonhypertensive,-0.001,0.019,0.006,0.029,0.019,0.008,0.006,0.967,0.046,-0.002,-0.001,-0.015
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.134,0.002,0.072,0.232,0.117,0.185,0.106,-0.076,0.064,0.03,0.056,-0.07
Adictions,-0.05,-0.004,-0.038,-0.059,-0.019,-0.011,0.985,0.011,0.018,-0.01,0.009,0.008
Cardiac_dysrhythmias,-0.014,-0.005,0.004,0.974,0.003,-0.008,-0.067,0.022,0.018,0.004,-0.051,0.024
Hepatic_steatosis_and_other_liver_diseases,0.182,-0.02,0.01,0.099,-0.106,-0.002,0.185,-0.015,0.145,0.089,0.055,0.531
Atopic_dermatitis,0.015,-0.023,0.02,-0.055,-0.011,0.011,0.001,-0.001,0.01,0.022,0.995,0.01
Menstrual_disorders,-0.019,-0.028,0.93,0.034,0.169,0.015,-0.02,0.008,0.031,-0.174,0.075,0.037
Diabetes,0.618,-0.046,-0.044,0.037,-0.076,0.028,-0.087,0.12,0.158,0.034,-0.012,0.094
Alcohol-related_disorders,-0.024,-0.081,0.071,0.043,0.002,0.155,0.124,-0.058,0.113,0.095,0.039,0.442
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.103,-0.083,0.004,0.161,-0.15,0.549,0.116,0.241,0.021,0.015,0.042,0.148
Coagulation_and_hemorrhagic_disorders,-0.036,-0.091,0.097,0.405,-0.018,0.03,0.194,0.194,-0.01,0.192,-0.084,-0.04
Hyperplasia_of_prostate,-0.003,-0.11,-0.093,0.033,0.04,-0.006,-0.013,0.024,0.038,0.933,0.027,0.023
Other_male_genital_disorders,-0.097,-0.148,-0.596,0.013,0.413,0.065,0.001,0.085,-0.013,-0.032,0.084,0.173
Chronic_kidney_disease,0.393,-0.154,0.024,0.185,-0.119,-0.018,0.06,0.227,0.169,0.095,0.024,-0.2
Inflammatory_conditions_of_male_genital_organs,0.178,-0.215,-0.521,0.136,0.313,0.075,0.1,-0.047,0.057,-0.224,0.16,-0.093
Sexual_disorders,0.268,-0.372,-0.087,-0.193,0.196,0.324,0.075,0.038,0.031,0.018,-0.296,0.024
