"",ML1,ML2,ML3
Menstrual_disorders,-0.185,0.809,0.015
Menopausal_disorders,0.223,0.65,-0.119
Headache__including_migraine,0.085,0.434,0.219
Miscellaneous_mental_health_disorders,0.073,0.419,0.164
Thyroid_disorders,0.296,0.395,-0.017
Anxiety_disorders,0.095,0.349,0.447
Allergic_rhinitis,0.033,0.314,0.047
Asthma,0.086,0.305,0.194
Depression_and_Mood_disorders,0.242,0.295,0.43
Urinary_incontinence,0.521,0.254,0.087
Neuropathy_and_other_nervous_system_disorders,0.199,0.25,0.262
Osteoporosis,0.497,0.249,-0.029
Vision_defects,0.222,0.226,0.123
Obesity,0.438,0.218,0.04
Esophageal_disorders,0.185,0.208,0.172
Osteoarthritis,0.602,0.182,-0.04
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.475,0.128,0.123
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.402,0.122,0.115
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.35,0.106,0.136
Disorders_of_lipid_metabolism,0.596,0.095,-0.021
Psoriasis_and_other_inflammatory,0.14,0.085,0.166
Hepatitis,-0.061,0.014,0.623
Hypertension,0.725,-0.016,0.003
Neoplasms,0.372,-0.018,-0.035
Cardiac_dysrhythmias,0.703,-0.019,-0.146
Alcohol-related_disorders,0.117,-0.028,0.433
Adictions,-0.189,-0.044,0.758
Cataract,0.708,-0.056,-0.169
Hepatic_steatosis_and_other_liver_diseases,0.278,-0.064,0.375
Congestive_heart_failure__nonhypertensive,0.658,-0.083,0.037
Coagulation_and_hemorrhagic_disorders,0.469,-0.098,0.107
Diabetes,0.655,-0.137,0.011
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.483,-0.145,0.304
Ischemic_heart_disease,0.591,-0.254,0.041
Sexual_disorders,0.187,-0.31,0.415
Other_male_genital_disorders,0.1,-0.433,0.321
