"",ML5,ML8,ML1,ML6,ML2,ML4,ML7,ML3
Hypertension,-0.004,0.629,0.009,-0.05,0.361,0.041,0.015,-0.029
Diabetes,0.1,0.616,-0.065,-0.007,0.114,-0.033,-0.045,0.002
Disorders_of_lipid_metabolism,0.138,0.524,-0.053,-0.117,-0.027,0.178,0.176,0.055
Obesity,-0.006,0.414,0.164,-0.016,0.133,0.098,0.129,0.101
Chronic_kidney_disease,0.267,0.326,-0.028,-0.035,0.279,-0.123,-0.094,0.021
Sexual_disorders,0.024,0.301,-0.061,0.211,-0.039,-0.357,0.277,-0.277
Hepatic_steatosis_and_other_liver_diseases,0.154,0.291,0.03,0.401,0.011,-0.092,-0.122,0.087
Ischemic_heart_disease,0.149,0.268,-0.233,0.045,0.292,0.038,-0.045,0.097
Hyperplasia_of_prostate,0.475,0.264,-0.216,-0.041,0.05,-0.312,-0.075,0.06
Osteoarthritis,0.381,0.232,-0.016,-0.045,0.044,0.236,0.077,-0.075
Hepatitis,-0.141,0.23,0.031,0.666,-0.055,0.018,-0.028,-0.098
Thyroid_disorders,0.289,0.193,0.296,-0.041,-0.105,0.084,0.057,0.027
Cataract,0.595,0.191,-0.2,-0.148,-0.011,0.145,-0.064,-0.022
Esophageal_disorders,0.118,0.177,0.166,0.056,-0.06,0.027,0.208,0.008
Neuropathy_and_other_nervous_system_disorders,0.184,0.17,0.159,0.173,-0.139,0.141,0.192,-0.188
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.29,0.165,0.003,0.008,-0.029,0.119,0.219,0.018
Alcohol-related_disorders,0.158,0.159,0.107,0.368,-0.053,-0.145,-0.02,0.069
Miscellaneous_mental_health_disorders,-0.063,0.156,0.268,-0.014,-0.01,0.146,0.401,0.03
Glaucoma,0.354,0.108,0.007,-0.176,0.087,0.081,0.125,0.03
Psoriasis_and_other_inflammatory,0.122,0.096,0.02,0.095,-0.059,0.069,0.144,0.09
Osteoporosis,0.331,0.093,-0.069,0.04,0.087,0.382,-0.036,0.045
Headache__including_migraine,-0.021,0.079,0.315,0.048,0.075,0.114,0.384,-0.001
Vision_defects,0.194,0.078,0.103,0.067,-0.026,0.129,0.176,0.091
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.366,0.061,0.097,0.059,-0.016,0,0.174,0.031
Urinary_incontinence,0.502,0.057,0.067,0.121,0.099,0.205,-0.019,0.117
Depression_and_Mood_disorders,0.227,0.048,0.119,0.336,0.015,0.209,0.252,0.034
Congestive_heart_failure__nonhypertensive,-0.013,0.04,0.008,0.013,0.985,0.031,0.01,0.009
Adjustment_disorders,0.303,0.036,0.158,0.091,-0.13,0.155,0.146,0.149
Inflammatory_conditions_of_male_genital_organs,0.024,0.028,-0.396,0.049,-0.006,-0.139,0.497,0.144
Anxiety_disorders,0.067,0.027,0.228,0.287,0.042,0.126,0.398,-0.004
Cardiac_dysrhythmias,0.52,0.026,0.056,-0.212,0.304,-0.04,0.055,-0.134
Menopausal_disorders,0.009,0.02,0.005,0.009,0.019,0.99,-0.01,-0.031
Neoplasms,0.281,0.02,-0.096,0.032,0.119,0.138,-0.106,0.032
Atopic_dermatitis,-0.013,0.017,0.029,0.003,0.003,-0.023,0.01,0.994
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.389,0.005,-0.027,0.27,0.281,-0.107,-0.003,0.031
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.515,-0.017,0.03,0.117,0.062,0.111,0.078,-0.143
Menstrual_disorders,-0.025,-0.018,0.992,-0.01,0.009,-0.001,0.001,0.053
Other_male_genital_disorders,-0.075,-0.02,-0.446,0.056,0.078,-0.167,0.528,0.093
Asthma,0.114,-0.035,0.164,0.111,0.037,0.139,0.194,0.172
Allergic_rhinitis,0.079,-0.048,0.247,-0.18,-0.007,-0.002,0.436,0.083
Coagulation_and_hemorrhagic_disorders,0.454,-0.092,0.077,0.084,0.312,-0.158,-0.013,-0.115
Adictions,0.002,-0.17,-0.06,0.871,0.043,0.008,0.022,0.019
