"",ML3,ML2,ML1,ML4
Diabetes,-0.018,0.833,0.012,-0.147
Hypertension,0.155,0.649,-0.134,0.156
Obesity,-0.071,0.629,0.156,0.186
Disorders_of_lipid_metabolism,0.273,0.425,-0.074,0.151
Urinary_incontinence,0.42,0.293,0.132,-0.165
Cataract,0.563,0.211,-0.219,-0.127
Osteoarthritis,0.564,0.115,-0.146,0.09
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.342,0.099,-0.022,0.077
Esophageal_disorders,0.21,0.095,0.023,0.253
Miscellaneous_mental_health_disorders,0.091,0.094,0.256,0.308
Headache__including_migraine,0.08,0.093,0.29,0.284
Thyroid_disorders,0.294,0.087,0.281,0.08
Depression_and_Mood_disorders,0.447,0.065,0.208,0.098
Vision_defects,0.25,0.059,0.106,0.13
Neuropathy_and_other_nervous_system_disorders,0.359,0.039,0.156,0.195
Menstrual_disorders,-0.006,0.004,0.915,0.026
Anxiety_disorders,0.223,0.003,0.261,0.3
Allergic_rhinitis,-0.056,-0.003,0.112,0.434
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.506,-0.006,-0.088,0.196
Asthma,0.067,-0.047,0.074,0.351
Menopausal_disorders,0.595,-0.116,0.318,0.011
