"",ML5,ML9,ML4,ML8,ML3,ML2,ML7,ML6,ML1
Cataract,-0.245,0.531,0.184,0.155,0.055,0.017,-0.165,0.08,-0.113
Osteoporosis,-0.063,0.456,-0.012,-0.037,0.289,0.127,-0.037,0.108,-0.02
Thyroid_disorders,0.351,0.447,-0.084,0.089,0.038,-0.022,-0.123,0.025,0.053
Urinary_incontinence,0.088,0.42,0.124,-0.075,0.156,0.121,0.032,0.194,0.011
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.005,0.371,0.235,0.117,0.059,0.033,0.233,-0.098,-0.094
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.032,0.351,0.161,-0.026,-0.179,0.26,0.253,0.084,0.006
Osteoarthritis,-0.016,0.275,0.257,0.225,0.211,0.032,0.008,-0.054,-0.005
Asthma,0.284,0.262,-0.11,-0.078,0.096,0.075,0.069,-0.012,0.186
Neoplasms,-0.098,0.238,0.123,-0.062,0.098,0.12,0.001,0.021,0.015
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.148,0.235,0.235,0.099,-0.012,-0.05,0.105,-0.027,0.111
Depression_and_Mood_disorders,0.22,0.232,0.056,0.114,0.193,0.007,0.364,-0.048,0.187
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.087,0.22,0.126,0.195,0.121,-0.029,0.021,0.009,0.187
Vision_defects,0.199,0.209,0.025,0.018,0.126,-0.017,0.018,0.086,0.176
Disorders_of_lipid_metabolism,0.018,0.119,0.128,0.469,0.191,0.004,-0.169,0.067,0.127
Neuropathy_and_other_nervous_system_disorders,0.202,0.116,0.041,0.186,0.198,-0.141,0.137,0.127,0.154
Sexual_disorders,-0.091,0.108,-0.082,0.527,-0.369,0,0.266,-0.024,-0.001
Diabetes,-0.082,0.096,0.055,0.484,-0.024,0.189,-0.147,0.2,-0.035
Esophageal_disorders,0.236,0.063,0.08,0.071,0.074,-0.078,-0.043,0.249,0.188
Ischemic_heart_disease,-0.269,0.062,0.103,0.371,-0.014,0.326,0.073,-0.047,-0.115
Allergic_rhinitis,0.372,0.057,-0.014,0.068,0.018,-0.002,-0.111,-0.076,0.252
Coagulation_and_hemorrhagic_disorders,0.008,0.052,0.438,-0.023,-0.136,0.211,0.167,0.057,-0.051
Alcohol-related_disorders,0.1,0.041,0.068,0.074,-0.117,-0.057,0.236,0.328,0.024
Menopausal_disorders,-0.021,0.031,-0.014,-0.014,0.98,0.018,0.034,-0.023,-0.098
Hypertension,0.017,0.026,0.059,0.444,0.066,0.439,-0.145,0.108,0.015
Obesity,0.226,0.021,0.07,0.296,0.114,0.152,-0.107,0.122,0.102
Psoriasis_and_other_inflammatory,0.068,0.014,0.074,0.191,0.083,-0.059,0.124,-0.009,0.062
Anxiety_disorders,0.344,0.002,0.114,0.127,0.163,-0.01,0.361,-0.051,0.238
Adictions,-0.047,-0.001,-0.099,-0.089,0.001,0.035,0.854,0.08,0.014
Hepatic_steatosis_and_other_liver_diseases,-0.008,-0.005,-0.001,-0.018,-0.021,-0.007,0.041,0.952,-0.002
Congestive_heart_failure__nonhypertensive,0.032,-0.012,0.025,-0.022,0.012,0.993,0.014,-0.005,0.03
Menstrual_disorders,0.942,-0.014,-0.002,-0.061,-0.011,0.02,-0.018,0.001,-0.232
Other_male_genital_disorders,-0.165,-0.018,0,-0.02,-0.121,0.038,0.007,0.014,0.928
Cardiac_dysrhythmias,-0.001,-0.023,1.003,-0.031,-0.012,0.009,-0.047,0.007,0.004
Headache__including_migraine,0.418,-0.062,0.041,0.161,0.164,0.05,0.105,-0.03,0.191
Miscellaneous_mental_health_disorders,0.381,-0.094,-0.018,0.216,0.209,-0.015,-0.008,0.064,0.222
Hepatitis,0.003,-0.148,0.018,0.171,0.062,-0.073,0.578,0.176,-0.041
