"",ML2,ML3,ML4,ML1
Menstrual_disorders,-0.158,0.802,-0.021,-0.357
Headache__including_migraine,0.077,0.537,0.062,0.14
Miscellaneous_mental_health_disorders,0.055,0.525,-0.016,0.173
Anxiety_disorders,0.108,0.473,0.302,0.18
Allergic_rhinitis,-0.012,0.453,-0.155,0.226
Thyroid_disorders,0.296,0.381,-0.075,-0.018
Menopausal_disorders,0.292,0.37,-0.033,-0.338
Asthma,0.088,0.365,0.084,0.109
Depression_and_Mood_disorders,0.275,0.353,0.321,0.115
Esophageal_disorders,0.172,0.314,0.026,0.154
Neuropathy_and_other_nervous_system_disorders,0.215,0.302,0.155,0.093
Obesity,0.415,0.289,-0.05,0.085
Vision_defects,0.214,0.279,0.051,0.11
Urinary_incontinence,0.549,0.187,0.1,-0.067
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.389,0.187,-0.001,0.16
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.346,0.169,0.08,0.089
Disorders_of_lipid_metabolism,0.574,0.142,-0.149,0.129
Psoriasis_and_other_inflammatory,0.149,0.128,0.101,0.056
Osteoarthritis,0.612,0.109,-0.035,-0.044
Osteoporosis,0.533,0.102,0.014,-0.109
Alcohol-related_disorders,0.155,0.07,0.334,0.051
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.52,0.046,0.181,-0.118
Hypertension,0.705,0.042,-0.068,0.055
Hepatitis,0.021,0.039,0.62,-0.031
Cardiac_dysrhythmias,0.673,0.005,-0.163,0.01
Hepatic_steatosis_and_other_liver_diseases,0.315,-0.006,0.342,0.018
Congestive_heart_failure__nonhypertensive,0.632,-0.011,0.042,0.042
Adictions,-0.105,-0.023,0.903,0
Other_male_genital_disorders,-0.035,-0.027,0.008,0.994
Coagulation_and_hemorrhagic_disorders,0.471,-0.055,0.143,-0.021
Neoplasms,0.377,-0.06,0.008,-0.024
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.509,-0.087,0.292,0.032
Diabetes,0.646,-0.095,-0.036,0.03
Sexual_disorders,0.206,-0.163,0.276,0.169
Cataract,0.732,-0.18,-0.119,-0.112
Ischemic_heart_disease,0.605,-0.267,0.074,-0.036
