"",ML8,ML5,ML6,ML3,ML2,ML7,ML1,ML4
Menstrual_disorders,-0.008,0.864,0.061,-0.08,-0.179,-0.099,-0.19,-0.173
Anxiety_disorders,0.001,0.483,-0.117,0.214,0.103,0.198,0.081,0.091
Headache__including_migraine,-0.027,0.469,-0.033,0.123,0.043,0.091,0.113,0.067
Miscellaneous_mental_health_disorders,0.016,0.459,0.001,0.076,-0.002,0.067,0.216,-0.036
Allergic_rhinitis,-0.217,0.372,-0.025,0.121,0.154,0.03,0.199,0.008
Thyroid_disorders,0.118,0.357,0.044,0.158,0.136,0.002,0.009,-0.019
Depression_and_Mood_disorders,0.246,0.353,-0.072,0.234,0.004,0.233,0.014,0.115
Neuropathy_and_other_nervous_system_disorders,0.124,0.323,-0.006,0.215,0.047,0.147,0.034,0.071
Asthma,0.039,0.297,-0.09,0.083,0.055,-0.051,0.127,0.053
Atopic_dermatitis,0.003,0.28,-0.055,0.089,0.143,-0.274,0.21,0.092
Esophageal_disorders,0.063,0.263,0.03,0.142,0.076,0.075,0.056,0.175
Vision_defects,0.034,0.227,0.032,0.231,0.092,0.076,0.038,0.11
Obesity,-0.137,0.22,0.551,0.152,0.075,0.011,0.032,0.108
Psoriasis_and_other_inflammatory,-0.132,0.177,0.235,0.07,0.102,0.138,-0.065,0.098
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.105,0.174,-0.034,0.328,0.298,0.086,0.018,0.142
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.448,0.16,-0.028,0.076,0.145,0.115,0.038,0.035
Urinary_incontinence,0.445,0.157,0.18,0.064,0.099,-0.038,-0.039,0.036
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.092,0.142,0.037,0.217,0.208,0.08,0.07,0.04
Cardiac_dysrhythmias,0.381,0.093,0.192,-0.03,0.113,-0.072,0.106,0.09
Osteoarthritis,0.25,0.044,0.105,0.27,0.277,0.063,0.013,0.018
Disorders_of_lipid_metabolism,0.007,0.038,0.368,0.333,0.188,0.197,0.016,0.063
Diabetes,0.205,0.029,0.673,-0.053,-0.05,-0.022,0.167,0.093
Glaucoma,0.377,0.023,0.157,0.073,0.164,-0.129,0.083,0.02
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.401,0.013,0.142,-0.078,0.081,0.184,0.01,0.045
Menopausal_disorders,0.078,0.001,0.058,0.898,-0.173,-0.083,-0.081,-0.114
Sexual_disorders,-0.015,-0.021,0.063,-0.142,-0.041,0.711,0.002,0.075
Hypertension,0.071,-0.029,0.598,0.207,0.204,0.107,-0.03,0.011
Neoplasms,0.379,-0.031,0.15,-0.111,0.06,0.03,-0.06,-0.018
Osteoporosis,0.557,-0.032,-0.14,0.31,-0.023,0.031,-0.021,-0.055
Inflammatory_conditions_of_male_genital_organs,-0.002,-0.042,0.027,-0.047,-0.037,0.001,0.993,-0.004
Alcohol-related_disorders,0.056,-0.048,-0.006,0,-0.017,0.453,0.172,-0.158
Ischemic_heart_disease,0.269,-0.051,0.351,-0.083,0.051,0.115,-0.032,0.039
Other_male_genital_disorders,-0.001,-0.057,0.017,-0.056,-0.047,-0.004,-0.007,0.995
Cataract,0.692,-0.078,0.096,0.007,0.089,-0.002,0.012,-0.003
Hyperplasia_of_prostate,0.056,-0.079,0.033,-0.128,0.953,-0.012,-0.02,-0.031
Gout,0.067,-0.216,0.484,-0.116,0.004,0.245,-0.029,-0.127
