"",ML9,ML10,ML6,ML11,ML7,ML12,ML3,ML2,ML8,ML5,ML1,ML4
Menopausal_disorders,-0.028,0.891,-0.164,0.03,0.046,0.033,-0.059,0.055,-0.118,-0.082,-0.073,-0.012
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.18,0.331,0.286,-0.058,0.055,0.072,-0.011,0.045,0.144,0.07,0.014,0.044
Disorders_of_lipid_metabolism,0.063,0.281,0.21,0.306,0.164,-0.12,0.159,0.016,0.071,0.151,-0.001,0.037
Vision_defects,0.249,0.264,0.051,-0.084,-0.076,0.122,0.051,0.072,0.125,0.044,0.026,0.092
Osteoarthritis,0.073,0.257,0.283,0.029,0.198,0.11,0.13,0.028,0.03,0.032,0.015,0.009
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.102,0.244,0.19,0.062,-0.057,0.077,-0.081,0.147,0.015,0.106,0.064,0.004
Depression_and_Mood_disorders,0.309,0.228,0.011,0.024,0.121,0.027,-0.044,0.151,0.139,0.057,-0.022,0.211
Hypertension,0.01,0.221,0.232,0.403,0.032,0.088,0.189,0.017,0.026,0.072,-0.041,0.039
Neuropathy_and_other_nervous_system_disorders,0.324,0.209,0.048,-0.009,0.123,0.026,0.032,0.029,0.077,0.096,0.031,0.015
Anxiety_disorders,0.504,0.186,0.076,-0.138,0.095,-0.004,0.017,-0.001,0.119,0.091,0.069,0.099
Obesity,0.251,0.133,0.109,0.453,0.008,-0.099,0.105,-0.066,0.116,-0.002,0.01,0.026
Esophageal_disorders,0.294,0.128,0.082,-0.001,0.137,0.029,0.036,-0.077,0.179,0.082,0.057,-0.011
Urinary_incontinence,0.116,0.115,0.076,0.127,0.04,0.244,0.1,0.299,0.017,-0.022,-0.041,-0.045
Thyroid_disorders,0.361,0.109,0.137,0.074,0.213,-0.015,0.023,-0.014,-0.03,0.03,0.01,-0.064
Glaucoma,0.035,0.108,0.175,0.123,0.157,0.306,0.032,-0.032,-0.009,0.001,0.1,-0.112
Headache__including_migraine,0.442,0.106,0.043,0.026,0.04,-0.07,-0.104,0.039,0.058,0.078,0.103,0.011
Cataract,-0.107,0.102,0.115,0.086,0.165,0.473,0.049,0.125,-0.022,0.029,0.028,-0.051
Allergic_rhinitis,0.44,0.093,0.113,-0.177,0.014,-0.114,0.141,-0.053,0.016,0.067,0.215,-0.097
Miscellaneous_mental_health_disorders,0.434,0.088,0,0.016,0.008,-0.017,-0.033,0.065,-0.045,0.043,0.226,-0.088
Asthma,0.314,0.059,0.037,-0.132,0.083,0.036,-0.01,0.004,0.061,-0.046,0.137,-0.045
Psoriasis_and_other_inflammatory,0.188,0.044,0.105,0.196,-0.009,-0.168,0.1,0.045,0.112,0.062,-0.092,0.087
Atopic_dermatitis,0.301,0.039,0.108,-0.078,0.087,-0.054,0.025,0.029,0.079,-0.172,0.214,-0.099
Cardiac_dysrhythmias,0.141,0.038,0.073,0.012,0.042,0.471,0.107,0.01,0.087,0.019,0.112,-0.004
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.004,-0.003,0.015,-0.011,0.008,-0.018,0.013,0.994,0.012,0.009,0.013,0.002
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.051,-0.009,0.082,0.032,0.076,0.407,0.132,-0.01,0.091,0.042,-0.004,0.189
Alcohol-related_disorders,-0.009,-0.011,-0.005,-0.003,-0.001,-0.002,0.001,0,-0.021,-0.002,0.021,0.997
Neoplasms,-0.025,-0.025,0.065,0.113,0.003,0.404,0.007,-0.014,-0.009,0.012,-0.081,0.163
Ischemic_heart_disease,-0.067,-0.026,0.079,0.316,0.028,0.27,0.019,0.024,0.021,0.139,-0.026,-0.045
Diabetes,-0.016,-0.028,-0.013,0.77,0.012,0.09,0.04,0.055,0.052,0.03,0.131,0.012
Osteoporosis,-0.023,-0.032,-0.039,-0.005,1.014,0.008,-0.021,0.017,-0.025,-0.02,-0.021,0.002
Gout,-0.027,-0.041,-0.047,0.008,-0.02,0.012,1.01,0.018,-0.03,-0.01,-0.02,0.005
Sexual_disorders,-0.015,-0.042,-0.041,0.002,-0.018,0.003,-0.013,0.01,-0.021,1.017,-0.014,0
Inflammatory_conditions_of_male_genital_organs,-0.035,-0.046,-0.039,0.053,-0.023,0.012,-0.018,0.017,-0.002,-0.002,0.986,0.035
Other_male_genital_disorders,-0.045,-0.063,-0.053,0.028,-0.027,0.009,-0.027,0.017,1.001,-0.009,-0.008,-0.016
Menstrual_disorders,0.823,-0.064,-0.197,0.093,-0.047,0.017,-0.095,0.048,-0.186,-0.092,-0.203,-0.026
Hyperplasia_of_prostate,-0.072,-0.126,0.949,0.031,-0.024,0.063,-0.016,0.064,-0.036,-0.013,-0.022,0.016
