"",ML7,ML3,ML1,ML5,ML4,ML2,ML6
Hypertension,-0.053,0.852,-0.001,0.104,-0.065,0.057,-0.046
Congestive_heart_failure__nonhypertensive,0.045,0.779,0.021,-0.19,0.112,0.001,0.078
Diabetes,0.105,0.56,-0.075,0.129,-0.076,-0.02,-0.059
Chronic_kidney_disease,0.227,0.539,-0.019,-0.078,-0.026,-0.128,-0.019
Obesity,-0.042,0.482,0.143,0.186,-0.016,0.111,0.116
Ischemic_heart_disease,0.126,0.479,-0.223,-0.032,0.042,0.03,0.028
Disorders_of_lipid_metabolism,0.14,0.367,-0.075,0.327,-0.176,0.187,0.02
Cardiac_dysrhythmias,0.465,0.337,0.063,-0.077,-0.164,-0.056,-0.045
Coagulation_and_hemorrhagic_disorders,0.409,0.244,0.09,-0.155,0.144,-0.176,-0.049
Hyperplasia_of_prostate,0.477,0.224,-0.213,0.001,-0.093,-0.324,0.011
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.411,0.215,-0.015,-0.046,0.266,-0.135,0.026
Hepatic_steatosis_and_other_liver_diseases,0.18,0.21,0.029,0.01,0.317,-0.094,0.029
Osteoarthritis,0.396,0.195,-0.014,0.136,-0.063,0.223,-0.104
Glaucoma,0.347,0.154,0.009,0.121,-0.172,0.064,0.016
Headache__including_migraine,-0.04,0.14,0.29,0.349,0.087,0.116,0.068
Hepatitis,-0.133,0.135,0.031,0.113,0.593,0.029,-0.176
Miscellaneous_mental_health_disorders,-0.075,0.113,0.236,0.413,0.006,0.154,0.094
Cataract,0.613,0.104,-0.193,0.003,-0.191,0.127,-0.048
Neoplasms,0.302,0.103,-0.081,-0.123,0.021,0.119,0.01
Sexual_disorders,0.063,0.101,-0.076,0.465,0.153,-0.352,-0.343
Osteoporosis,0.394,0.085,-0.06,-0.011,0.01,0.359,0.03
Anxiety_disorders,0.047,0.082,0.201,0.344,0.325,0.128,0.091
Esophageal_disorders,0.125,0.073,0.141,0.255,0.031,0.032,0.071
Urinary_incontinence,0.567,0.068,0.073,-0.019,0.1,0.174,0.129
Alcohol-related_disorders,0.172,0.06,0.106,0.091,0.291,-0.15,0.012
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.331,0.041,-0.003,0.292,-0.028,0.102,-0.018
Menopausal_disorders,0.035,0.034,0.013,-0.005,0.012,0.983,-0.032
Atopic_dermatitis,-0.009,0.033,0.039,-0.002,-0.018,-0.058,0.786
Other_male_genital_disorders,-0.068,0.033,-0.484,0.389,0.105,-0.164,0.213
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.363,0.031,0.089,0.169,0.06,-0.012,0.054
Vision_defects,0.208,0.029,0.084,0.172,0.069,0.125,0.159
Thyroid_disorders,0.316,0.027,0.287,0.151,-0.084,0.077,0.027
Psoriasis_and_other_inflammatory,0.117,0.021,0.01,0.189,0.079,0.067,0.071
Depression_and_Mood_disorders,0.27,0,0.111,0.281,0.316,0.191,0.032
Inflammatory_conditions_of_male_genital_organs,0.026,-0.006,-0.437,0.413,0.086,-0.135,0.247
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.551,-0.007,0.039,0.068,0.126,0.085,-0.136
Menstrual_disorders,-0.02,-0.01,0.991,0.043,-0.01,-0.008,0.06
Asthma,0.151,-0.03,0.143,0.154,0.115,0.129,0.267
Adjustment_disorders,0.284,-0.056,0.143,0.156,0.093,0.15,0.179
Adictions,0.002,-0.058,-0.056,-0.045,0.935,0.006,0.02
Neuropathy_and_other_nervous_system_disorders,0.234,-0.061,0.153,0.325,0.116,0.135,-0.224
Allergic_rhinitis,0.093,-0.078,0.213,0.366,-0.142,-0.007,0.206
