"",ML3,ML5,ML1,ML2,ML4
Hyperplasia_of_prostate,0.096,0.726,-0.138,-0.373,0.009
Cataract,0.254,0.506,-0.123,0.171,-0.087
Osteoarthritis,0.164,0.454,-0.019,0.233,0.09
Osteoporosis,-0.068,0.442,-0.079,0.481,0.016
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.131,0.439,0.064,0.133,0.104
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.034,0.379,0.049,0.227,0.241
Glaucoma,0.215,0.376,-0.022,0.119,-0.051
Urinary_incontinence,0.301,0.349,0.132,0.144,-0.036
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.33,0.31,-0.041,-0.024,0.021
Cardiac_dysrhythmias,0.31,0.301,0.021,0.012,-0.004
Neoplasms,0.272,0.274,-0.011,-0.03,-0.175
Thyroid_disorders,0.061,0.254,0.322,0.133,0.122
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.117,0.242,0.051,0.154,0.161
Depression_and_Mood_disorders,0.106,0.193,0.221,0.254,0.301
Neuropathy_and_other_nervous_system_disorders,0.069,0.182,0.23,0.196,0.283
Ischemic_heart_disease,0.491,0.161,-0.042,-0.057,-0.054
Hypertension,0.689,0.154,-0.009,0.123,-0.014
Atopic_dermatitis,-0.154,0.146,0.182,0.037,0.268
Asthma,-0.131,0.14,0.215,0.058,0.291
Anxiety_disorders,-0.006,0.135,0.341,0.136,0.372
Esophageal_disorders,0.091,0.135,0.154,0.087,0.295
Disorders_of_lipid_metabolism,0.485,0.13,-0.021,0.227,0.128
Vision_defects,0.114,0.095,0.132,0.178,0.215
Headache__including_migraine,0.005,0.056,0.362,0.063,0.374
Miscellaneous_mental_health_disorders,0.018,0.056,0.362,0.05,0.358
Allergic_rhinitis,-0.077,0.05,0.275,-0.017,0.346
Gout,0.556,0.03,-0.128,-0.125,-0.14
Alcohol-related_disorders,0.183,0.022,-0.124,-0.006,0.129
Sexual_disorders,0.298,0.001,-0.113,-0.214,0.283
Psoriasis_and_other_inflammatory,0.3,-0.023,0.164,-0.04,0.098
Inflammatory_conditions_of_male_genital_organs,0.075,-0.053,-0.373,-0.11,0.574
Diabetes,0.809,-0.059,0.003,-0.038,0.019
Menopausal_disorders,0.033,-0.063,0.011,0.998,-0.033
Other_male_genital_disorders,0.146,-0.071,-0.337,-0.198,0.544
Menstrual_disorders,0.01,-0.077,0.992,-0.017,-0.061
Obesity,0.584,-0.098,0.214,0.034,0.163
