"",ML12,ML9,ML1,ML10,ML2,ML11,ML6,ML7,ML8,ML5,ML4,ML3,ML13
Menstrual_disorders,-0.027,0.735,-0.034,-0.013,-0.139,0.012,0.03,0.032,-0.357,-0.123,0.142,-0.001,0.169
Asthma,-0.028,0.406,0.084,0.104,0.226,-0.22,0.095,0.072,0.164,-0.065,-0.006,-0.038,-0.053
Allergic_rhinitis,-0.01,0.347,0.042,-0.137,-0.024,0.036,-0.016,0.07,0.204,0.035,-0.004,-0.078,0.104
Anxiety_disorders,0.036,0.337,0.191,0.292,-0.007,0.076,0.014,-0.037,0.192,0.093,0.091,-0.034,0.094
Headache__including_migraine,0.018,0.309,0.184,0.076,0.039,0.058,0.061,-0.078,0.123,0.073,0.042,-0.004,0.315
Neuropathy_and_other_nervous_system_disorders,0.086,0.288,0.242,0.063,0.087,0.085,-0.162,0.023,0.123,0.122,-0.044,0.12,0.011
Esophageal_disorders,-0.012,0.26,0.106,-0.082,0.046,0.016,-0.043,0.048,0.152,0.097,0.052,0.233,0.014
Depression_and_Mood_disorders,0.012,0.259,0.252,0.249,0.058,0.063,0.004,0.134,0.155,0.177,0.04,-0.049,0.023
Vision_defects,0.026,0.257,0.125,0.05,0.177,-0.055,-0.01,0.085,0.145,0.017,0.028,0.056,0.016
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.102,0.228,0.223,-0.097,-0.033,0.173,-0.047,0.111,0.178,0.208,0.008,0.013,-0.231
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.111,0.216,0.004,0.116,0.23,0.219,-0.087,0.068,0.094,0.028,-0.049,-0.058,0.051
Alcohol-related_disorders,0.06,0.212,-0.088,0.133,0.01,0.032,-0.064,0.132,0.026,0.089,-0.149,0.304,-0.081
Miscellaneous_mental_health_disorders,0.051,0.118,0.188,-0.011,0.021,0.02,-0.033,0.041,0.134,0.098,0.043,0.061,0.586
Disorders_of_lipid_metabolism,0.525,0.094,0.189,-0.136,0.027,0.116,-0.075,-0.007,0.116,0.074,0.046,0.024,-0.083
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.042,0.091,-0.082,0.181,0.166,0.144,0.278,0.019,0.043,0.117,0.129,0.099,-0.261
Hepatitis,0.179,0.078,0.073,0.496,-0.17,-0.008,-0.067,-0.091,-0.034,0.093,0.044,0.171,-0.154
Obesity,0.357,0.075,0.039,-0.003,-0.015,0.02,0.083,0.125,0.048,0.005,0.136,0.045,0.217
Psoriasis_and_other_inflammatory,0.063,0.057,0.148,0.08,0.022,0.169,-0.069,-0.125,0.045,0.137,0.045,0.013,0.073
Hypertension,0.549,0.053,0,-0.039,0.14,-0.046,0.346,-0.004,0.01,0.01,0.012,0.042,0.033
Neoplasms,-0.03,0.045,0.135,-0.018,0.131,0.119,0.12,0.035,0.042,0.002,0.038,0.017,-0.255
Cardiac_dysrhythmias,0.06,0.04,0,-0.183,0.108,0.651,0.113,0.091,0.025,-0.075,-0.059,0.05,-0.04
Osteoarthritis,0.244,0.039,0.217,0.002,0.097,0.235,-0.014,0.143,-0.001,0.051,0.091,-0.087,-0.136
Congestive_heart_failure__nonhypertensive,0.027,0.017,0.04,-0.011,-0.016,0.053,0.946,0.037,0.03,0.034,-0.021,0.012,-0.006
Thyroid_disorders,-0.004,-0.008,-0.009,-0.021,0.014,-0.012,-0.023,0.003,0.023,0.003,1.004,-0.001,-0.003
Osteoporosis,0.058,-0.015,0.302,-0.01,0.1,0.014,0.111,0.13,0,-0.059,0.246,0.084,-0.272
Urinary_incontinence,0.005,-0.015,0.001,0.01,-0.001,-0.002,0.019,0.986,-0.005,-0.009,0.007,0.019,0.002
Cataract,0.012,-0.02,-0.008,-0.03,0.974,0.018,-0.014,0.009,-0.051,0,0.028,0.023,0.009
Hepatic_steatosis_and_other_liver_diseases,-0.002,-0.022,0.001,0.011,0.014,0.009,0.006,0.008,-0.004,-0.005,0.002,0.991,0.016
Adictions,-0.047,-0.024,-0.023,0.976,-0.015,-0.021,0.001,0.029,0.011,-0.011,-0.034,0.022,0.015
Sexual_disorders,-0.008,-0.038,-0.064,-0.01,-0.003,-0.031,0.029,-0.007,-0.047,1.004,0.002,0.002,0.023
Menopausal_disorders,-0.009,-0.047,0.934,-0.011,0.007,-0.027,0.042,0.039,-0.129,-0.103,0.028,-0.004,0.052
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.073,-0.06,0.079,0.189,0.117,0.273,-0.024,0.299,-0.095,0.121,0.074,-0.134,0.029
Other_male_genital_disorders,0.007,-0.071,-0.114,0.018,-0.049,0,0.034,-0.007,0.97,-0.021,0.019,0.013,0.032
Coagulation_and_hemorrhagic_disorders,-0.044,-0.084,-0.103,0.129,0.025,0.599,0.158,-0.004,-0.036,-0.029,0.081,0.075,0.057
Diabetes,0.628,-0.11,-0.114,-0.035,0.05,0.016,0.045,0.167,-0.037,0.035,0.028,0.089,0.049
Ischemic_heart_disease,0.392,-0.232,-0.031,0.131,0.14,0.179,0.223,-0.121,-0.062,0.01,0.046,-0.056,-0.04
