"",ML1,ML3,ML5,ML2,ML4,ML6
Menopausal_disorders,-0.064,0.506,0.172,0.369,0.007,-0.011
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.05,0.452,0.118,-0.087,0.011,0.179
Disorders_of_lipid_metabolism,0.499,0.394,-0.058,-0.087,0.067,-0.023
Osteoarthritis,0.128,0.348,0.287,-0.121,0.023,0.121
Thyroid_disorders,0.119,0.288,0.025,0.257,0.091,0.02
Depression_and_Mood_disorders,0.072,0.278,0.211,0.229,0.075,0.093
Neuropathy_and_other_nervous_system_disorders,0.055,0.25,0.113,0.128,0.133,0.164
Anxiety_disorders,0.023,0.211,0.005,0.217,0.187,0.185
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.086,0.173,0.213,-0.022,0.005,0.154
Esophageal_disorders,0.092,0.137,0.082,-0.021,0.116,0.228
Vision_defects,0.048,0.136,0.132,0.094,0.107,0.105
Hypertension,0.634,0.131,0.084,-0.16,0.12,0.03
Cataract,0.043,0.066,0.684,-0.178,0.083,-0.02
Headache__including_migraine,0.045,0.022,-0.002,0.178,0.45,0.052
Menstrual_disorders,-0.009,0.013,-0.071,0.794,0.12,0.068
Allergic_rhinitis,0.026,-0.01,-0.117,0.022,0.038,0.519
Obesity,0.656,-0.018,-0.065,0.133,-0.014,0.18
Urinary_incontinence,0.181,-0.031,0.556,0.201,-0.047,0.043
Miscellaneous_mental_health_disorders,-0.017,-0.049,0.011,0.017,0.805,-0.01
Asthma,-0.074,-0.061,0.1,0.013,0.002,0.541
Diabetes,0.757,-0.103,0.155,0.018,-0.035,-0.108
