"",ML3,ML1,ML2,ML4
Menstrual_disorders,-0.056,0.99,-0.017,-0.083
Headache__including_migraine,0.02,0.371,0.071,0.374
Miscellaneous_mental_health_disorders,0.033,0.371,0.057,0.36
Anxiety_disorders,0.086,0.347,0.141,0.362
Thyroid_disorders,0.263,0.32,0.128,0.107
Allergic_rhinitis,-0.06,0.278,-0.003,0.345
Obesity,0.395,0.244,0.011,0.216
Neuropathy_and_other_nervous_system_disorders,0.205,0.236,0.193,0.273
Depression_and_Mood_disorders,0.25,0.23,0.248,0.29
Asthma,-0.01,0.213,0.068,0.267
Psoriasis_and_other_inflammatory,0.225,0.18,-0.053,0.128
Atopic_dermatitis,-0.033,0.176,0.051,0.247
Esophageal_disorders,0.177,0.164,0.084,0.295
Vision_defects,0.172,0.141,0.173,0.22
Urinary_incontinence,0.577,0.137,0.116,-0.042
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.498,0.064,0.117,0.084
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.301,0.054,0.147,0.158
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.344,0.046,0.223,0.222
Diabetes,0.63,0.038,-0.078,0.091
Cardiac_dysrhythmias,0.542,0.031,-0.015,-0.002
Hypertension,0.715,0.014,0.085,0.047
Menopausal_disorders,-0.001,0.003,0.995,-0.035
Disorders_of_lipid_metabolism,0.52,-0.001,0.202,0.17
Neoplasms,0.5,-0.007,-0.058,-0.181
Osteoarthritis,0.535,-0.021,0.217,0.079
Ischemic_heart_disease,0.573,-0.022,-0.091,-0.024
Glaucoma,0.521,-0.023,0.097,-0.058
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.571,-0.027,-0.054,0.024
Sexual_disorders,0.245,-0.084,-0.229,0.314
Osteoporosis,0.346,-0.093,0.472,-0.025
Gout,0.515,-0.104,-0.16,-0.086
Alcohol-related_disorders,0.177,-0.109,-0.017,0.147
Cataract,0.685,-0.124,0.14,-0.103
Hyperplasia_of_prostate,0.678,-0.152,-0.383,0.001
Other_male_genital_disorders,0.032,-0.306,-0.198,0.566
Inflammatory_conditions_of_male_genital_organs,-0.023,-0.348,-0.103,0.601
