"",ML8,ML10,ML6,ML5,ML9,ML2,ML1,ML4,ML7,ML3
Cataract,-0.066,0.687,-0.027,0.086,0.12,0.066,-0.011,0.024,0.02,-0.032
Osteoporosis,-0.031,0.634,0.227,-0.047,-0.1,-0.04,-0.042,-0.04,-0.008,-0.001
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.161,0.417,0.069,0.141,0.025,0.02,0.033,0.083,0.031,0.046
Urinary_incontinence,0.174,0.398,0.07,0.1,0.16,0.113,0.028,-0.007,-0.041,-0.025
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.048,0.385,-0.089,0.085,0.091,0.143,0.093,0.027,-0.014,0.202
Glaucoma,0.032,0.364,0.067,0.164,0.148,0.039,-0.009,-0.014,0.093,-0.105
Cardiac_dysrhythmias,0.126,0.343,-0.023,0.112,0.124,0.114,0.083,-0.001,0.096,0.014
Neoplasms,-0.028,0.316,-0.109,0.078,0.188,0.017,-0.007,-0.001,-0.092,0.177
Osteoarthritis,0.081,0.272,0.265,0.265,0.004,0.133,0.03,0.026,0.014,0.011
Ischemic_heart_disease,-0.062,0.247,-0.059,0.088,0.359,0.026,0.026,0.135,-0.029,-0.037
Depression_and_Mood_disorders,0.349,0.234,0.218,-0.006,-0.014,-0.036,0.147,0.065,-0.017,0.217
Neuropathy_and_other_nervous_system_disorders,0.336,0.153,0.208,0.028,-0.043,0.037,0.08,0.094,0.033,0.014
Thyroid_disorders,0.362,0.13,0.156,0.121,0.025,0.024,-0.031,0.024,0.015,-0.069
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.185,0.115,0.328,0.287,-0.058,-0.01,0.142,0.066,0.01,0.047
Menopausal_disorders,-0.012,0.099,0.879,-0.175,0.047,-0.062,-0.126,-0.084,-0.083,-0.006
Asthma,0.315,0.095,0.053,0.03,-0.143,-0.007,0.06,-0.051,0.135,-0.044
Esophageal_disorders,0.283,0.094,0.138,0.059,-0.031,0.037,0.177,0.071,0.057,-0.016
Diabetes,-0.001,0.078,0.012,0,0.77,0.047,0.062,0.038,0.142,0.014
Miscellaneous_mental_health_disorders,0.457,0.074,0.06,-0.018,-0.016,-0.026,-0.038,0.049,0.23,-0.088
Hypertension,0.009,0.064,0.255,0.242,0.413,0.19,0.027,0.07,-0.039,0.04
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.121,0.063,0.238,0.219,0.098,-0.081,0.016,0.113,0.061,0.013
Hyperplasia_of_prostate,-0.073,0.043,-0.108,0.975,0.028,-0.017,-0.033,-0.011,-0.02,0.016
Anxiety_disorders,0.499,0.031,0.206,0.076,-0.15,0.016,0.116,0.083,0.068,0.098
Vision_defects,0.248,0.016,0.246,0.083,-0.023,0.05,0.121,0.04,0.018,0.101
Atopic_dermatitis,0.303,0.011,0.073,0.111,-0.101,0.023,0.078,-0.173,0.217,-0.102
Headache__including_migraine,0.456,0.008,0.114,0.031,-0.011,-0.101,0.061,0.082,0.108,0.008
Gout,-0.028,0.007,-0.036,-0.049,-0.002,1.017,-0.028,-0.009,-0.019,0.005
Inflammatory_conditions_of_male_genital_organs,-0.038,0.004,-0.05,-0.038,0.057,-0.017,0,-0.002,0.987,0.037
Disorders_of_lipid_metabolism,0.064,-0.003,0.38,0.204,0.251,0.155,0.069,0.153,0.008,0.03
Sexual_disorders,-0.017,-0.007,-0.036,-0.04,0.002,-0.013,-0.021,1.02,-0.014,0
Other_male_genital_disorders,-0.045,-0.007,-0.06,-0.053,0.025,-0.025,1.007,-0.009,-0.008,-0.016
Alcohol-related_disorders,-0.01,-0.019,-0.009,-0.004,-0.007,0.002,-0.022,-0.001,0.023,0.999
Menstrual_disorders,0.838,-0.024,-0.082,-0.185,0.101,-0.088,-0.181,-0.089,-0.198,-0.025
Obesity,0.239,-0.152,0.2,0.106,0.422,0.103,0.117,-0.002,0.019,0.016
Psoriasis_and_other_inflammatory,0.193,-0.162,0.114,0.115,0.164,0.096,0.114,0.071,-0.083,0.081
Allergic_rhinitis,0.417,-0.174,0.141,0.124,-0.189,0.135,0.009,0.059,0.214,-0.104
