"",ML7,ML10,ML8,ML6,ML5,ML2,ML3,ML1,ML4,ML9
Cardiac_dysrhythmias,0.035,0.48,0.082,-0.07,0.263,0.119,-0.205,0.032,-0.107,0.082
Cataract,-0.243,0.479,0.195,0.108,-0.014,0.156,-0.158,-0.111,0.061,0.051
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.028,0.417,-0.125,-0.055,0.289,0.017,0.108,0.016,0.111,0.234
Coagulation_and_hemorrhagic_disorders,0.046,0.379,0.079,-0.178,0.276,0.039,0.133,-0.028,-0.082,0.051
Osteoarthritis,0.008,0.351,0.209,0.208,0.028,0.149,-0.018,0.003,0.051,-0.061
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.017,0.345,0.121,0.042,0.014,0.329,0.194,-0.083,0.109,-0.194
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.176,0.319,0.12,0.002,-0.045,0.085,0.069,0.115,0.045,-0.008
Osteoporosis,-0.084,0.293,0.036,0.328,0.078,0.144,-0.028,-0.025,-0.07,0.1
Ischemic_heart_disease,-0.214,0.267,0.415,-0.036,0.257,-0.118,0.114,-0.081,0.008,-0.06
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.104,0.267,-0.001,0.192,-0.014,0.1,-0.097,0.188,0.205,0.035
Neoplasms,-0.101,0.265,-0.065,0.144,0.136,0.043,-0.05,0.013,-0.006,0.091
Thyroid_disorders,0.349,0.249,0.21,0.067,-0.126,0.092,-0.044,0.043,-0.027,-0.038
Disorders_of_lipid_metabolism,0.048,0.195,0.431,0.206,-0.041,-0.033,-0.167,0.133,0.097,0.089
Depression_and_Mood_disorders,0.238,0.151,-0.029,0.269,0.014,0.131,0.21,0.185,0.193,0.014
Psoriasis_and_other_inflammatory,0.104,0.143,0.087,0.136,-0.042,-0.125,0.064,0.063,0.129,0.042
Neuropathy_and_other_nervous_system_disorders,0.221,0.142,0.059,0.247,-0.144,0.025,0.035,0.152,0.137,0.156
Vision_defects,0.199,0.113,0.062,0.145,-0.039,0.112,0.038,0.16,0.035,0.032
Anxiety_disorders,0.383,0.107,0.022,0.202,0.024,-0.038,0.265,0.24,0.108,0.008
Asthma,0.258,0.086,-0.119,0.165,0.045,0.061,0.024,0.176,-0.014,0.095
Alcohol-related_disorders,0.076,0.054,-0.09,-0.056,-0.029,0.089,0.066,0.032,0.109,0.469
Hypertension,0.028,0.028,0.495,0.063,0.365,-0.021,-0.09,0.019,0.053,0.118
Esophageal_disorders,0.22,0.028,0,0.131,-0.047,0.052,-0.108,0.169,0.098,0.294
Allergic_rhinitis,0.367,0.028,-0.043,0.039,-0.01,0.06,-0.151,0.249,0.05,-0.047
Headache__including_migraine,0.451,0.016,0.089,0.179,0.064,-0.058,0.077,0.188,0.086,-0.067
Adictions,-0.022,-0.011,-0.023,-0.019,0.002,0.032,0.987,0.009,-0.006,0.025
Diabetes,-0.076,-0.016,0.652,-0.086,0.061,0.149,-0.047,-0.032,0.054,0.118
Congestive_heart_failure__nonhypertensive,0.023,-0.016,0.017,0.038,0.981,0.036,-0.002,0.026,0.024,-0.011
Other_male_genital_disorders,-0.146,-0.017,0.001,-0.123,0.034,-0.006,0.019,0.943,-0.026,0.015
Urinary_incontinence,-0.005,-0.021,-0.003,0.012,0.021,0.987,0.013,-0.001,-0.01,0.033
Sexual_disorders,-0.048,-0.025,-0.003,-0.076,0.021,-0.008,-0.006,-0.048,0.997,0
Menopausal_disorders,-0.025,-0.027,-0.012,0.957,0.038,0.037,-0.007,-0.116,-0.105,-0.02
Menstrual_disorders,0.923,-0.029,-0.04,-0.026,0.018,0.018,-0.022,-0.245,-0.103,0.022
Hepatic_steatosis_and_other_liver_diseases,-0.037,-0.031,0.123,-0.038,0.003,0.095,0.105,-0.008,-0.032,0.662
Hepatitis,0.031,-0.036,0.068,0.105,-0.051,-0.14,0.459,-0.029,0.101,0.317
Obesity,0.23,-0.076,0.443,0.058,0.085,0.13,0.003,0.089,0.014,0.022
Miscellaneous_mental_health_disorders,0.396,-0.162,0.197,0.185,-0.03,0.077,0.01,0.209,0.111,-0.075
