"",ML4,ML3,ML5,ML2,ML1
Menstrual_disorders,-0.072,0.935,-0.025,-0.008,-0.231
Headache__including_migraine,0.074,0.428,0.078,0.148,0.217
Miscellaneous_mental_health_disorders,0.04,0.392,0.005,0.181,0.253
Allergic_rhinitis,0.015,0.369,-0.138,0.038,0.265
Anxiety_disorders,0.086,0.355,0.318,0.167,0.258
Thyroid_disorders,0.287,0.338,-0.068,0.12,0.048
Asthma,0.062,0.274,0.097,0.155,0.176
Esophageal_disorders,0.178,0.254,0.035,0.062,0.192
Obesity,0.423,0.249,-0.054,0.074,0.127
Depression_and_Mood_disorders,0.214,0.225,0.342,0.239,0.198
Neuropathy_and_other_nervous_system_disorders,0.163,0.215,0.171,0.206,0.171
Vision_defects,0.175,0.205,0.055,0.159,0.175
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.35,0.16,0.074,0.023,0.113
Alcohol-related_disorders,0.216,0.118,0.338,-0.144,0.024
Urinary_incontinence,0.493,0.103,0.104,0.205,-0.008
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.344,0.1,0.009,0.149,0.204
Psoriasis_and_other_inflammatory,0.136,0.077,0.108,0.078,0.08
Cardiac_dysrhythmias,0.702,0.059,-0.185,-0.047,0.005
Congestive_heart_failure__nonhypertensive,0.658,0.057,0.012,-0.044,0.045
Hypertension,0.721,0.046,-0.08,0.002,0.055
Coagulation_and_hemorrhagic_disorders,0.536,0.045,0.116,-0.166,-0.055
Disorders_of_lipid_metabolism,0.527,0.041,-0.139,0.172,0.166
Hepatic_steatosis_and_other_liver_diseases,0.358,0.038,0.336,-0.111,-0.008
Hepatitis,0.015,0.017,0.631,0.016,-0.026
Osteoarthritis,0.537,0.003,-0.029,0.239,0.009
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.482,0.002,0.181,0.12,-0.092
Menopausal_disorders,-0.004,-0.001,0.01,0.981,-0.09
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.555,-0.021,0.279,-0.141,-0.007
Adictions,-0.121,-0.049,0.891,0.006,0.003
Diabetes,0.674,-0.057,-0.048,-0.074,-0.001
Osteoporosis,0.414,-0.059,0.03,0.356,-0.036
Neoplasms,0.322,-0.086,0.002,0.126,0.002
Sexual_disorders,0.322,-0.104,0.287,-0.36,0.043
Other_male_genital_disorders,-0.035,-0.155,0.007,-0.115,0.935
Cataract,0.677,-0.237,-0.118,0.125,-0.12
Ischemic_heart_disease,0.609,-0.249,0.061,-0.051,-0.085
