"",ML7,ML8,ML6,ML9,ML3,ML5,ML1,ML4,ML2,ML10,ML11
Adictions,-0.054,0.849,0.033,-0.075,-0.06,-0.001,-0.11,0.044,0.022,-0.022,0.025
Hepatitis,0.011,0.615,-0.049,0.14,-0.14,0.07,0.029,-0.095,-0.028,0.259,-0.054
Depression_and_Mood_disorders,0.197,0.344,0.009,0.194,0.082,0.174,0.028,0.126,0.168,-0.101,0.117
Anxiety_disorders,0.314,0.337,0.008,0.106,0.007,0.155,0.095,-0.053,0.221,-0.035,0.155
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.062,0.326,0.269,0.108,0.21,-0.142,0.157,0.024,0.04,0.011,-0.169
Alcohol-related_disorders,0.079,0.321,-0.064,-0.014,0.023,-0.142,0.069,0.138,0.025,0.259,0.037
Hepatic_steatosis_and_other_liver_diseases,0.008,0.306,0,-0.128,0.094,-0.073,0.068,0.145,0.015,0.551,-0.015
Sexual_disorders,-0.161,0.231,0.03,0.454,0.081,-0.4,-0.089,0.017,-0.044,-0.019,0.237
Coagulation_and_hemorrhagic_disorders,0.018,0.189,0.214,-0.023,0.061,-0.126,0.429,0.006,-0.045,-0.001,-0.01
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.057,0.18,0.018,0.241,0.12,0.028,0.2,0.306,-0.122,-0.232,0.117
Neuropathy_and_other_nervous_system_disorders,0.219,0.177,-0.129,0.211,0.12,0.163,0.019,0.037,0.152,0.072,0.056
Psoriasis_and_other_inflammatory,0.051,0.127,-0.033,0.156,0.055,0.092,0.083,-0.116,0.048,0.024,0.115
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.162,0.113,-0.05,0.082,0.222,-0.012,0.196,0.043,0.112,-0.009,0.074
Asthma,0.34,0.107,0.065,-0.053,0.217,0.105,-0.144,0.045,0.206,-0.004,-0.026
Headache__including_migraine,0.329,0.098,0.066,0.028,0.045,0.144,0.044,-0.081,0.143,-0.046,0.334
Ischemic_heart_disease,-0.258,0.063,0.363,0.266,0.156,-0.005,0.098,-0.111,-0.113,0.037,0.054
Vision_defects,0.24,0.061,-0.021,0.026,0.185,0.113,-0.005,0.083,0.192,0.056,-0.01
Neoplasms,0.029,0.04,0.121,0.104,0.153,0.114,0.094,0.032,0.065,0.016,-0.278
Esophageal_disorders,0.25,0.034,-0.079,0.015,0.081,0.057,0.072,0.057,0.196,0.251,0.007
Menopausal_disorders,-0.039,0.033,0.019,0.01,0.016,0.971,-0.008,0.043,-0.105,-0.016,0.054
Osteoporosis,0.042,0.031,0.127,0.222,0.167,0.313,-0.008,0.165,0.018,0.047,-0.267
Congestive_heart_failure__nonhypertensive,0.031,0.012,0.996,-0.059,-0.02,0.015,0.03,0.035,0.029,-0.028,-0.02
Other_male_genital_disorders,-0.167,0.007,0.038,0.005,-0.052,-0.127,0.004,-0.008,0.913,0.008,0.043
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.138,0.004,-0.011,0.464,-0.007,0.09,0.106,0.131,0.192,-0.07,-0.135
Urinary_incontinence,-0.007,-0.011,0.014,-0.024,-0.008,0.012,0.009,0.993,-0.005,0.016,-0.001
Miscellaneous_mental_health_disorders,0.173,-0.023,-0.02,-0.067,0.028,0.159,-0.001,0.058,0.125,0.024,0.603
Osteoarthritis,0.011,-0.024,0.043,0.366,0.104,0.196,0.224,0.143,0,-0.038,-0.06
Menstrual_disorders,0.892,-0.025,0.021,-0.027,-0.112,-0.01,0.002,0.022,-0.25,0.002,0.087
Cardiac_dysrhythmias,-0.014,-0.051,0.009,-0.025,0.011,-0.004,0.984,0.015,0.002,0.002,0
Cataract,-0.049,-0.051,-0.003,-0.042,0.983,0.002,0.032,0.009,-0.045,0.007,0.005
Thyroid_disorders,0.413,-0.078,-0.016,0.226,0.251,0.057,-0.098,0.082,0.067,0.035,-0.064
Obesity,0.135,-0.123,0.155,0.133,-0.003,0.084,0.062,0.133,0.068,0.235,0.207
Hypertension,-0.011,-0.135,0.464,0.229,0.132,0.049,0.045,-0.011,0.004,0.283,0.128
Allergic_rhinitis,0.336,-0.141,-0.002,0.089,-0.016,-0.001,-0.028,0.062,0.23,-0.063,0.104
Diabetes,-0.146,-0.148,0.198,0.301,0.066,-0.062,0.04,0.181,-0.055,0.352,0.124
Disorders_of_lipid_metabolism,0.011,-0.181,0.041,0.478,0.047,0.18,0.127,0.002,0.115,0.217,0.036
