"",ML6,ML4,ML3,ML5,ML2,ML1
Menstrual_disorders,-0.044,0.923,-0.032,-0.017,-0.097,-0.246
Headache__including_migraine,0.019,0.443,0.187,0.037,0.102,0.193
Miscellaneous_mental_health_disorders,-0.044,0.41,0.232,-0.049,0.143,0.221
Anxiety_disorders,0.051,0.377,0.208,0.27,0.113,0.24
Allergic_rhinitis,-0.027,0.376,0.058,-0.161,0.043,0.248
Thyroid_disorders,0.256,0.337,0.136,-0.085,0.014,0.037
Asthma,0.068,0.28,0.153,0.087,-0.039,0.173
Esophageal_disorders,0.131,0.266,0.099,-0.01,0.101,0.178
Depression_and_Mood_disorders,0.15,0.252,0.298,0.257,0.175,0.178
Obesity,0.374,0.251,0.11,-0.062,0.075,0.112
Neuropathy_and_other_nervous_system_disorders,0.09,0.237,0.258,0.088,0.155,0.151
Vision_defects,0.148,0.213,0.181,0.043,0.045,0.161
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.328,0.166,0.05,0.058,0.064,0.108
Alcohol-related_disorders,0.212,0.131,-0.115,0.263,0.094,0.038
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.249,0.118,0.215,-0.064,0.196,0.181
Urinary_incontinence,0.513,0.1,0.202,0.109,-0.056,-0.003
Psoriasis_and_other_inflammatory,0.073,0.091,0.125,0.058,0.151,0.064
Disorders_of_lipid_metabolism,0.42,0.051,0.235,-0.207,0.167,0.147
Congestive_heart_failure__nonhypertensive,0.696,0.05,-0.046,0.046,-0.04,0.057
Hypertension,0.66,0.045,0.049,-0.114,0.107,0.053
Cardiac_dysrhythmias,0.761,0.043,-0.075,-0.151,-0.128,0.026
Hepatic_steatosis_and_other_liver_diseases,0.396,0.041,-0.108,0.311,-0.008,0.017
Hepatitis,0.013,0.04,0.05,0.555,0.126,-0.018
Coagulation_and_hemorrhagic_disorders,0.616,0.034,-0.188,0.162,-0.092,-0.031
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.446,0.007,0.159,0.153,0.107,-0.099
Menopausal_disorders,-0.025,0.006,0.957,0.008,-0.125,-0.119
Osteoarthritis,0.483,0.005,0.273,-0.051,0.07,-0.002
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.569,-0.016,-0.117,0.248,0.066,0.01
Adictions,-0.042,-0.038,0.008,0.956,0.007,0.013
Sexual_disorders,-0.022,-0.039,-0.093,0.023,0.991,-0.042
Diabetes,0.601,-0.056,-0.018,-0.098,0.149,0
Osteoporosis,0.423,-0.062,0.345,0.032,-0.084,-0.031
Neoplasms,0.336,-0.088,0.121,0.013,-0.035,0.007
Other_male_genital_disorders,-0.016,-0.136,-0.11,0.019,-0.029,0.953
Cataract,0.622,-0.241,0.158,-0.144,0.077,-0.12
Ischemic_heart_disease,0.588,-0.252,-0.024,0.044,0.059,-0.07
