"",ML4,ML5,ML3,ML2,ML6,ML1
Hyperplasia_of_prostate,0.061,0.724,-0.152,-0.371,0.127,-0.045
Cataract,0.258,0.554,-0.101,0.157,-0.129,0.015
Osteoarthritis,0.124,0.455,-0.005,0.237,0.126,0.022
Osteoporosis,-0.062,0.455,-0.06,0.466,-0.029,-0.016
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.121,0.437,0.091,0.135,0.07,0.062
Glaucoma,0.216,0.418,0.025,0.112,-0.153,0.106
Urinary_incontinence,0.297,0.38,0.139,0.136,-0.057,-0.014
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.016,0.359,0.074,0.239,0.257,0.071
Cardiac_dysrhythmias,0.293,0.349,0.073,0.012,-0.112,0.145
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.293,0.328,-0.04,-0.019,0.073,0.01
Neoplasms,0.281,0.295,-0.025,-0.038,-0.127,-0.062
Thyroid_disorders,0.048,0.246,0.34,0.135,0.081,0.033
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.092,0.228,0.079,0.164,0.144,0.088
Hypertension,0.613,0.185,-0.037,0.134,0.145,-0.06
Atopic_dermatitis,-0.15,0.184,0.278,0.036,-0.042,0.266
Ischemic_heart_disease,0.466,0.181,-0.065,-0.052,0.047,-0.053
Depression_and_Mood_disorders,0.065,0.171,0.241,0.267,0.286,0.062
Neuropathy_and_other_nervous_system_disorders,0.027,0.167,0.251,0.207,0.256,0.065
Asthma,-0.153,0.156,0.272,0.061,0.11,0.161
Esophageal_disorders,0.043,0.133,0.185,0.1,0.243,0.108
Disorders_of_lipid_metabolism,0.418,0.118,-0.029,0.247,0.263,0.012
Anxiety_disorders,-0.068,0.109,0.379,0.155,0.325,0.133
Vision_defects,0.07,0.095,0.157,0.189,0.186,0.08
Miscellaneous_mental_health_disorders,-0.019,0.063,0.432,0.064,0.166,0.225
Headache__including_migraine,-0.034,0.049,0.408,0.077,0.247,0.151
Gout,0.499,0.047,-0.18,-0.114,0.078,-0.116
Allergic_rhinitis,-0.124,0.044,0.34,0.001,0.2,0.221
Alcohol-related_disorders,0.135,-0.016,-0.11,0.019,0.214,0.103
Diabetes,0.822,-0.021,0.04,-0.028,-0.066,0.154
Inflammatory_conditions_of_male_genital_organs,0.042,-0.029,-0.09,-0.06,-0.015,0.965
Other_male_genital_disorders,0.085,-0.044,-0.284,-0.175,0.403,0.234
Psoriasis_and_other_inflammatory,0.253,-0.049,0.132,-0.023,0.241,-0.054
Menopausal_disorders,0.026,-0.058,0.01,0.987,-0.015,-0.077
Sexual_disorders,0.223,-0.066,-0.156,-0.179,0.529,-0.033
Obesity,0.516,-0.068,0.212,0.051,0.194,0.036
Menstrual_disorders,0.032,-0.086,0.953,-0.029,-0.071,-0.166
