"",ML1,ML2,ML3
Headache__including_migraine,-0.03,0.584,0.091
Menstrual_disorders,-0.244,0.574,-0.44
Anxiety_disorders,0.065,0.565,0.06
Miscellaneous_mental_health_disorders,-0.016,0.564,0.077
Depression_and_Mood_disorders,0.291,0.468,-0.025
Allergic_rhinitis,-0.115,0.455,0.171
Neuropathy_and_other_nervous_system_disorders,0.221,0.451,-0.008
Asthma,-0.022,0.379,0.054
Thyroid_disorders,0.235,0.36,-0.137
Esophageal_disorders,0.181,0.356,0.122
Menopausal_disorders,0.269,0.351,-0.593
Obesity,0.326,0.345,0.149
Vision_defects,0.193,0.32,0.043
Atopic_dermatitis,-0.036,0.312,0.061
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.404,0.27,0.034
Psoriasis_and_other_inflammatory,0.152,0.212,0.127
Disorders_of_lipid_metabolism,0.564,0.201,0.082
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.333,0.198,0.043
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.529,0.139,-0.04
Inflammatory_conditions_of_male_genital_organs,0.06,0.137,0.647
Osteoarthritis,0.6,0.127,-0.057
Other_male_genital_disorders,0.064,0.121,0.698
Sexual_disorders,0.184,0.12,0.473
Urinary_incontinence,0.576,0.1,-0.136
Hypertension,0.698,0.095,0.081
Osteoporosis,0.532,0.092,-0.36
Diabetes,0.591,0.035,0.205
Alcohol-related_disorders,0.192,0.032,0.2
Cardiac_dysrhythmias,0.531,-0.024,0.045
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.554,-0.031,0.108
Glaucoma,0.567,-0.062,-0.088
Ischemic_heart_disease,0.531,-0.067,0.116
Cataract,0.763,-0.133,-0.126
Gout,0.454,-0.166,0.145
Neoplasms,0.474,-0.177,-0.068
Hyperplasia_of_prostate,0.562,-0.212,0.305
