"",ML1,ML2
Menstrual_disorders,-0.2,0.814
Menopausal_disorders,0.192,0.69
Anxiety_disorders,0.234,0.427
Headache__including_migraine,0.155,0.422
Miscellaneous_mental_health_disorders,0.16,0.416
Depression_and_Mood_disorders,0.404,0.406
Thyroid_disorders,0.292,0.402
Neuropathy_and_other_nervous_system_disorders,0.338,0.381
Osteoporosis,0.438,0.314
Asthma,0.096,0.281
Allergic_rhinitis,0.061,0.26
Vision_defects,0.289,0.232
Atopic_dermatitis,0.065,0.224
Esophageal_disorders,0.307,0.21
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.48,0.192
Obesity,0.462,0.179
Urinary_incontinence,0.554,0.173
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.545,0.137
Osteoarthritis,0.609,0.131
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.393,0.127
Disorders_of_lipid_metabolism,0.636,0.093
Psoriasis_and_other_inflammatory,0.248,0.087
Glaucoma,0.51,0.003
Hypertension,0.742,0.002
Cataract,0.666,-0.037
Cardiac_dysrhythmias,0.526,-0.057
Neoplasms,0.397,-0.104
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.567,-0.115
Diabetes,0.65,-0.123
Alcohol-related_disorders,0.257,-0.126
Ischemic_heart_disease,0.54,-0.15
Sexual_disorders,0.348,-0.24
Gout,0.45,-0.256
Inflammatory_conditions_of_male_genital_organs,0.269,-0.345
Other_male_genital_disorders,0.281,-0.383
Hyperplasia_of_prostate,0.586,-0.407
