"",ML1,ML2
Menstrual_disorders,-0.2,0.811
Menopausal_disorders,0.185,0.597
Headache__including_migraine,0.119,0.474
Miscellaneous_mental_health_disorders,0.094,0.452
Anxiety_disorders,0.177,0.408
Thyroid_disorders,0.279,0.394
Depression_and_Mood_disorders,0.318,0.35
Asthma,0.115,0.336
Allergic_rhinitis,0.032,0.334
Neuropathy_and_other_nervous_system_disorders,0.243,0.289
Urinary_incontinence,0.529,0.265
Vision_defects,0.239,0.247
Esophageal_disorders,0.211,0.243
Obesity,0.439,0.232
Osteoporosis,0.482,0.232
Osteoarthritis,0.584,0.171
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.495,0.143
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.418,0.143
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.371,0.133
Psoriasis_and_other_inflammatory,0.171,0.114
Hepatitis,0.071,0.096
Disorders_of_lipid_metabolism,0.584,0.095
Adictions,-0.024,0.057
Alcohol-related_disorders,0.201,0.045
Hepatic_steatosis_and_other_liver_diseases,0.351,0
Hypertension,0.723,-0.01
Neoplasms,0.363,-0.029
Cardiac_dysrhythmias,0.662,-0.036
Congestive_heart_failure__nonhypertensive,0.667,-0.075
Coagulation_and_hemorrhagic_disorders,0.491,-0.078
Cataract,0.661,-0.081
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.54,-0.091
Diabetes,0.659,-0.129
Sexual_disorders,0.272,-0.223
Ischemic_heart_disease,0.607,-0.252
Other_male_genital_disorders,0.173,-0.363
