"",ML3,ML1,ML2,ML5,ML4
Menstrual_disorders,-0.055,0.992,-0.005,-0.03,-0.012
Headache__including_migraine,0.052,0.341,0.108,0.349,0.079
Thyroid_disorders,0.289,0.305,0.114,0.111,-0.056
Miscellaneous_mental_health_disorders,-0.007,0.296,0.141,0.416,-0.002
Allergic_rhinitis,-0.036,0.282,-0.006,0.437,-0.154
Anxiety_disorders,0.06,0.255,0.128,0.366,0.323
Asthma,0.034,0.204,0.13,0.258,0.098
Obesity,0.37,0.2,0.085,0.224,-0.041
Adjustment_disorders,0.146,0.189,0.172,0.205,0.09
Atopic_dermatitis,-0.075,0.183,-0.128,0.32,-0.109
Esophageal_disorders,0.152,0.182,0.041,0.263,0.042
Depression_and_Mood_disorders,0.194,0.145,0.223,0.249,0.348
Neuropathy_and_other_nervous_system_disorders,0.165,0.141,0.185,0.155,0.185
Vision_defects,0.163,0.132,0.137,0.233,0.062
Alcohol-related_disorders,0.206,0.119,-0.133,0.055,0.329
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.329,0.117,0.026,0.176,0.081
Urinary_incontinence,0.506,0.095,0.23,0.033,0.116
Coagulation_and_hemorrhagic_disorders,0.588,0.076,-0.134,-0.134,0.155
Cardiac_dysrhythmias,0.716,0.059,-0.008,-0.051,-0.142
Psoriasis_and_other_inflammatory,0.106,0.045,0.074,0.192,0.086
Hepatic_steatosis_and_other_liver_diseases,0.345,0.044,-0.083,0.007,0.339
Congestive_heart_failure__nonhypertensive,0.7,0.042,-0.019,-0.07,0.064
Glaucoma,0.438,0.029,0.099,0.115,-0.151
Hypertension,0.709,0.028,0.036,0.101,-0.074
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.325,0.026,0.141,0.237,0.014
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.468,0.02,0.163,-0.003,0.175
Hepatitis,0.014,0.018,0.024,0.004,0.621
Menopausal_disorders,-0.025,0.007,0.999,-0.028,0.006
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.547,-0.006,-0.097,-0.026,0.292
Chronic_kidney_disease,0.703,-0.009,-0.118,-0.063,-0.029
Osteoarthritis,0.519,-0.011,0.274,0.073,-0.026
Disorders_of_lipid_metabolism,0.452,-0.022,0.191,0.303,-0.157
Diabetes,0.621,-0.051,-0.021,0.093,-0.06
Osteoporosis,0.38,-0.052,0.403,0,0.031
Adictions,-0.095,-0.053,0.003,-0.014,0.902
Neoplasms,0.347,-0.086,0.15,-0.103,0.033
Sexual_disorders,0.228,-0.087,-0.321,0.237,0.23
Cataract,0.631,-0.197,0.199,-0.015,-0.142
Ischemic_heart_disease,0.546,-0.199,0.025,0.007,0.036
Hyperplasia_of_prostate,0.652,-0.201,-0.28,0.017,-0.056
Inflammatory_conditions_of_male_genital_organs,-0.014,-0.342,-0.156,0.566,0.063
Other_male_genital_disorders,-0.057,-0.396,-0.194,0.542,0.084
