"",ML1,ML2,ML3
Menstrual_disorders,-0.206,0.768,0.065
Menopausal_disorders,0.166,0.75,-0.07
Thyroid_disorders,0.292,0.379,0.035
Headache__including_migraine,0.072,0.366,0.294
Miscellaneous_mental_health_disorders,0.054,0.365,0.261
Osteoporosis,0.461,0.324,-0.006
Adjustment_disorders,0.178,0.318,0.185
Anxiety_disorders,0.059,0.292,0.515
Asthma,0.058,0.274,0.254
Depression_and_Mood_disorders,0.197,0.272,0.478
Urinary_incontinence,0.518,0.272,0.117
Allergic_rhinitis,0.028,0.252,0.146
Neuropathy_and_other_nervous_system_disorders,0.173,0.232,0.29
Obesity,0.406,0.218,0.104
Osteoarthritis,0.596,0.214,-0.004
Vision_defects,0.212,0.198,0.177
Esophageal_disorders,0.166,0.167,0.231
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.465,0.143,0.139
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.391,0.116,0.164
Disorders_of_lipid_metabolism,0.573,0.115,0.053
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.34,0.092,0.176
Glaucoma,0.502,0.092,-0.063
Atopic_dermatitis,-0.034,0.067,0.075
Psoriasis_and_other_inflammatory,0.133,0.06,0.2
Neoplasms,0.363,0.041,-0.047
Cardiac_dysrhythmias,0.708,0.022,-0.128
Cataract,0.716,0.015,-0.15
Hypertension,0.735,0.003,0.025
Hepatitis,-0.099,-0.026,0.575
Congestive_heart_failure__nonhypertensive,0.66,-0.052,0.024
Alcohol-related_disorders,0.09,-0.066,0.417
Coagulation_and_hemorrhagic_disorders,0.484,-0.081,0.077
Hepatic_steatosis_and_other_liver_diseases,0.249,-0.083,0.354
Adictions,-0.222,-0.091,0.691
Diabetes,0.648,-0.104,0.03
Chronic_kidney_disease,0.669,-0.107,-0.059
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.459,-0.124,0.279
Ischemic_heart_disease,0.574,-0.182,0.031
Sexual_disorders,0.17,-0.351,0.412
Inflammatory_conditions_of_male_genital_organs,0.118,-0.368,0.326
Hyperplasia_of_prostate,0.618,-0.371,0
Other_male_genital_disorders,0.059,-0.46,0.356
