"",ML8,ML6,ML7,ML4,ML3,ML5,ML1,ML2,ML9
Menstrual_disorders,-0.019,0.864,0.071,-0.068,-0.176,-0.173,-0.192,-0.031,-0.101
Anxiety_disorders,0.01,0.484,-0.115,0.194,0.099,0.111,0.07,0.102,0.134
Headache__including_migraine,-0.014,0.473,-0.052,0.108,0.035,0.064,0.112,0,0.128
Miscellaneous_mental_health_disorders,0.043,0.463,-0.027,0.056,-0.016,-0.06,0.23,-0.111,0.189
Allergic_rhinitis,-0.195,0.373,-0.055,0.108,0.142,-0.011,0.212,-0.099,0.133
Thyroid_disorders,0.131,0.357,0.037,0.15,0.132,-0.029,0.019,-0.067,0.055
Depression_and_Mood_disorders,0.234,0.357,-0.054,0.22,0.008,0.152,-0.013,0.219,0.094
Neuropathy_and_other_nervous_system_disorders,0.139,0.326,-0.017,0.196,0.04,0.072,0.035,0.014,0.166
Asthma,0.052,0.301,-0.108,0.076,0.05,0.042,0.131,-0.055,0.012
Atopic_dermatitis,-0.002,0.28,-0.067,0.105,0.146,0.076,0.216,-0.097,-0.196
Esophageal_disorders,0.075,0.267,0.012,0.128,0.07,0.169,0.059,-0.016,0.121
Vision_defects,0.02,0.226,0.041,0.232,0.099,0.133,0.022,0.12,-0.005
Obesity,-0.152,0.221,0.532,0.167,0.083,0.107,0.029,0.011,0.042
Psoriasis_and_other_inflammatory,-0.141,0.178,0.231,0.069,0.105,0.111,-0.076,0.086,0.097
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.106,0.175,-0.038,0.319,0.299,0.153,0.013,0.058,0.061
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.436,0.16,-0.003,0.068,0.151,0.044,0.035,0.055,0.066
Urinary_incontinence,0.422,0.156,0.2,0.074,0.111,0.033,-0.036,-0.012,-0.039
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.087,0.136,0.055,0.215,0.213,0.052,0.07,0.03,0.031
Cardiac_dysrhythmias,0.356,0.092,0.214,-0.015,0.128,0.098,0.101,0.04,-0.122
Osteoarthritis,0.255,0.048,0.088,0.261,0.276,0.015,0.014,0.013,0.1
Disorders_of_lipid_metabolism,0.012,0.039,0.351,0.323,0.187,0.066,0.017,0.037,0.217
Diabetes,0.166,0.023,0.703,-0.026,-0.033,0.095,0.163,0.024,-0.047
Glaucoma,0.372,0.022,0.162,0.081,0.171,0.003,0.097,-0.095,-0.069
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.382,0.02,0.158,-0.083,0.088,0.073,-0.014,0.201,0.067
Menopausal_disorders,0.077,-0.003,0.053,0.908,-0.165,-0.108,-0.079,-0.003,-0.066
Alcohol-related_disorders,-0.024,-0.011,-0.011,0,-0.006,-0.029,0.023,1.001,0
Sexual_disorders,0.033,-0.021,0.069,-0.206,-0.062,0.093,0.006,0.104,0.623
Osteoporosis,0.581,-0.023,-0.154,0.288,-0.031,-0.066,-0.015,-0.025,0.094
Hypertension,0.059,-0.024,0.571,0.213,0.21,0.008,-0.032,0.035,0.153
Neoplasms,0.347,-0.029,0.188,-0.099,0.075,0.016,-0.086,0.196,-0.132
Inflammatory_conditions_of_male_genital_organs,0,-0.047,0.035,-0.048,-0.036,-0.002,0.986,0.035,-0.011
Ischemic_heart_disease,0.266,-0.053,0.362,-0.086,0.054,0.031,-0.021,-0.039,0.134
Other_male_genital_disorders,-0.01,-0.058,0.018,-0.056,-0.045,0.993,-0.005,-0.024,0.003
Cataract,0.687,-0.074,0.109,0.002,0.093,-0.014,0.02,-0.032,0.03
Hyperplasia_of_prostate,0.045,-0.078,0.025,-0.126,0.957,-0.03,-0.02,0.014,-0.012
Gout,0.069,-0.21,0.463,-0.127,-0.001,-0.137,-0.027,0.024,0.296
