"",ML1,ML3,ML5,ML2,ML4,ML7,ML6
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.044,0.478,0.134,-0.065,0.02,0.186,-0.023
Menopausal_disorders,-0.074,0.439,0.143,0.367,-0.014,-0.043,0.198
Disorders_of_lipid_metabolism,0.489,0.362,-0.074,-0.087,0.057,-0.045,0.121
Osteoarthritis,0.124,0.338,0.283,-0.11,0.019,0.11,0.067
Thyroid_disorders,0.12,0.323,0.057,0.29,0.111,0.037,-0.108
Depression_and_Mood_disorders,0.068,0.27,0.216,0.241,0.077,0.09,0.028
Neuropathy_and_other_nervous_system_disorders,0.049,0.236,0.108,0.132,0.129,0.152,0.07
Anxiety_disorders,0.016,0.185,-0.005,0.214,0.182,0.166,0.096
Esophageal_disorders,0.087,0.135,0.079,-0.019,0.114,0.218,0.048
Hypertension,0.631,0.132,0.083,-0.156,0.123,0.025,0.024
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.07,0.109,0.163,-0.052,-0.032,0.117,0.263
Cataract,0.044,0.064,0.671,-0.176,0.083,-0.026,0.047
Headache__including_migraine,0.04,0.007,-0.01,0.169,0.451,0.041,0.056
Allergic_rhinitis,0.023,0.007,-0.114,0.024,0.039,0.51,0.017
Menstrual_disorders,-0.013,-0.007,-0.069,0.788,0.12,0.07,0.025
Obesity,0.652,-0.029,-0.073,0.128,-0.02,0.17,0.058
Urinary_incontinence,0.182,-0.04,0.546,0.201,-0.048,0.041,0.042
Asthma,-0.075,-0.043,0.095,0.015,0.004,0.52,0.032
Miscellaneous_mental_health_disorders,-0.016,-0.043,0.014,0.018,0.787,-0.006,0.003
Vision_defects,-0.004,-0.063,-0.007,-0.013,0.015,0.003,0.731
Diabetes,0.753,-0.093,0.156,0.015,-0.032,-0.097,-0.017
