"",ML7,ML2,ML5,ML4,ML6,ML3,ML1
Congestive_heart_failure__nonhypertensive,-0.067,1.024,0.023,0.022,0.019,-0.007,0.029
Hypertension,0.359,0.457,0.027,0.024,-0.131,0.1,0.049
Coagulation_and_hemorrhagic_disorders,0.244,0.359,0.031,-0.143,0.081,0.089,-0.059
Cardiac_dysrhythmias,0.393,0.354,0.041,-0.028,-0.228,0.085,0.002
Ischemic_heart_disease,0.401,0.352,-0.253,-0.053,0.062,-0.037,-0.093
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.329,0.319,-0.028,-0.134,0.233,0.097,-0.013
Diabetes,0.47,0.195,-0.067,-0.067,-0.133,0.191,-0.003
Obesity,0.254,0.171,0.237,0.085,-0.1,0.115,0.126
Urinary_incontinence,0.33,0.156,0.09,0.216,0.03,0.194,-0.009
Neoplasms,0.207,0.155,-0.093,0.13,-0.014,0.026,0.001
Osteoporosis,0.32,0.113,-0.068,0.356,-0.013,0.108,-0.037
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.514,0.1,0.011,0.083,0.197,-0.071,-0.1
Osteoarthritis,0.531,0.098,0.006,0.208,-0.031,-0.032,0.004
Headache__including_migraine,0.073,0.064,0.429,0.136,0.086,-0.018,0.213
Cataract,0.631,0.058,-0.236,0.104,-0.171,0.098,-0.123
Asthma,0.071,0.041,0.274,0.145,0.1,-0.024,0.175
Other_male_genital_disorders,-0.053,0.04,-0.162,-0.117,0.006,0.012,0.929
Anxiety_disorders,0.146,0.032,0.36,0.143,0.331,-0.037,0.252
Adictions,-0.083,0.027,-0.049,0.006,0.894,0.063,-0.002
Disorders_of_lipid_metabolism,0.514,0.025,0.04,0.149,-0.184,0.076,0.163
Depression_and_Mood_disorders,0.299,0.024,0.233,0.205,0.348,-0.037,0.192
Menstrual_disorders,-0.082,0.022,0.94,-0.008,-0.026,-0.002,-0.232
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.389,0.017,0.167,-0.005,0.065,-0.012,0.109
Menopausal_disorders,0.011,0.007,-0.013,0.984,0.028,-0.02,-0.084
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.392,-0.006,0.104,0.12,-0.009,0.03,0.198
Hepatic_steatosis_and_other_liver_diseases,-0.045,-0.01,-0.009,-0.012,0.039,1.002,-0.005
Vision_defects,0.176,-0.013,0.201,0.152,0.025,0.09,0.173
Allergic_rhinitis,0.077,-0.016,0.375,0.016,-0.118,-0.075,0.261
Miscellaneous_mental_health_disorders,0.057,-0.025,0.39,0.174,-0.014,0.07,0.25
Sexual_disorders,0.456,-0.032,-0.08,-0.411,0.273,-0.018,0.032
Alcohol-related_disorders,0.138,-0.034,0.111,-0.127,0.217,0.325,0.027
Psoriasis_and_other_inflammatory,0.204,-0.042,0.082,0.057,0.104,-0.001,0.078
Hepatitis,0.048,-0.053,0.018,0.016,0.566,0.167,-0.023
Esophageal_disorders,0.128,-0.056,0.245,0.073,-0.056,0.247,0.195
Thyroid_disorders,0.364,-0.065,0.346,0.091,-0.088,0.021,0.046
Neuropathy_and_other_nervous_system_disorders,0.268,-0.141,0.219,0.184,0.118,0.133,0.17
