"",ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.137,0.802
Chronic_ulcer_of_skin,-0.204,0.643
Cardiac_dysrhythmias,0.081,0.517
Urinary_incontinence,0.176,0.484
Ischemic_heart_disease,0.276,0.477
Coagulation_and_hemorrhagic_disorders,-0.069,0.473
Hypertension,0.29,0.463
Diabetes,0.12,0.446
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.172,0.444
Chronic_kidney_disease,0.062,0.395
Cataract,0.289,0.322
Obesity,0.303,0.315
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.178,0.256
Depression_and_Mood_disorders,0.453,0.228
Atopic_dermatitis,0.232,0.188
Osteoarthritis,0.382,0.185
Diverticulosis_and_diverticulitis,0.356,0.181
Disorders_of_lipid_metabolism,0.4,0.178
Asthma,0.252,0.123
Vision_defects,0.414,0.115
Acute_cerebrovascular_disease,0.041,0.099
Glaucoma,0.048,0.093
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.458,0.089
Adjustment_disorders,0.239,0.054
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.283,0.045
Osteoporosis,0.312,0.025
Miscellaneous_mental_health_disorders,0.524,-0.033
Esophageal_disorders,0.297,-0.034
Headache__including_migraine,0.519,-0.041
Myodesopsia_and_other_eye_disorders,0.462,-0.075
Neuropathy_and_other_nervous_system_disorders,0.464,-0.105
Menstrual_disorders,0.466,-0.106
Anxiety_disorders,0.437,-0.12
Allergic_rhinitis,0.303,-0.128
Acquired_foot_deformities,0.492,-0.136
Menopausal_disorders,0.555,-0.138
