"",ML3,ML12,ML14,ML9,ML11,ML13,ML2,ML8,ML7,ML6,ML5,ML4,ML10,ML1
Menstrual_disorders,-0.075,0.687,0.001,-0.036,0.052,0.121,-0.018,-0.119,-0.095,-0.001,-0.093,-0.113,-0.051,-0.132
Depression_and_Mood_disorders,-0.052,0.486,0.307,0.164,0.083,0.045,0.375,0.149,0.118,-0.25,0.103,0.042,-0.191,-0.072
Menopausal_disorders,0.09,0.409,0.002,-0.134,0.099,-0.047,0.367,0.037,0.023,0.102,0.048,-0.059,0.019,0.08
Acquired_foot_deformities,0.318,0.394,-0.138,-0.005,0.088,-0.03,-0.045,-0.067,-0.132,0.146,-0.056,0.138,0.243,0.334
Myodesopsia_and_other_eye_disorders,0.431,0.36,-0.067,-0.164,0.11,-0.172,0.065,-0.081,0.223,-0.127,-0.018,-0.113,0.057,-0.017
Neuropathy_and_other_nervous_system_disorders,0.113,0.3,-0.18,0.073,0.077,0.237,-0.102,0.477,-0.226,0.08,0.157,-0.03,0.182,0.174
Diverticulosis_and_diverticulitis,0.162,0.23,-0.027,-0.074,-0.156,0.164,0.291,0.046,0.156,0.21,0.056,-0.071,0.185,-0.142
Disorders_of_lipid_metabolism,-0.042,0.206,0.29,-0.148,0.1,0.122,-0.036,0.038,-0.119,0.19,0.115,-0.019,0.204,-0.067
Miscellaneous_mental_health_disorders,0.141,0.194,0.154,-0.111,0.202,0.187,0.077,0.244,0.021,-0.124,-0.075,0.12,-0.059,0.118
Headache__including_migraine,-0.089,0.188,0.222,-0.252,0.092,0.288,0.038,0.092,0.078,0.22,-0.087,0.217,0.11,0.197
Vision_defects,0.275,0.18,0.343,-0.116,0.003,-0.048,0.124,-0.066,-0.167,0.089,-0.18,0.268,0.145,0.004
Anxiety_disorders,0.3,0.176,0.093,-0.099,-0.041,-0.024,0.039,-0.048,0.052,-0.105,0.137,0.001,0.172,0.346
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.076,0.153,0.171,0.591,0.103,0.035,-0.058,0.081,0.229,0.084,-0.056,0.087,-0.116,0.166
Esophageal_disorders,0.21,0.152,0.144,0.11,0.043,-0.28,-0.046,0.286,-0.164,-0.144,0.162,-0.131,0.263,0.021
Osteoporosis,0.001,0.138,0.264,0.031,-0.123,0.131,-0.093,0.094,0.148,0.094,-0.063,-0.079,0.071,0.211
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.21,0.131,0.223,-0.025,0.232,-0.002,0.113,0.156,0.02,0.324,0.006,0.055,-0.148,0.018
Diabetes,0.195,0.127,-0.016,0.052,0.154,0.035,-0.044,0.033,0.067,0.11,0.033,0.032,0.161,-0.84
Allergic_rhinitis,-0.026,0.122,-0.135,-0.064,0.181,-0.083,0.245,0.079,0.219,-0.09,0.058,-0.363,0.189,0.078
Urinary_incontinence,0.054,0.119,0.182,0.47,0.099,0.064,0.031,0.038,0.071,0.061,-0.074,0.198,-0.058,-0.121
Coagulation_and_hemorrhagic_disorders,0.104,0.098,0.054,0.068,0.075,0.086,0.125,-0.895,-0.061,-0.015,0.147,-0.061,0.042,0.053
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.293,0.098,0.043,-0.002,0.096,0.006,0.359,0.133,0.12,0.128,0.25,-0.003,0.036,0.122
Ischemic_heart_disease,0.006,0.086,0.014,0.055,0.018,0.812,-0.027,-0.135,0.084,0.012,-0.124,-0.101,0.174,-0.046
Adjustment_disorders,0.042,0.07,-0.025,-0.003,0.116,0.129,-0.09,0.248,0.016,0.039,0.122,0.089,0.074,0.071
Cardiac_dysrhythmias,0.151,0.06,-0.082,0.168,0.248,0.293,-0.109,-0.27,0.205,-0.165,0.241,0.217,-0.143,0.046
Osteoarthritis,0.238,0.044,0.179,0.105,0.262,0.025,-0.051,0.097,0.212,0.053,-0.162,-0.134,0.082,0.15
Glaucoma,-0.25,0.008,0.13,0.118,-0.134,0.252,-0.048,0.122,0.239,-0.13,-0.104,-0.103,0.167,0.001
Obesity,-0.117,0.004,-0.033,-0.032,0.987,0.003,-0.071,-0.048,-0.05,0.015,-0.011,0.018,0.05,-0.091
