"",ML4,ML5,ML3,ML2,ML1
Other_nutritional__endocrine__and_metabolic_disorders,-0.064,0.645,-0.045,-0.202,-0.048
Obesity,0.072,0.558,-0.109,0.074,0.122
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.007,0.491,-0.089,-0.001,0.227
Cataract,0.023,0.453,-0.035,0.277,0.008
Hypertension,0.055,0.389,0.268,0.31,-0.039
Congestive_heart_failure__nonhypertensive,-0.205,0.344,0.311,0.142,0.349
Osteoarthritis,0.218,0.34,0.034,0.121,-0.068
Diabetes,-0.019,0.338,0.281,0.195,-0.067
Disorders_of_lipid_metabolism,0.242,0.328,-0.101,0.135,0.012
Vision_defects,0.411,0.279,-0.011,-0.082,0.052
Esophageal_disorders,0.239,0.252,0.114,-0.214,-0.16
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.427,0.238,0.076,-0.039,-0.09
Urinary_incontinence,0.119,0.223,0.529,0.114,-0.074
Cardiac_dysrhythmias,0.01,0.222,0.176,0.188,0.324
Atopic_dermatitis,0.219,0.208,0.131,-0.02,0.028
Asthma,0.148,0.198,-0.07,0.12,0.14
Miscellaneous_mental_health_disorders,0.365,0.187,-0.105,0.15,-0.205
Transient_cerebral_ischemia,0.073,0.156,0.149,0.142,-0.148
Depression_and_Mood_disorders,0.461,0.154,0.251,-0.043,-0.025
Headache__including_migraine,0.355,0.15,-0.206,0.263,-0.145
Heart_valve_disorders,0.003,0.148,0.185,-0.214,0.323
Acute_cerebrovascular_disease,0.064,0.142,0.285,-0.182,-0.19
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.165,0.139,0.547,0.056,-0.084
Chronic_kidney_disease,-0.079,0.131,0.128,0.37,-0.1
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.2,0.128,0.212,0.095,0.135
Osteoporosis,0.196,0.1,-0.035,0.152,-0.109
Adjustment_disorders,0.137,0.089,0.032,0.187,-0.237
Myodesopsia_and_other_eye_disorders,0.53,0.085,-0.126,-0.106,0.142
Glaucoma,-0.126,0.045,0.063,0.287,-0.188
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.302,0.043,0.148,-0.041,-0.062
Anxiety_disorders,0.438,0.027,-0.105,-0.006,0.135
Coagulation_and_hemorrhagic_disorders,0.062,0.009,0.028,0.068,0.974
Psoriasis_and_other_inflammatory,0.147,-0.005,0.226,0.012,-0.054
Ischemic_heart_disease,-0.005,-0.025,0.016,0.989,0.068
Allergic_rhinitis,0.308,-0.026,-0.048,0.005,0.011
Diverticulosis_and_diverticulitis,0.412,-0.06,0.179,0.176,-0.036
Neuropathy_and_other_nervous_system_disorders,0.332,-0.063,0.063,0.257,-0.396
Menopausal_disorders,0.665,-0.079,-0.025,-0.029,0.042
Chronic_ulcer_of_skin,-0.093,-0.09,0.939,0.016,0.077
Acquired_foot_deformities,0.537,-0.115,-0.043,0.045,0.078
Menstrual_disorders,0.45,-0.13,-0.146,0.199,0.118
Irritable_bowel_and_other_GI_disorders,0.34,-0.266,0.425,-0.134,0.217
