"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.039,0.965,0.096
Coagulation_and_hemorrhagic_disorders,-0.005,0.401,0.179
Chronic_kidney_disease,0.145,0.386,-0.019
Obesity,0.371,0.376,-0.191
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.217,0.351,-0.126
Cardiac_dysrhythmias,0.19,0.32,0.21
Cataract,0.372,0.254,-0.066
Disorders_of_lipid_metabolism,0.435,0.246,-0.187
Atopic_dermatitis,0.229,0.236,0.04
Ischemic_heart_disease,0.39,0.234,0.148
Asthma,0.261,0.149,-0.059
Diabetes,0.239,0.145,0.242
Vision_defects,0.423,0.128,-0.08
Osteoarthritis,0.42,0.103,0.007
Diverticulosis_and_diverticulitis,0.379,0.101,0.09
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.459,0.09,-0.034
Hypertension,0.415,0.086,0.301
Adjustment_disorders,0.245,0.08,-0.049
Chronic_ulcer_of_skin,-0.084,0.069,0.972
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.281,0.068,0.513
Depression_and_Mood_disorders,0.5,0.047,0.188
Headache__including_migraine,0.516,0.046,-0.241
Urinary_incontinence,0.311,0.027,0.511
Myodesopsia_and_other_eye_disorders,0.407,0.007,-0.112
Osteoporosis,0.321,-0.017,-0.034
Miscellaneous_mental_health_disorders,0.524,-0.037,-0.134
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.293,-0.07,0.108
Glaucoma,0.115,-0.168,0.153
Esophageal_disorders,0.304,-0.174,0.099
Allergic_rhinitis,0.271,-0.195,0.03
Menopausal_disorders,0.505,-0.199,0.021
Acute_cerebrovascular_disease,0.115,-0.206,0.242
Anxiety_disorders,0.408,-0.208,0.021
Acquired_foot_deformities,0.448,-0.231,0.069
Menstrual_disorders,0.453,-0.231,0.021
Neuropathy_and_other_nervous_system_disorders,0.452,-0.255,0.078
