"",ML11,ML1,ML8,ML6,ML5,ML10,ML3,ML7,ML4,ML2,ML9
Congestive_heart_failure__nonhypertensive,-0.212,0.753,0.216,0.162,0.131,0.133,-0.005,0.171,-0.078,-0.131,-0.121
Chronic_kidney_disease,0.13,0.529,0.016,-0.074,-0.118,0.009,0.177,-0.13,0.081,-0.043,-0.04
Obesity,0.234,0.482,-0.225,0.022,-0.19,0.058,0.335,0.054,-0.064,0.089,0.137
Cardiac_dysrhythmias,0.219,0.376,0.082,-0.258,0.032,-0.039,-0.013,0.425,0.194,0.238,-0.104
Adjustment_disorders,-0.02,0.261,-0.034,0.018,0.286,-0.186,0.058,-0.225,-0.16,0.165,0.354
Disorders_of_lipid_metabolism,0.17,0.242,-0.231,0.078,0.144,0.158,0.136,0.013,0.198,-0.022,-0.063
Depression_and_Mood_disorders,0.417,0.177,0.199,0.181,0.135,-0.065,-0.139,-0.024,0.091,0.148,0.132
Ischemic_heart_disease,0.237,0.176,0.059,0.005,0.156,0.032,0.309,0.179,0.214,-0.182,-0.074
Diabetes,0.086,0.165,0.156,-0.035,0.17,-0.113,0.478,-0.054,-0.074,0.023,-0.038
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.227,0.163,-0.008,0.182,0.151,0.217,-0.245,-0.071,0.156,0.169,0.17
Cataract,0.183,0.161,-0.05,0.348,-0.014,0.14,0.093,-0.013,0.23,-0.066,-0.166
Headache__including_migraine,0.253,0.156,-0.304,0.134,0.122,0.044,0.064,-0.067,0.131,0.251,0.04
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.25,0.15,0.539,0.107,0.079,0.005,-0.13,-0.055,0.044,0.154,0.072
Vision_defects,0.206,0.105,-0.129,0.241,0.192,0.016,0.026,0.068,-0.023,0.278,-0.005
Asthma,0.158,0.075,-0.046,0.244,-0.117,0.089,0.114,0.094,0.046,-0.111,0.082
Atopic_dermatitis,-0.056,0.045,0.043,-0.056,-0.077,0.961,0.065,0.011,-0.119,-0.016,0.089
Osteoarthritis,0.252,0.044,0.015,0.261,0.198,0.042,0.153,-0.096,0.038,-0.115,-0.117
Neuropathy_and_other_nervous_system_disorders,0.533,0.037,0.078,-0.173,-0.035,0.097,0.108,-0.344,0.041,-0.084,0.035
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.029,0.015,0,0.998,-0.096,-0.057,0.049,0.048,-0.02,-0.022,-0.006
Chronic_ulcer_of_skin,-0.017,0.01,0.962,-0.04,-0.031,0.021,0.087,0.062,0.015,0.005,0.001
Coagulation_and_hemorrhagic_disorders,0.011,0.007,0.057,0.064,0.009,0.011,0.034,0.96,-0.052,-0.052,0.017
Diverticulosis_and_diverticulitis,-0.025,0.004,-0.001,-0.099,0.996,-0.062,0.079,0.017,-0.06,-0.041,0.027
Urinary_incontinence,0.157,0.002,0.479,0.164,0.12,0.12,-0.015,-0.012,0.048,0.236,-0.025
Hypertension,-0.06,-0.008,0.069,0.09,0.101,0.092,0.878,0.043,0.141,0.144,0.086
Miscellaneous_mental_health_disorders,0.375,-0.011,-0.132,0.173,0.164,0.354,-0.06,-0.173,0.006,0.131,-0.05
Myodesopsia_and_other_eye_disorders,0.408,-0.023,-0.139,-0.042,0.031,0.283,0.035,0.146,-0.146,-0.085,0.005
Glaucoma,-0.049,-0.028,0.026,-0.024,-0.073,-0.117,0.091,-0.035,0.968,-0.057,0.018
Allergic_rhinitis,0.011,-0.048,0.015,-0.013,0.015,0.085,0.048,0.015,0.021,-0.095,0.962
Acute_cerebrovascular_disease,-0.061,-0.068,0.051,-0.035,-0.049,-0.008,0.096,-0.033,-0.063,0.968,-0.092
Menstrual_disorders,0.664,-0.093,0.009,0.081,0.009,-0.253,-0.029,0.14,-0.092,-0.1,0.189
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.007,-0.096,0.052,0.066,0.159,0.319,-0.11,0.006,0.235,0.147,0.143
Menopausal_disorders,0.438,-0.124,-0.062,-0.097,0.134,0.179,-0.091,0.13,0.141,0.009,0.078
Osteoporosis,0.01,-0.141,-0.049,0.258,0.334,0.241,-0.143,-0.052,0.358,-0.036,-0.052
Esophageal_disorders,0.333,-0.189,0.1,0.053,0.095,0.076,0.277,-0.221,-0.175,-0.208,-0.231
Acquired_foot_deformities,0.413,-0.254,-0.053,-0.025,0.169,0.074,0.076,0.176,-0.031,0.095,-0.125
Anxiety_disorders,0.291,-0.276,-0.056,0.104,0.086,0.124,0.066,0.183,-0.131,0.037,0.126
