"",ML13,ML9,ML11,ML6,ML5,ML1,ML8,ML3,ML7,ML10,ML12,ML4,ML2
Chronic_ulcer_of_skin,-0.006,0.962,0.024,-0.007,-0.036,0.01,-0.036,0.076,-0.028,0.065,0.007,0.026,0.007
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.076,0.546,0.141,0.201,0.132,0.032,0.078,-0.122,0.06,-0.077,0.152,0.03,0.045
Urinary_incontinence,0.11,0.48,-0.01,0.039,0.089,0.158,0.153,-0.035,0.087,-0.036,0.246,-0.021,-0.005
Congestive_heart_failure__nonhypertensive,-0.104,0.221,0.763,-0.164,0.044,0.049,0.152,0.014,0.115,0.163,-0.139,-0.104,-0.096
Depression_and_Mood_disorders,0.28,0.202,0.198,0.223,0.075,-0.129,0.156,-0.123,0.165,-0.027,0.148,0.132,0.123
Diabetes,-0.264,0.147,0.078,0.142,0.135,0.118,-0.055,0.503,0.158,-0.05,0.015,-0.041,-0.103
Esophageal_disorders,0.474,0.111,-0.094,0.073,-0.009,-0.246,0.027,0.317,0.114,-0.179,-0.223,-0.103,-0.209
Cardiac_dysrhythmias,0.225,0.088,0.382,0.074,-0.051,0.128,-0.262,-0.081,0.032,0.383,0.272,0.193,-0.084
Atopic_dermatitis,0.334,0.077,0.207,-0.258,0.171,0.079,-0.074,0.188,-0.184,-0.014,-0.04,-0.354,0.249
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.257,0.074,0.033,-0.034,0.034,-0.072,0.063,-0.065,0.127,-0.014,0.139,0.159,0.213
Neuropathy_and_other_nervous_system_disorders,0.376,0.074,-0.058,0.113,0.178,0.278,-0.217,0.04,-0.081,-0.359,-0.061,-0.021,0.041
Hypertension,0.027,0.07,0.011,-0.073,-0.09,0.13,0.097,0.848,0.098,0.042,0.169,0.148,0.128
Acute_cerebrovascular_disease,-0.032,0.061,-0.072,-0.06,0.036,-0.079,-0.031,0.11,-0.045,-0.035,0.955,-0.065,-0.101
Coagulation_and_hemorrhagic_disorders,0.008,0.058,0.026,0.043,0.007,0.072,0.062,0.025,0.007,0.945,-0.047,-0.056,0.017
Ischemic_heart_disease,-0.013,0.034,-0.018,0.063,0,0.945,0.004,0.074,0.052,0.073,-0.075,0.028,-0.041
Glaucoma,-0.007,0.027,-0.019,-0.037,0.06,0.026,-0.02,0.089,-0.063,-0.035,-0.061,0.985,0.015
Menstrual_disorders,-0.05,0.027,-0.045,0.986,-0.036,0.062,0.043,-0.024,-0.008,0.036,-0.053,-0.034,0.069
Allergic_rhinitis,-0.027,0.017,-0.053,0.069,0.044,-0.053,-0.023,0.058,0.025,0.016,-0.098,0.015,0.962
Osteoarthritis,0.306,0.012,0.025,-0.021,0.116,0.083,0.23,0.126,0.181,-0.082,-0.112,0.025,-0.099
Chronic_kidney_disease,-0.082,0.009,0.427,0.048,0.055,0.31,-0.09,0.123,-0.145,-0.167,-0.013,0.037,-0.047
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.067,0.004,-0.003,-0.049,0.999,0.012,0.049,-0.058,0.033,-0.008,0.034,0.054,0.041
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.009,0,0.021,0.053,0.045,-0.004,0.975,0.046,-0.088,0.053,-0.019,-0.017,-0.02
Diverticulosis_and_diverticulitis,-0.012,-0.006,0.02,-0.001,0.042,0.031,-0.094,0.072,0.972,0.016,-0.045,-0.057,0.029
Osteoporosis,0.367,-0.038,-0.047,-0.142,0.012,0.087,0.259,-0.174,0.291,-0.072,-0.023,0.261,0.038
Menopausal_disorders,0.273,-0.038,-0.062,0.317,0.308,-0.077,-0.155,0.005,0.081,0.115,-0.025,0.111,0.046
Asthma,0.466,-0.042,0.118,-0.07,-0.191,0.127,0.244,-0.005,-0.111,0.074,-0.057,0.022,0.165
Adjustment_disorders,-0.051,-0.048,0.157,-0.038,-0.072,0.181,0.022,-0.062,0.291,-0.242,0.202,-0.156,0.345
Cataract,0.156,-0.054,0.088,-0.078,0.224,0.283,0.314,0.067,-0.063,-0.022,-0.061,0.137,-0.146
Acquired_foot_deformities,0.508,-0.054,-0.236,0.044,-0.003,0.091,-0.037,0.016,0.159,0.17,0.12,-0.056,-0.078
Anxiety_disorders,0.359,-0.056,-0.302,-0.022,0.16,0.079,0.072,0.039,0.059,0.199,0.034,-0.174,0.146
Miscellaneous_mental_health_disorders,0.263,-0.108,0.083,0.304,0.105,0.122,0.145,-0.017,0.093,-0.241,0.149,-0.112,-0.009
Myodesopsia_and_other_eye_disorders,0.232,-0.114,0.04,0.273,0.356,-0.143,-0.112,0.183,-0.023,0.152,-0.139,-0.171,-0.03
Vision_defects,0.063,-0.117,0.115,0.157,0.252,-0.121,0.196,0.109,0.177,0.077,0.242,-0.011,-0.05
Disorders_of_lipid_metabolism,0.197,-0.21,0.365,0.21,-0.093,0.008,0.073,0.154,0.129,-0.04,0.005,0.177,-0.019
Obesity,0.096,-0.216,0.452,0.111,0.125,0.011,-0.02,0.358,-0.19,0.05,0.087,-0.042,0.118
Headache__including_migraine,0.131,-0.291,0.152,0.231,0.082,0.209,0.105,0.024,0.072,-0.128,0.28,0.07,0.033
