"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.99,0.053
Coagulation_and_hemorrhagic_disorders,0.399,0.42,0.045
Heart_valve_disorders,0.5,0.404,0.05
Urinary_incontinence,0.364,0.343,0.014
Hypertension,0.293,0.283,0.068
Chronic_kidney_disease,0.448,0.271,-0.072
Chronic_ulcer_of_skin,0.356,0.214,-0.145
Acquired_foot_deformities,0.035,0.213,0.051
Cardiac_dysrhythmias,0.423,0.15,-0.06
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.361,0.146,-0.027
Anxiety_disorders,0.236,0.143,0.222
Depression_and_Mood_disorders,0.096,0.137,0.341
Diverticulosis_and_diverticulitis,0.304,0.086,0.213
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.302,0.076,0.561
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.517,0.064,-0.215
Diabetes,0.273,0.046,0.073
Osteoporosis,0.181,0.034,0.238
Asthma,-0.091,0.015,1.004
Vision_defects,0.127,0.014,0.432
Disorders_of_lipid_metabolism,0.19,-0.037,0.238
Glaucoma,0.636,-0.059,-0.11
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.301,-0.061,-0.065
Thyroid_disorders,0.439,-0.116,0.006
Headache__including_migraine,0.24,-0.136,0.167
Cataract,0.493,-0.156,0.258
Allergic_rhinitis,0.195,-0.246,0.061
Diseases_of_white_blood_cells,0.405,-0.252,0.06
Adjustment_disorders,0.43,-0.456,0.145
