"",ML8,ML7,ML5,ML2,ML1,ML4,ML6,ML3
Chronic_ulcer_of_skin,-0.107,0.823,0.088,-0.074,0.041,-0.045,0.12,-0.023
Urinary_incontinence,0.077,0.512,0.11,0.098,0.107,0.127,-0.089,0.097
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.112,0.489,0.106,0.051,0.04,0.085,-0.07,0.205
Irritable_bowel_and_other_GI_disorders,0.424,0.479,-0.168,-0.209,-0.076,-0.103,0.263,-0.012
Congestive_heart_failure__nonhypertensive,-0.241,0.386,0.144,0.277,0.127,0.199,0.26,-0.129
Depression_and_Mood_disorders,0.501,0.332,-0.128,0.059,-0.011,0.174,-0.046,0.049
Acute_cerebrovascular_disease,0.062,0.319,-0.061,0.125,-0.2,-0.105,-0.162,0.217
Heart_valve_disorders,0.04,0.277,-0.051,0.084,-0.198,0.045,0.297,0.011
Hypertension,0.054,0.266,-0.085,0.339,0.288,0.077,-0.03,0.252
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.401,0.244,-0.367,0.035,-0.003,0.056,-0.033,0.111
Chronic_kidney_disease,-0.079,0.236,0.167,0.105,0.349,-0.011,-0.166,-0.165
Diabetes,-0.152,0.21,0.401,0.368,0.11,-0.071,-0.093,0.191
Cardiac_dysrhythmias,0.006,0.171,0.107,0.279,0.17,-0.223,0.344,0.179
Diverticulosis_and_diverticulitis,0.371,0.159,0.175,-0.112,0.175,-0.158,-0.001,0.194
Esophageal_disorders,0.232,0.141,0.18,0.138,-0.191,0.067,-0.228,-0.199
Atopic_dermatitis,0.195,0.12,0.25,0.206,-0.038,-0.02,-0.015,-0.033
Psoriasis_and_other_inflammatory,0.035,0.109,0.256,-0.053,-0.03,0.07,-0.041,0.212
Cataract,0.032,0.066,0.169,0.022,0.296,0.403,-0.112,-0.125
Glaucoma,-0.059,0.066,-0.24,-0.086,0.294,0.044,-0.138,0.224
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.347,0.057,0.253,0.171,-0.063,0.163,-0.147,0.033
Adjustment_disorders,0.13,0.056,0.02,0.129,0.173,-0.039,-0.246,-0.002
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.016,0.053,0.976,-0.109,0.025,0.004,0.058,0.036
Coagulation_and_hemorrhagic_disorders,0.06,0.045,0.065,0.062,0.094,0.072,0.949,-0.049
Neuropathy_and_other_nervous_system_disorders,0.333,0.037,0.092,0.085,0.28,-0.156,-0.405,-0.269
Vision_defects,0.36,0.032,0.266,0.047,-0.066,0.237,-0.039,-0.099
Other_nutritional__endocrine__and_metabolic_disorders,-0.059,0.028,0.047,0.372,-0.23,0.288,-0.133,0.119
Ischemic_heart_disease,-0.008,0.001,0.006,-0.003,0.98,0.011,0.084,0.048
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.019,-0.008,-0.022,-0.031,-0.004,0.999,0.071,0.009
Transient_cerebral_ischemia,-0.006,-0.01,0.033,-0.026,0.035,0.004,-0.021,0.991
Disorders_of_lipid_metabolism,0.256,-0.012,0.013,0.192,0.158,0.121,-0.05,-0.076
Osteoarthritis,0.148,-0.03,0.226,0.214,0.075,0.243,-0.113,0.166
Menopausal_disorders,0.664,-0.047,0.011,0.034,0.002,-0.086,0.061,0.004
Osteoporosis,0.202,-0.049,-0.004,-0.154,0.165,0.265,-0.122,0.118
Obesity,0.023,-0.052,-0.096,1.005,0,-0.02,0.059,-0.039
Miscellaneous_mental_health_disorders,0.345,-0.087,0.057,0.153,0.143,0.164,-0.252,-0.035
Allergic_rhinitis,0.323,-0.088,-0.118,0.138,-0.004,-0.059,0.051,0.149
Asthma,0.127,-0.121,0.026,0.124,0.1,0.243,0.122,0.155
Anxiety_disorders,0.435,-0.138,0.159,-0.06,0.014,0.082,0.113,-0.004
Acquired_foot_deformities,0.473,-0.143,0.252,0.063,0.046,-0.053,0.067,-0.115
Headache__including_migraine,0.36,-0.171,-0.109,0.083,0.267,0.129,-0.152,0.12
Menstrual_disorders,0.427,-0.188,-0.048,0.029,0.231,0.042,0.122,-0.119
Myodesopsia_and_other_eye_disorders,0.438,-0.238,0.353,0.11,-0.14,-0.026,0.136,0.177
