"",ML3,ML2,ML1
Congestive_heart_failure__nonhypertensive,0.014,0.986,0.061
Coagulation_and_hemorrhagic_disorders,0.377,0.433,0.047
Urinary_incontinence,0.354,0.356,0.01
Hypertension,0.416,0.293,0.054
Chronic_kidney_disease,0.46,0.266,-0.064
Chronic_ulcer_of_skin,0.357,0.233,-0.149
Acquired_foot_deformities,0.037,0.215,0.051
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.284,0.187,-0.031
Cardiac_dysrhythmias,0.468,0.171,-0.069
Depression_and_Mood_disorders,0.136,0.134,0.337
Anxiety_disorders,0.286,0.128,0.229
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.27,0.093,0.561
Diverticulosis_and_diverticulitis,0.237,0.091,0.222
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.496,0.091,-0.216
Osteoporosis,0.132,0.059,0.236
Diabetes,0.339,0.056,0.06
Vision_defects,0.176,0.019,0.422
Asthma,-0.086,0.018,1.004
Glaucoma,0.557,-0.015,-0.114
Disorders_of_lipid_metabolism,0.303,-0.051,0.228
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.353,-0.059,-0.072
Thyroid_disorders,0.414,-0.103,0.007
Cataract,0.445,-0.129,0.247
Headache__including_migraine,0.255,-0.134,0.162
Allergic_rhinitis,0.195,-0.225,0.051
Adjustment_disorders,0.513,-0.478,0.139
