"",ML4,ML8,ML11,ML9,ML7,ML1,ML2,ML5,ML6,ML10,ML3
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.034,0.801,-0.181,0.031,-0.079,0.065,0.344,0.17,0.043,-0.002,0.012
Glaucoma,0.053,0.509,0.031,0.146,-0.004,0.212,-0.266,-0.007,0.024,0.006,0.252
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.078,0.359,0.418,0.034,0.07,0.012,-0.188,-0.079,0.105,0.094,-0.104
Diseases_of_white_blood_cells,0.119,0.343,0.53,-0.126,-0.015,0.088,-0.097,0.02,-0.12,-0.3,-0.081
Vision_defects,0.015,0.311,0.059,0.443,-0.067,-0.394,0.331,-0.097,0.117,0.018,-0.013
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.023,0.289,0.172,0.09,0.016,0.233,-0.35,0.195,0.01,0.033,0.107
Acquired_foot_deformities,-0.276,0.284,0.079,-0.287,0.423,0.005,-0.061,-0.114,0.115,0.34,0.03
Urinary_incontinence,0.292,0.243,0.189,0.1,0.106,0.036,-0.01,0.031,-0.121,0.429,0.246
Headache__including_migraine,0.037,0.19,0.236,0.037,0.121,-0.193,0.013,-0.122,0.319,-0.199,-0.085
Coagulation_and_hemorrhagic_disorders,0.355,0.148,-0.28,0.154,0.418,0.291,0.122,0.033,-0.051,0.109,-0.091
Heart_valve_disorders,0.102,0.145,0.081,0.271,-0.023,0.78,0.003,-0.176,0.173,0.134,-0.032
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.298,0.138,0.166,0.018,0.047,-0.201,-0.155,0.018,0.21,-0.13,-0.009
Cataract,0.259,0.118,0.14,0.164,0.182,0.075,0.168,0.16,0.129,-0.517,-0.168
Depression_and_Mood_disorders,-0.138,0.095,0.258,-0.092,0.074,0.011,0.281,0.143,-0.096,0.226,0.052
Asthma,-0.029,0.082,0.085,-0.048,-0.005,0.038,0.963,-0.032,0.035,0.002,0.049
Hypertension,0.037,0.056,-0.008,0.037,-0.028,-0.056,-0.053,0.983,0.048,0.041,0.031
Adjustment_disorders,0.066,0.015,0.016,0.005,0.038,-0.001,0.055,0.039,0.117,-0.027,0.952
Chronic_kidney_disease,-0.119,0.002,-0.024,0.944,0.158,0.08,-0.072,0.076,-0.017,0.024,-0.007
Congestive_heart_failure__nonhypertensive,0.187,-0.02,0.05,0.122,0.039,0.131,0.08,0.218,0.166,0.691,-0.349
Chronic_ulcer_of_skin,0.988,-0.032,0.039,-0.112,0.061,-0.012,-0.036,0.052,-0.02,0.024,0.064
Allergic_rhinitis,-0.267,-0.032,0.009,-0.067,0.067,0.05,-0.065,0.137,0.288,-0.189,0.186
Diverticulosis_and_diverticulitis,-0.169,-0.035,0.141,-0.216,0.243,0.615,0.151,0.246,0.008,-0.138,-0.059
Anxiety_disorders,-0.017,-0.039,-0.035,-0.044,-0.018,0.041,0.001,0.039,0.98,0.008,0.088
Disorders_of_lipid_metabolism,-0.287,-0.067,0.322,0.139,0.292,-0.234,0.13,0.222,0.097,-0.017,0.049
Cardiac_dysrhythmias,0.072,-0.08,-0.02,0.115,0.966,-0.005,-0.019,-0.006,0.001,-0.035,0.045
Thyroid_disorders,0.179,-0.11,0.207,0.338,-0.183,0.222,0.006,0.101,-0.051,-0.223,0.093
Diabetes,0.238,-0.136,-0.043,0.242,0.085,-0.051,0.131,0.178,-0.056,0.03,0.242
Osteoporosis,0.033,-0.191,0.866,0.004,-0.034,0.074,0.15,0.009,0.009,0.067,0.056
