"",ML5,ML4,ML2,ML3,ML1
Asthma,0.087,0.74,-0.067,-0.216,0.071
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.095,0.737,-0.007,0.018,0.063
Vision_defects,-0.297,0.691,-0.004,0.264,-0.046
Anxiety_disorders,0.271,0.306,-0.107,-0.003,0.142
Headache__including_migraine,0.144,0.303,0.027,0.033,-0.167
Depression_and_Mood_disorders,0.325,0.244,-0.097,-0.146,0.165
Adjustment_disorders,0.164,0.222,0.23,0.047,-0.495
Cataract,0.304,0.2,0.284,0.261,-0.273
Hypertension,0.2,0.17,0.165,0.122,0.202
Urinary_incontinence,0.033,0.157,0.383,0.094,0.265
Glaucoma,0.277,0.146,0.152,0.237,-0.136
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.29,0.138,0.121,0.043,0.088
Disorders_of_lipid_metabolism,0.29,0.136,-0.23,0.169,-0.044
Acquired_foot_deformities,0.266,0.111,-0.255,-0.168,0.272
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.017,0.092,0.316,0.041,-0.12
Diseases_of_white_blood_cells,0.384,0.08,0.221,-0.102,-0.279
Osteoporosis,0.362,0.078,0.129,-0.111,0.017
Congestive_heart_failure__nonhypertensive,0.047,0.076,0.112,0.078,0.929
Allergic_rhinitis,0.319,0.066,-0.233,0.016,-0.223
Coagulation_and_hemorrhagic_disorders,0.158,0.062,0.347,0.325,0.279
Thyroid_disorders,0.086,0.045,0.253,0.297,-0.205
Diabetes,0.08,0.037,0.279,0.254,-0.063
Chronic_kidney_disease,-0.034,0.017,-0.081,0.993,0.067
Heart_valve_disorders,0.43,0.015,0.103,0.345,0.293
Diverticulosis_and_diverticulitis,0.756,-0.017,-0.104,-0.046,0.063
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.373,-0.036,0.088,0.198,-0.013
Chronic_ulcer_of_skin,-0.043,-0.048,1.006,-0.08,0.057
Cardiac_dysrhythmias,0.353,-0.171,0.128,0.437,0.017
