"",ML7,ML2,ML1,ML6,ML4,ML3,ML5
Hypertension,-0.041,0.972,-0.034,0.057,0.062,0.049,0.024
Diabetes,0.021,0.44,0.134,0.125,0.112,-0.083,-0.048
Obesity,0.219,0.376,0.355,-0.272,-0.028,-0.012,0.051
Acute_cerebrovascular_disease,0.074,0.357,-0.106,0.177,-0.25,-0.092,-0.133
Esophageal_disorders,0.302,0.228,-0.085,0.086,-0.25,0.046,-0.135
Glaucoma,-0.167,0.22,-0.216,0.09,0.244,0.075,-0.147
Allergic_rhinitis,0.23,0.211,-0.197,-0.049,-0.03,-0.049,0.078
Atopic_dermatitis,0.235,0.21,0.281,0.005,-0.097,-0.078,-0.001
Disorders_of_lipid_metabolism,0.297,0.189,0.236,-0.219,0.097,0.054,-0.044
Vision_defects,0.43,0.149,0.111,-0.077,-0.119,0.176,0.026
Diverticulosis_and_diverticulitis,0.353,0.147,0.172,0.022,0.131,-0.228,-0.011
Osteoarthritis,0.266,0.123,0.064,0.014,0.101,0.237,-0.104
Headache__including_migraine,0.322,0.121,0.041,-0.26,0.242,0.097,-0.157
Chronic_kidney_disease,-0.023,0.097,0.401,-0.037,0.313,-0.081,-0.177
Chronic_ulcer_of_skin,-0.065,0.094,0.061,0.937,-0.007,-0.046,0.078
Asthma,0.116,0.085,0.026,-0.071,0.111,0.25,0.093
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.275,0.083,-0.037,0.102,-0.047,0.05,-0.049
Adjustment_disorders,0.166,0.082,0.163,-0.051,0.15,-0.076,-0.241
Anxiety_disorders,0.392,0.08,-0.265,-0.034,0.001,0.077,0.199
Ischemic_heart_disease,-0.04,0.074,0.027,0.025,0.958,0.004,0.068
Acquired_foot_deformities,0.461,0.074,-0.24,0.002,0.056,-0.046,0.157
Myodesopsia_and_other_eye_disorders,0.546,0.06,0.037,-0.142,-0.143,-0.066,0.177
Cataract,0.121,0.055,0.127,-0.044,0.284,0.359,-0.082
Cardiac_dysrhythmias,0.176,0.053,0.284,0.109,0.173,-0.274,0.33
Urinary_incontinence,0.213,0.051,0.016,0.511,0.125,0.13,-0.067
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.011,0.031,0.028,-0.005,-0.008,0.985,0.048
Neuropathy_and_other_nervous_system_disorders,0.375,0.029,-0.104,0.063,0.269,-0.165,-0.348
Coagulation_and_hemorrhagic_disorders,0.038,0.017,0.065,0.046,0.069,0.051,0.949
Miscellaneous_mental_health_disorders,0.42,0.012,0.004,-0.103,0.147,0.148,-0.225
Menopausal_disorders,0.609,-0.012,-0.143,-0.014,0.001,-0.108,0.105
Congestive_heart_failure__nonhypertensive,-0.045,-0.018,0.878,0.141,0.05,0.097,0.137
Depression_and_Mood_disorders,0.555,-0.029,0.093,0.231,-0.059,0.137,-0.049
Osteoporosis,0.187,-0.038,-0.059,0.006,0.168,0.257,-0.131
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.305,-0.073,0.109,0.552,0.068,0.072,-0.086
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.505,-0.088,0.146,0.033,0.006,0.141,-0.135
Menstrual_disorders,0.449,-0.147,-0.301,0,0.258,0.077,0.17
