"",ML5,ML7,ML1,ML3,ML4,ML6,ML2
Osteoporosis,-0.179,0.869,0.08,0.036,-0.026,0.001,0.145
Diseases_of_white_blood_cells,0.338,0.514,-0.228,0.137,-0.03,-0.1,-0.112
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.329,0.364,0.147,0.029,0.029,0.012,-0.188
Disorders_of_lipid_metabolism,-0.04,0.325,-0.04,-0.283,0.308,0.127,0.171
Diverticulosis_and_diverticulitis,0.125,0.297,0.114,-0.122,0.349,-0.152,0.11
Thyroid_disorders,-0.025,0.286,-0.132,0.226,-0.15,0.384,0.004
Depression_and_Mood_disorders,0.108,0.27,0.186,-0.12,0.079,-0.117,0.243
Headache__including_migraine,0.183,0.245,-0.141,-0.04,0.1,0.045,0.07
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.387,0.231,0.064,0.013,0.053,0.104,-0.365
Heart_valve_disorders,0.266,0.226,0.375,0.075,0.024,0.303,-0.057
Cataract,0.195,0.202,-0.246,0.252,0.203,0.234,0.209
Anxiety_disorders,0.179,0.178,0.186,-0.146,0.09,0.008,0.12
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.15,0.157,-0.101,0.257,0.034,0.03,-0.103
Allergic_rhinitis,0.103,0.156,-0.192,-0.262,0.152,-0.026,-0.022
Urinary_incontinence,0.233,0.13,0.276,0.32,0.097,0.051,-0.042
Adjustment_disorders,0.173,0.129,-0.483,0.187,0.183,0.027,0.106
Asthma,0.093,0.106,0.03,-0.026,0.017,-0.042,0.953
Glaucoma,0.584,0.093,-0.074,0.082,0.022,0.152,-0.286
Hypertension,0.275,0.066,0.238,0.131,0.072,0.086,-0.01
Acquired_foot_deformities,0.252,0.059,0.236,-0.323,0.42,-0.342,-0.08
Congestive_heart_failure__nonhypertensive,0.002,0.042,0.956,0.1,0.001,0.075,0.042
Chronic_ulcer_of_skin,-0.011,0.031,0.074,0.984,0.052,-0.091,-0.032
Diabetes,-0.077,-0.014,-0.039,0.29,0.115,0.251,0.143
Chronic_kidney_disease,0.024,-0.023,0.112,-0.106,0.135,0.934,-0.064
Cardiac_dysrhythmias,-0.091,-0.024,-0.043,0.065,0.979,0.099,-0.003
Vision_defects,0.233,-0.034,-0.039,-0.031,-0.139,0.408,0.372
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.856,-0.169,0.055,-0.022,-0.071,0.037,0.328
Coagulation_and_hemorrhagic_disorders,0.184,-0.23,0.265,0.343,0.417,0.158,0.077
