"",ML8,ML7,ML5,ML3,ML1,ML9,ML6,ML2,ML4
Chronic_ulcer_of_skin,-0.033,0.915,0.057,-0.053,0.027,-0.062,0.076,-0.022,0.023
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.133,0.492,0.086,0.044,0.027,0.16,-0.08,0.2,0.058
Urinary_incontinence,0.081,0.465,0.096,0.079,0.116,0.191,-0.068,0.072,0.191
Irritable_bowel_and_other_GI_disorders,0.464,0.399,-0.158,-0.21,-0.05,-0.109,0.266,-0.029,0.13
Congestive_heart_failure__nonhypertensive,-0.219,0.393,0.119,0.283,0.1,0.22,0.258,-0.101,-0.106
Depression_and_Mood_disorders,0.498,0.246,-0.132,0.046,-0.013,0.24,-0.029,0.046,0.066
Hypertension,0.055,0.221,-0.084,0.324,0.308,0.083,-0.005,0.222,0.188
Diabetes,-0.141,0.214,0.4,0.376,0.124,-0.096,-0.094,0.192,0.041
Heart_valve_disorders,0.054,0.213,-0.052,0.074,-0.187,0.059,0.31,0.006,0.062
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.423,0.185,-0.366,0.031,-0.005,0.088,-0.032,0.111,0.025
Psoriasis_and_other_inflammatory,0.06,0.162,0.248,-0.032,-0.043,0.011,-0.057,0.23,-0.08
Esophageal_disorders,0.23,0.16,0.16,0.137,-0.222,0.17,-0.252,-0.175,-0.113
Chronic_kidney_disease,-0.084,0.145,0.171,0.101,0.363,0.021,-0.137,-0.163,0.056
Atopic_dermatitis,0.206,0.127,0.243,0.207,-0.045,0.023,-0.029,-0.024,-0.033
Diverticulosis_and_diverticulitis,0.385,0.117,0.184,-0.106,0.176,-0.097,-0.019,0.208,-0.058
Cardiac_dysrhythmias,-0.035,0.097,0.117,0.235,0.201,-0.051,0.356,0.133,0.225
Glaucoma,-0.064,0.095,-0.255,-0.089,0.261,0.146,-0.157,0.236,-0.091
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.005,0.069,0.971,-0.107,0.026,0.025,0.058,0.043,-0.012
Neuropathy_and_other_nervous_system_disorders,0.338,0.061,0.094,0.098,0.279,-0.133,-0.428,-0.266,-0.022
Coagulation_and_hemorrhagic_disorders,0.067,0.051,0.067,0.058,0.094,0.051,0.948,-0.049,-0.039
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.332,0.025,0.248,0.163,-0.065,0.197,-0.134,0.034,0.032
Osteoarthritis,0.14,0.025,0.21,0.228,0.043,0.234,-0.124,0.194,-0.137
Allergic_rhinitis,0.393,0.024,-0.123,0.185,-0.044,-0.136,-0.017,0.204,-0.332
Acute_cerebrovascular_disease,-0.019,0.017,-0.016,0.021,-0.053,-0.042,-0.015,0.051,0.981
Ischemic_heart_disease,-0.015,0.015,0.01,0.008,0.97,0.017,0.085,0.054,-0.061
Adjustment_disorders,0.129,0.01,0.029,0.126,0.191,-0.043,-0.23,-0.014,0.093
Cataract,-0.03,0.005,0.144,-0.014,0.261,0.591,-0.074,-0.12,0.001
Other_nutritional__endocrine__and_metabolic_disorders,-0.09,-0.012,0.031,0.348,-0.243,0.361,-0.106,0.12,0.037
Transient_cerebral_ischemia,0,-0.014,0.04,-0.029,0.042,-0.004,-0.02,0.981,0.056
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.034,-0.022,-0.051,-0.021,-0.041,0.805,0.148,0.037,-0.062
Osteoporosis,0.183,-0.034,-0.018,-0.156,0.132,0.312,-0.121,0.134,-0.091
Obesity,0.015,-0.046,-0.095,1,0.009,-0.015,0.055,-0.043,0.02
Asthma,0.126,-0.047,0.011,0.135,0.063,0.227,0.105,0.179,-0.158
Menopausal_disorders,0.656,-0.06,0.022,0.035,0.001,-0.034,0.04,0.007,-0.04
Disorders_of_lipid_metabolism,0.23,-0.061,0.009,0.176,0.145,0.222,-0.038,-0.071,-0.022
Vision_defects,0.308,-0.106,0.277,0.01,-0.031,0.269,0.032,-0.137,0.267
Menstrual_disorders,0.437,-0.136,-0.041,0.053,0.219,-0.033,0.102,-0.103,-0.127
Acquired_foot_deformities,0.444,-0.154,0.27,0.057,0.076,-0.085,0.079,-0.144,0.139
Miscellaneous_mental_health_disorders,0.298,-0.155,0.064,0.132,0.156,0.203,-0.215,-0.056,0.136
Anxiety_disorders,0.404,-0.159,0.165,-0.072,0.014,0.125,0.121,-0.014,0.03
Myodesopsia_and_other_eye_disorders,0.44,-0.202,0.363,0.126,-0.143,-0.072,0.114,0.193,-0.108
Headache__including_migraine,0.301,-0.282,-0.092,0.044,0.292,0.207,-0.099,0.081,0.216
