"",ML5,ML13,ML12,ML6,ML3,ML10,ML11,ML9,ML8,ML2,ML7,ML4,ML1
Diseases_of_white_blood_cells,-0.103,0.79,0.082,0.057,-0.058,0.15,-0.01,-0.129,-0.067,0.187,-0.004,-0.039,-0.037
Osteoporosis,0.078,0.641,0.049,0.102,0.234,-0.482,0.164,0.03,0.083,-0.003,-0.091,0.154,-0.014
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.002,0.439,-0.075,0.175,-0.18,0.173,0.165,0.154,-0.05,-0.295,0.057,-0.018,0.052
Cataract,0.199,0.425,0.265,0.056,0.168,0.131,-0.353,0.13,-0.131,0.068,0.214,-0.091,0.016
Headache__including_migraine,0.06,0.269,0.06,-0.027,0.053,0.049,-0.254,0.241,-0.06,0.15,0.048,0.108,0.084
Urinary_incontinence,0.04,0.233,0.162,-0.274,0.02,0.159,0.678,-0.046,0.182,0.029,0.174,-0.013,-0.079
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.135,0.218,-0.033,0.304,-0.382,0.208,0.127,0.044,0.147,-0.12,-0.024,0.04,0.064
Thyroid_disorders,0.368,0.199,0.212,-0.048,0.042,-0.117,-0.091,-0.003,0.119,-0.023,-0.107,-0.115,-0.199
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.065,0.184,0.136,-0.107,-0.13,0.102,-0.11,0.294,0.069,-0.417,0.139,-0.125,0.084
Disorders_of_lipid_metabolism,0.078,0.156,-0.394,0.075,0.156,-0.087,0.074,0.173,0.082,-0.177,0.35,-0.133,0.303
Glaucoma,0.196,0.155,0.081,0.109,-0.284,0.411,0.063,0.004,0.267,0.048,-0.07,0.136,-0.103
Allergic_rhinitis,-0.004,0.103,-0.081,0.017,-0.036,-0.029,0.003,0.141,0.081,0.946,0.013,-0.022,0.064
Depression_and_Mood_disorders,-0.119,0.099,-0.185,0.253,0.272,0.065,0.369,-0.068,0.036,0.067,0.07,-0.134,0.197
Chronic_ulcer_of_skin,-0.12,0.094,0.937,-0.025,-0.048,-0.051,0.062,0.003,0.09,-0.138,0.067,-0.107,0.055
Heart_valve_disorders,0.326,0.068,0.117,0.404,-0.022,0.124,0.241,0.214,-0.03,-0.068,-0.054,0.01,-0.55
Vision_defects,0.481,0.058,0.039,-0.208,0.331,0.193,-0.205,0.035,0.015,-0.037,-0.163,0.183,0.242
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.054,0.044,-0.028,0.021,0.301,0.845,0.058,0.064,0.021,-0.041,-0.088,0.098,0.051
Diverticulosis_and_diverticulitis,-0.078,0.034,-0.021,0.979,0.065,-0.011,-0.099,-0.008,-0.008,0.031,0.083,0.04,0.028
Acquired_foot_deformities,-0.087,0.024,-0.071,0.014,-0.05,0.032,-0.01,0.019,0.027,-0.014,0.103,0.979,-0.007
Asthma,-0.051,0.014,-0.038,0.082,0.954,0.14,0.033,0.052,0.049,-0.023,0.002,-0.029,-0.032
Hypertension,0.131,-0.017,0.168,0.223,-0.097,0.174,0.18,0.117,0.028,0.12,-0.018,-0.065,0.662
Cardiac_dysrhythmias,0.105,-0.02,0.052,0.069,-0.01,-0.073,0.005,0.007,0.035,0.002,0.904,0.153,-0.001
Chronic_kidney_disease,0.958,-0.038,-0.116,-0.041,-0.082,0.015,0.045,-0.006,-0.014,0.004,0.171,-0.093,-0.012
Anxiety_disorders,-0.049,-0.066,-0.025,-0.025,0.024,0.001,-0.025,0.978,0.079,0.107,0,0.029,-0.021
Adjustment_disorders,0.007,-0.081,0.067,-0.001,0.045,0.007,0.021,0.106,0.965,0.067,0.024,0.032,0.016
Diabetes,0.292,-0.108,0.257,0.217,0.061,-0.115,-0.08,-0.068,0.282,-0.169,0.011,-0.003,0.288
Congestive_heart_failure__nonhypertensive,0.176,-0.142,0.217,0.075,0.069,-0.055,0.619,0.219,-0.403,-0.076,-0.031,0.17,0.13
Coagulation_and_hemorrhagic_disorders,0.202,-0.234,0.459,0.138,0.092,0.232,0.141,-0.083,-0.138,0.225,0.341,0.073,-0.148
