"",ML8,ML9,ML3,ML4,ML6,ML5,ML7,ML1,ML2,ML10
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.003,0.666,-0.029,-0.016,-0.018,0.173,0.071,-0.077,-0.096,-0.102
Cataract,-0.051,0.524,-0.031,0.144,0.25,-0.034,0.019,0.008,-0.034,0.092
Other_nutritional__endocrine__and_metabolic_disorders,-0.089,0.463,-0.108,-0.004,-0.26,-0.06,0.31,0.129,0.018,-0.059
Congestive_heart_failure__nonhypertensive,-0.215,0.356,0.338,0.056,0.115,0.307,-0.005,0.088,-0.09,0.226
Osteoarthritis,0.122,0.334,0.023,0.234,0.076,-0.115,0.166,-0.048,-0.109,0.008
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.398,0.29,0.014,0.212,-0.027,-0.109,-0.127,0.093,0.065,0.021
Osteoporosis,0.159,0.287,0.004,0.062,0.156,-0.14,0.044,-0.195,-0.092,-0.173
Obesity,0.124,0.28,-0.167,-0.254,0.012,0.147,0.202,0.349,0.066,0.399
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.185,0.277,0.523,0.102,0.094,-0.09,-0.082,-0.07,0.116,-0.019
Asthma,0.088,0.265,-0.017,0.077,0.097,0.097,0.169,-0.178,-0.137,-0.034
Urinary_incontinence,0.173,0.247,0.441,0.041,0.139,-0.048,-0.085,0.163,0.21,-0.043
Disorders_of_lipid_metabolism,0.24,0.241,-0.139,-0.022,0.091,0.007,0.149,0.129,-0.047,0.097
Depression_and_Mood_disorders,0.545,0.224,0.224,-0.134,-0.009,-0.009,-0.083,0.066,0.097,0.143
Miscellaneous_mental_health_disorders,0.278,0.219,-0.133,0.084,0.166,-0.2,-0.004,-0.084,0.149,0.189
Headache__including_migraine,0.304,0.214,-0.258,-0.039,0.294,-0.105,0.092,-0.134,0.218,-0.067
Vision_defects,0.248,0.185,-0.133,0.294,-0.074,0.064,0.112,-0.019,0.229,0.068
Esophageal_disorders,0.116,0.141,0.098,0.168,-0.291,-0.206,0.265,-0.011,-0.155,0.263
Transient_cerebral_ischemia,0.087,0.123,-0.018,0.101,0.121,-0.097,0.213,0.131,0.156,-0.543
Cardiac_dysrhythmias,-0.011,0.118,0.107,0.088,0.239,0.355,-0.071,0.052,0.289,0.155
Glaucoma,-0.056,0.118,0.098,-0.21,0.248,-0.181,0.206,-0.041,-0.104,-0.203
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.417,0.112,0.153,-0.318,-0.001,-0.027,0.076,-0.092,0.049,-0.046
Atopic_dermatitis,0.033,0.111,0.093,0.298,-0.061,-0.004,0.288,-0.167,-0.031,0.16
Psoriasis_and_other_inflammatory,0.211,0.085,0.172,0.186,0.01,-0.069,-0.182,0.223,-0.05,-0.33
Anxiety_disorders,0.259,0.075,-0.108,0.287,0.003,0.109,0.193,-0.345,0.016,-0.004
Heart_valve_disorders,0.032,0.063,0.157,-0.063,-0.206,0.331,0.031,0.07,0.079,0.2
Adjustment_disorders,0.125,0.05,-0.017,0.025,0.19,-0.215,0.057,-0.014,0.102,0.011
Hypertension,-0.062,0.037,0.097,-0.068,0.157,0.027,0.865,0.16,0.111,-0.007
Chronic_kidney_disease,-0.183,0.036,0.072,0.165,0.333,-0.097,0.09,0.017,0.054,0.325
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.068,0.032,0.069,0.948,0.039,0.065,-0.067,0.139,-0.008,-0.037
Coagulation_and_hemorrhagic_disorders,0.058,0.014,0.049,0.077,0.088,0.959,0.023,-0.04,-0.041,0.001
Ischemic_heart_disease,-0.006,-0.006,0.014,0.015,0.95,0.084,0.095,0.043,-0.068,-0.008
Menopausal_disorders,0.66,-0.033,-0.05,0.049,-0.015,0.045,0.031,-0.041,-0.034,-0.051
Diabetes,0.048,-0.042,0.047,0.157,0.041,-0.031,0.128,0.911,0.023,-0.037
Acute_cerebrovascular_disease,-0.03,-0.061,0.008,-0.011,-0.06,-0.02,0.05,0.006,0.986,-0.018
Allergic_rhinitis,0.356,-0.072,-0.011,-0.081,-0.071,-0.017,0.316,-0.034,-0.319,-0.058
Chronic_ulcer_of_skin,-0.044,-0.074,0.957,0.03,-0.004,0.07,0.089,0.048,0,0.01
Myodesopsia_and_other_eye_disorders,0.396,-0.078,-0.207,0.38,-0.157,0.112,0.124,0.09,-0.075,0.136
Diverticulosis_and_diverticulitis,0.379,-0.097,0.048,0.198,0.13,-0.018,0.169,0.138,-0.062,-0.226
Menstrual_disorders,0.573,-0.102,-0.105,-0.104,0.19,0.111,-0.166,0.199,-0.131,0.11
Neuropathy_and_other_nervous_system_disorders,0.235,-0.163,0.075,0.115,0.222,-0.408,0.102,-0.095,-0.036,0.462
Acquired_foot_deformities,0.318,-0.167,-0.094,0.346,0.05,0.078,0.164,-0.238,0.122,0.159
Irritable_bowel_and_other_GI_disorders,0.371,-0.21,0.384,-0.079,-0.088,0.262,0.128,-0.166,0.111,-0.139
