"",ML11,ML7,ML1,ML12,ML10,ML2,ML8,ML3,ML9,ML6,ML4,ML5
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.038,0.952,0.068,0.021,0.034,-0.127,-0.053,0.093,-0.034,0.077,-0.008,0.001
Diabetes,-0.056,0.423,0.094,-0.143,0.083,0.278,0.079,-0.182,0.351,0.192,0.044,0.037
Myodesopsia_and_other_eye_disorders,0.375,0.401,-0.191,-0.052,-0.122,0.075,-0.089,0.188,0.064,-0.109,-0.088,-0.039
Atopic_dermatitis,0.282,0.309,0.096,-0.002,-0.129,0.17,-0.01,-0.063,0.16,-0.136,-0.05,-0.112
Vision_defects,0.246,0.243,-0.11,0.254,-0.076,0.009,-0.101,0.144,0.09,0.038,0.235,-0.188
Chronic_kidney_disease,-0.008,0.231,0.029,-0.037,0.38,0.066,0.187,-0.148,0.063,-0.126,0.017,0.247
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.406,0.225,-0.033,0.168,-0.002,0.208,0.121,-0.116,-0.155,0.305,0.071,-0.007
Anxiety_disorders,0.316,0.197,-0.163,0.138,0.009,-0.108,-0.07,0.149,0.056,-0.148,0.001,0.121
Osteoarthritis,0.061,0.194,0.069,0.271,0.043,0.206,0.104,0.123,0.084,0.056,-0.109,-0.161
Cardiac_dysrhythmias,-0.006,0.181,0.108,-0.05,0.328,0.239,-0.244,-0.057,-0.113,-0.141,0.255,0.24
Cataract,-0.031,0.176,-0.01,0.564,0.258,-0.018,0.084,-0.038,0.03,-0.117,-0.029,0.065
Diverticulosis_and_diverticulitis,0.349,0.172,-0.04,-0.112,0.197,-0.18,0.017,0.087,0.247,0.232,-0.047,0.062
Esophageal_disorders,0.033,0.142,0.118,0.185,-0.27,0.055,0.292,0.286,0.166,-0.189,-0.177,0.159
Congestive_heart_failure__nonhypertensive,-0.136,0.136,0.345,0.183,0.163,0.293,-0.216,-0.163,-0.043,0.009,-0.114,0.186
Transient_cerebral_ischemia,0.109,0.131,-0.098,0.04,0.121,-0.153,0.063,-0.179,0.325,0.238,0.207,0.017
Urinary_incontinence,0.149,0.113,0.461,0.184,0.125,0.117,0.05,-0.117,-0.041,0.077,0.222,-0.082
Other_nutritional__endocrine__and_metabolic_disorders,0.034,0.104,-0.089,0.338,-0.311,0.269,0.059,-0.27,0.287,-0.013,0.047,-0.052
Miscellaneous_mental_health_disorders,0.26,0.087,-0.097,0.199,0.197,0.157,0.231,0.092,-0.101,-0.159,0.132,-0.067
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.157,0.077,0.522,0.188,0.103,0.084,0.094,0.002,-0.123,0.103,0.118,-0.067
Coagulation_and_hemorrhagic_disorders,0.058,0.072,0.057,0.067,0.103,0.075,-0.911,0.082,0.002,-0.025,-0.064,0.128
Acquired_foot_deformities,-0.02,0.062,-0.001,-0.011,-0.008,0.05,-0.037,0.984,0.028,0.052,0.052,-0.037
Ischemic_heart_disease,-0.022,0.036,0.041,0.028,0.857,0.019,-0.102,0.014,0.182,0.009,-0.094,-0.092
Psoriasis_and_other_inflammatory,-0.016,0.035,0.064,0.016,-0.014,0.009,0.013,0.052,-0.038,0.985,-0.027,0.023
Neuropathy_and_other_nervous_system_disorders,0.127,0.029,0.045,-0.127,0.243,0.088,0.48,0.294,0.006,-0.001,-0.097,0.167
Chronic_ulcer_of_skin,-0.019,0.024,0.952,-0.061,-0.015,-0.053,-0.055,0.018,0.102,0.051,-0.005,0.029
Adjustment_disorders,0.076,0.018,-0.031,-0.06,0.167,0.109,0.271,0.131,0.032,0.019,0.074,0.135
Menopausal_disorders,0.587,0.009,-0.093,-0.035,0.006,0.043,-0.02,0.188,-0.026,0.079,-0.046,0.038
Disorders_of_lipid_metabolism,0.159,-0.014,-0.177,0.192,0.147,0.138,0.035,0.022,0.164,0.164,-0.052,0.111
Acute_cerebrovascular_disease,-0.03,-0.015,0.012,-0.055,-0.063,0.007,0.031,0.042,0.077,-0.03,0.979,0.036
Heart_valve_disorders,0.005,-0.016,-0.019,0.019,-0.062,-0.023,-0.054,-0.025,0.01,0.027,0.029,0.992
Allergic_rhinitis,0.487,-0.035,-0.067,-0.153,-0.061,0.107,0.031,-0.101,0.231,-0.061,-0.319,0.038
Hypertension,-0.009,-0.039,0.098,0.074,0.132,0.106,-0.01,0.061,0.881,-0.061,0.111,0.022
Menstrual_disorders,0.404,-0.04,-0.079,-0.027,0.257,0.118,-0.112,0.043,-0.147,-0.01,-0.132,-0.119
Asthma,-0.019,-0.044,-0.048,0.266,0.058,0.112,-0.072,0.154,0.094,0.227,-0.151,0.099
Osteoporosis,0.077,-0.05,-0.016,0.339,0.173,-0.158,0.118,0.138,0.022,0.085,-0.072,-0.062
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.06,-0.06,-0.01,0.819,-0.064,-0.024,-0.153,-0.016,0.067,0.066,-0.067,0.033
Depression_and_Mood_disorders,0.508,-0.074,0.244,0.24,0.095,0.059,0.105,0.126,-0.137,-0.237,0.087,0.101
Obesity,-0.006,-0.107,-0.026,-0.027,-0.005,0.991,-0.043,0.061,0.067,0.008,0.009,-0.01
Irritable_bowel_and_other_GI_disorders,0.561,-0.131,0.303,-0.137,-0.091,-0.212,-0.292,-0.027,0.112,0.041,0.116,-0.007
Headache__including_migraine,0.215,-0.14,-0.284,0.217,0.306,0.05,0.083,0.125,0.068,0.192,0.218,-0.079
Glaucoma,-0.051,-0.215,0.101,0.155,0.278,-0.145,0.152,-0.038,0.236,-0.087,-0.074,-0.093
