"",ML4,ML3,ML1,ML2
Congestive_heart_failure__nonhypertensive,-0.061,0.966,0.098,0.002
Coagulation_and_hemorrhagic_disorders,0.022,0.42,0.196,-0.074
Chronic_kidney_disease,0.092,0.377,-0.04,0.097
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.24,0.374,-0.105,-0.086
Obesity,0.261,0.333,-0.256,0.311
Cardiac_dysrhythmias,0.172,0.33,0.199,0.044
Atopic_dermatitis,0.256,0.263,0.056,-0.078
Cataract,0.336,0.254,-0.087,0.097
Disorders_of_lipid_metabolism,0.382,0.235,-0.219,0.152
Ischemic_heart_disease,0.323,0.222,0.101,0.206
Asthma,0.304,0.183,-0.033,-0.12
Vision_defects,0.391,0.134,-0.098,0.081
Osteoarthritis,0.4,0.115,-0.008,0.062
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.313,0.112,0.521,-0.066
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.424,0.092,-0.06,0.117
Adjustment_disorders,0.233,0.087,-0.055,0.026
Chronic_ulcer_of_skin,-0.072,0.086,0.953,0.052
Diverticulosis_and_diverticulitis,0.316,0.082,0.04,0.23
Depression_and_Mood_disorders,0.505,0.077,0.182,0.015
Headache__including_migraine,0.53,0.077,-0.228,-0.064
Hypertension,0.291,0.038,0.205,0.436
Urinary_incontinence,0.265,0.024,0.464,0.198
Osteoporosis,0.371,0.022,-0.007,-0.128
Myodesopsia_and_other_eye_disorders,0.358,-0.007,-0.148,0.172
Miscellaneous_mental_health_disorders,0.525,-0.014,-0.136,0
Diabetes,-0.048,-0.019,0.03,1.003
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.344,-0.026,0.135,-0.139
Anxiety_disorders,0.497,-0.149,0.064,-0.208
Glaucoma,0.106,-0.161,0.144,0.029
Esophageal_disorders,0.292,-0.169,0.08,0.078
Menopausal_disorders,0.523,-0.17,0.021,-0.013
Allergic_rhinitis,0.279,-0.182,0.025,0.01
Acquired_foot_deformities,0.496,-0.187,0.087,-0.102
Acute_cerebrovascular_disease,0.079,-0.218,0.208,0.142
Neuropathy_and_other_nervous_system_disorders,0.45,-0.229,0.071,0.006
Menstrual_disorders,0.414,-0.233,-0.014,0.149
