"",ML2,ML1
Congestive_heart_failure__nonhypertensive,-0.012,1
Coagulation_and_hemorrhagic_disorders,0.311,0.472
Urinary_incontinence,0.291,0.387
Hypertension,0.421,0.324
Chronic_kidney_disease,0.377,0.296
Chronic_ulcer_of_skin,0.229,0.25
Acquired_foot_deformities,0.066,0.22
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.264,0.202
Cardiac_dysrhythmias,0.401,0.198
Depression_and_Mood_disorders,0.267,0.176
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.437,0.174
Anxiety_disorders,0.398,0.163
Diverticulosis_and_diverticulitis,0.321,0.127
Asthma,0.281,0.118
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.378,0.103
Osteoporosis,0.24,0.088
Diabetes,0.33,0.087
Vision_defects,0.317,0.076
Glaucoma,0.465,0.014
Disorders_of_lipid_metabolism,0.408,-0.014
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.303,-0.042
Cataract,0.504,-0.072
Thyroid_disorders,0.379,-0.072
Headache__including_migraine,0.336,-0.106
Allergic_rhinitis,0.257,-0.215
Adjustment_disorders,0.568,-0.434
