"",ML6,ML3,ML5,ML4,ML2,ML1
Ischemic_heart_disease,-0.05,0.97,0.019,0.022,0.067,0.08
Chronic_kidney_disease,-0.022,0.336,0.376,-0.012,0.038,-0.187
Glaucoma,-0.076,0.315,-0.163,0.13,-0.026,-0.154
Headache__including_migraine,0.406,0.294,0.081,-0.22,-0.11,-0.153
Neuropathy_and_other_nervous_system_disorders,0.342,0.289,-0.152,0.101,-0.063,-0.357
Cataract,0.227,0.285,0.219,-0.087,0.058,-0.042
Hypertension,0.186,0.256,0,0.19,0.399,-0.001
Menstrual_disorders,0.346,0.192,-0.331,-0.075,0.133,0.212
Osteoporosis,0.275,0.185,0.03,-0.003,-0.156,-0.109
Adjustment_disorders,0.17,0.177,0.141,-0.02,-0.014,-0.249
Cardiac_dysrhythmias,0.112,0.172,0.194,0.151,0.045,0.308
Asthma,0.237,0.156,0.119,-0.054,-0.129,0.106
Miscellaneous_mental_health_disorders,0.464,0.153,0.035,-0.111,-0.031,-0.203
Diverticulosis_and_diverticulitis,0.29,0.127,0.07,0.043,0.211,-0.018
Osteoarthritis,0.36,0.122,0.124,0.006,0.044,-0.079
Disorders_of_lipid_metabolism,0.347,0.119,0.229,-0.205,0.139,-0.035
Urinary_incontinence,0.239,0.096,0.027,0.468,0.181,-0.039
Acquired_foot_deformities,0.476,0.09,-0.247,0.047,-0.104,0.154
Coagulation_and_hemorrhagic_disorders,0.024,0.072,0.08,0.05,-0.017,0.953
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.304,0.057,0.131,0.538,-0.076,-0.073
Anxiety_disorders,0.468,0.054,-0.218,0.018,-0.198,0.198
Congestive_heart_failure__nonhypertensive,-0.022,0.04,0.898,0.128,0.017,0.142
Diabetes,-0.03,0.038,-0.013,0.037,0.988,-0.014
Allergic_rhinitis,0.261,0.025,-0.203,0.003,0.012,0.069
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.24,0.019,0.323,-0.109,-0.07,0.135
Obesity,0.284,0.009,0.316,-0.241,0.319,0.05
Chronic_ulcer_of_skin,-0.063,0.006,0.062,0.946,0.054,0.071
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.345,-0.003,-0.002,0.145,-0.137,-0.054
Menopausal_disorders,0.547,-0.008,-0.197,-0.001,-0.003,0.111
Atopic_dermatitis,0.309,-0.033,0.278,0.083,-0.071,-0.024
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.485,-0.048,0.14,-0.025,0.119,-0.098
Depression_and_Mood_disorders,0.556,-0.08,0.107,0.202,0.031,-0.021
Vision_defects,0.473,-0.099,0.14,-0.084,0.103,0.05
Myodesopsia_and_other_eye_disorders,0.487,-0.173,-0.034,-0.157,0.209,0.192
Acute_cerebrovascular_disease,0.142,-0.184,-0.125,0.239,0.158,-0.152
Esophageal_disorders,0.382,-0.215,-0.076,0.115,0.102,-0.134
