"",ML2,ML1
Asthma,-0.062,1.005
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.338,0.55
Vision_defects,0.13,0.426
Depression_and_Mood_disorders,0.147,0.345
Osteoporosis,0.131,0.237
Disorders_of_lipid_metabolism,0.117,0.232
Cataract,0.359,0.23
Anxiety_disorders,0.252,0.224
Diverticulosis_and_diverticulitis,0.353,0.202
Headache__including_migraine,0.116,0.152
Adjustment_disorders,0.097,0.107
Congestive_heart_failure__nonhypertensive,0.562,0.106
Hypertension,0.386,0.076
Diabetes,0.278,0.064
Acquired_foot_deformities,0.154,0.061
Heart_valve_disorders,0.734,0.048
Coagulation_and_hemorrhagic_disorders,0.681,0.044
Allergic_rhinitis,0.01,0.043
Diseases_of_white_blood_cells,0.194,0.034
Urinary_incontinence,0.518,0.019
Thyroid_disorders,0.328,-0.017
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.381,-0.03
Cardiac_dysrhythmias,0.522,-0.074
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.219,-0.078
Chronic_kidney_disease,0.607,-0.079
Glaucoma,0.521,-0.136
Chronic_ulcer_of_skin,0.443,-0.147
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.504,-0.231
