"",ML2,ML1
Chronic_ulcer_of_skin,-0.223,0.758
Congestive_heart_failure__nonhypertensive,-0.07,0.696
Urinary_incontinence,0.189,0.527
Cardiac_dysrhythmias,0.108,0.494
Coagulation_and_hemorrhagic_disorders,-0.063,0.481
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.18,0.479
Diabetes,0.17,0.452
Hypertension,0.322,0.434
Ischemic_heart_disease,0.316,0.404
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.224,0.349
Chronic_kidney_disease,0.091,0.342
Heart_valve_disorders,-0.1,0.334
Irritable_bowel_and_other_GI_disorders,0.008,0.277
Cataract,0.342,0.235
Depression_and_Mood_disorders,0.421,0.222
Transient_cerebral_ischemia,0.174,0.214
Diverticulosis_and_diverticulitis,0.357,0.213
Obesity,0.346,0.19
Psoriasis_and_other_inflammatory,0.113,0.179
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.237,0.17
Atopic_dermatitis,0.256,0.162
Acute_cerebrovascular_disease,0.029,0.158
Osteoarthritis,0.429,0.131
Disorders_of_lipid_metabolism,0.421,0.096
Asthma,0.274,0.088
Glaucoma,0.057,0.078
Vision_defects,0.435,0.073
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.472,0.071
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.241,0.071
Other_nutritional__endocrine__and_metabolic_disorders,0.183,0.06
Adjustment_disorders,0.241,0.03
Osteoporosis,0.328,-0.014
Esophageal_disorders,0.276,-0.021
Myodesopsia_and_other_eye_disorders,0.453,-0.079
Anxiety_disorders,0.41,-0.1
Menopausal_disorders,0.503,-0.104
Miscellaneous_mental_health_disorders,0.536,-0.105
Allergic_rhinitis,0.274,-0.109
Neuropathy_and_other_nervous_system_disorders,0.419,-0.11
Acquired_foot_deformities,0.452,-0.115
Headache__including_migraine,0.541,-0.123
Menstrual_disorders,0.429,-0.123
