"",ML15,ML1,ML6,ML9,ML12,ML14,ML10,ML5,ML13,ML2,ML3,ML7,ML4,ML8,ML11
Chronic_ulcer_of_skin,-0.105,0.915,-0.035,-0.012,0.084,0.137,0.048,0.021,-0.041,-0.072,0.033,-0.038,-0.01,0.044,0.067
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.386,0.59,0.054,0.111,-0.002,-0.099,0.016,-0.02,0.046,0.06,0.118,0.039,0.123,-0.049,-0.151
Urinary_incontinence,0.257,0.481,0.133,0.106,0.015,0.015,0.003,-0.101,0.022,0.092,0.058,-0.033,0.21,-0.063,0.115
Congestive_heart_failure__nonhypertensive,-0.055,0.349,0.189,0.09,-0.015,-0.083,0.151,-0.143,-0.24,0.249,0.046,0.249,-0.127,0.127,-0.021
Depression_and_Mood_disorders,0.369,0.127,0.247,-0.129,-0.172,0.416,0.181,0.165,0.198,0.028,-0.258,0.071,0.018,0.079,0.187
Hypertension,-0.065,0.106,0.072,-0.05,0.878,0.028,-0.039,0.068,-0.03,0.108,-0.084,0.077,0.119,0.017,0.159
Irritable_bowel_and_other_GI_disorders,-0.06,0.105,-0.057,-0.016,0.017,0.945,-0.054,-0.019,-0.144,-0.082,0.052,0.097,0.067,-0.016,-0.044
Esophageal_disorders,-0.065,0.089,0.052,0.17,0.108,-0.026,-0.093,0.276,0.311,0.073,-0.207,-0.042,-0.15,0.2,0.06
Ischemic_heart_disease,0.251,0.087,0.019,-0.065,0.373,-0.088,0.219,0.059,-0.217,-0.044,0.045,0.318,-0.176,-0.21,0.07
Neuropathy_and_other_nervous_system_disorders,0.183,0.086,-0.197,0.023,0.102,-0.121,0.028,0.309,0.407,0.072,0.035,0.199,-0.113,0.129,-0.102
Atopic_dermatitis,-0.073,0.082,-0.049,0.504,0.173,0.272,-0.105,-0.083,0.036,0.273,-0.102,0.013,-0.041,-0.085,-0.185
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.045,0.08,0.026,0.817,-0.088,-0.087,0.115,0.149,-0.075,-0.193,0.1,0.133,-0.028,-0.034,0.236
Cardiac_dysrhythmias,-0.017,0.07,-0.145,0.036,-0.035,-0.037,0.908,-0.044,-0.145,0.099,-0.067,0.053,0.104,0.114,0.008
Glaucoma,-0.003,0.067,0.056,-0.287,0.293,-0.025,0.268,-0.038,0.164,-0.187,-0.071,0.104,-0.13,-0.154,0.01
Coagulation_and_hemorrhagic_disorders,0.065,0.062,0.103,0.073,0.044,0.134,0.144,0.077,-0.88,0.066,-0.023,-0.066,-0.082,0.123,-0.025
Psoriasis_and_other_inflammatory,-0.017,0.058,0.014,-0.007,-0.062,0.043,-0.047,0.052,0.008,0.007,0.98,-0.011,-0.021,0.02,0.07
Osteoarthritis,-0.051,0.05,0.247,0.198,0.09,0.002,0.29,0.117,0.19,0.174,0.078,-0.014,-0.148,-0.191,-0.042
Adjustment_disorders,0.195,0.05,-0.062,0.074,0.123,-0.122,-0.004,0.116,0.234,0.104,0.009,-0.092,0.066,0.146,-0.037
Diabetes,0.028,0.046,-0.019,0.128,0.171,-0.044,-0.017,-0.077,0.023,0.144,0.104,0.01,0.025,0.031,0.864
Acute_cerebrovascular_disease,-0.006,0.021,-0.025,-0.01,0.074,0.046,0.057,0.054,0.038,0.008,-0.023,-0.017,0.97,0.035,0.006
Cataract,0.176,0.015,0.393,0.178,0.124,-0.139,0.067,-0.031,0.048,-0.033,-0.111,0.109,-0.054,0.035,0.049
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.015,0.003,1,-0.021,0.022,-0.04,-0.114,-0.013,-0.084,-0.015,0.022,0.001,-0.019,0.045,-0.016
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.387,0.003,0.111,0.279,-0.106,0.059,-0.077,-0.103,0.106,0.219,0.32,0.063,0.079,0.011,-0.039
Heart_valve_disorders,-0.012,0.002,0.046,-0.024,0.002,-0.024,0.061,-0.019,-0.053,-0.032,0.024,0.071,0.029,0.973,0.021
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.115,-0.001,0.053,-0.238,0.081,0.377,0.045,0.014,0.17,0.083,0.128,-0.049,0.003,0.253,-0.105
Acquired_foot_deformities,-0.046,-0.009,-0.004,0.051,0.034,-0.002,-0.032,0.989,-0.036,0.054,0.049,-0.047,0.059,-0.027,-0.049
Osteoporosis,0.083,-0.015,0.258,-0.046,0.105,-0.037,0.339,0.112,0.194,-0.188,0.102,-0.071,-0.128,-0.097,-0.129
Obesity,0.012,-0.032,-0.013,-0.1,0.046,-0.072,0.077,0.072,-0.045,0.952,0.011,0.043,0.008,-0.018,0.11
Allergic_rhinitis,0.269,-0.038,-0.12,0.106,0.259,0.214,-0.163,-0.125,0.058,0.167,-0.079,-0.108,-0.298,0.096,-0.087
Menstrual_disorders,0.586,-0.05,0.038,-0.148,-0.097,0.006,0.032,0.084,-0.15,0.038,-0.043,-0.003,-0.152,-0.114,0.19
Chronic_kidney_disease,-0.027,-0.05,0,0.056,0.034,0.084,0.006,-0.04,0.069,0.031,-0.011,0.989,-0.006,0.07,-0.009
Asthma,-0.181,-0.056,0.231,0.064,0.149,0.072,0.323,0.101,0.049,0.134,0.246,-0.177,-0.2,0.075,-0.191
Transient_cerebral_ischemia,0.104,-0.065,0.03,0.094,0.354,-0.01,0.259,-0.188,0.112,-0.196,0.226,-0.144,0.162,0.006,0.11
Diverticulosis_and_diverticulitis,0.245,-0.07,-0.164,0.141,0.269,0.278,0.12,0.092,0.048,-0.188,0.211,-0.087,-0.109,0.055,0.199
Anxiety_disorders,0.315,-0.071,0.037,0.366,0.187,0.003,-0.035,0.103,-0.064,-0.053,-0.126,-0.077,0.013,0.158,-0.304
Miscellaneous_mental_health_disorders,0.225,-0.105,0.185,0.13,-0.037,0.097,0.242,0.093,0.292,0.14,-0.143,-0.006,0.072,-0.1,-0.044
Other_nutritional__endocrine__and_metabolic_disorders,-0.19,-0.132,0.276,0.184,0.2,0.082,0.151,-0.301,0.189,0.287,-0.022,-0.161,0.043,-0.027,0.045
Menopausal_disorders,0.3,-0.143,-0.084,0.092,0.001,0.396,0.113,0.181,0.075,0.08,0.067,-0.19,-0.098,0.065,0.008
Disorders_of_lipid_metabolism,0.285,-0.146,0.075,-0.027,0.228,-0.069,0.019,0.024,0,0.12,0.165,0.073,-0.06,0.102,0.049
Vision_defects,0.075,-0.165,0.263,0.183,0.033,0.149,0.151,0.182,-0.031,-0.013,0.059,0.119,0.217,-0.211,0.045
Myodesopsia_and_other_eye_disorders,0.235,-0.184,-0.009,0.366,0.015,0.07,-0.068,0.228,-0.08,0.058,-0.125,-0.028,-0.073,-0.004,0.151
Headache__including_migraine,0.352,-0.24,0.104,-0.083,0.212,-0.002,0.06,0.113,0.053,0.065,0.226,0.13,0.191,-0.114,-0.178
