"",ML3,ML5,ML4,ML1,ML2
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.139,0.62,0.115,-0.052,0.19
Esophageal_disorders,0.138,0.549,-0.269,0.137,-0.208
Allergic_rhinitis,0.035,0.45,-0.245,0.122,0.001
Anxiety_disorders,0.047,0.443,0.01,0.072,0.108
Hyperplasia_of_prostate,0.009,0.436,0.144,0.096,0.058
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.146,0.399,0.032,0.093,-0.129
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.014,0.382,0.368,0.03,-0.129
Glaucoma,-0.013,0.36,0.111,0.035,0.149
Osteoarthritis,0.173,0.355,0.055,0.074,-0.006
Depression_and_Mood_disorders,0.185,0.349,0.136,-0.065,-0.125
Other_male_genital_disorders,0.364,0.345,-0.055,-0.472,0.037
Cataract,-0.058,0.338,0.322,0.127,-0.005
Headache__including_migraine,0.162,0.332,0.116,-0.135,0.178
Thyroid_disorders,0.098,0.255,-0.066,0.184,0.016
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.061,0.237,0.325,0.029,0.209
Disorders_of_lipid_metabolism,0.483,0.202,0.027,-0.06,-0.019
Sexual_disorders,0.32,0.178,-0.197,0.038,0.169
Vision_defects,0.25,0.163,-0.072,0.145,-0.048
Hypertension,0.547,0.112,0.22,0.037,0.073
Hepatic_steatosis_and_other_liver_diseases,0.248,0.103,-0.164,0.144,0.003
Cardiac_dysrhythmias,0.075,0.083,0.307,0.488,0.077
Urinary_incontinence,0.163,0.058,0.58,0.02,-0.059
Coagulation_and_hemorrhagic_disorders,0.046,0.054,-0.022,0.982,0.043
Psoriasis_and_other_inflammatory,0.413,0.052,-0.131,0.052,0.045
Peripheral_and_visceral_atherosclerosis,0.026,0.006,-0.019,0.035,0.992
Obstructive_Sleep_apnea,0.52,0.004,-0.095,0.036,-0.105
Neoplasms,0.052,-0.005,0.205,-0.051,0.158
Chronic_ulcer_of_skin,0.007,-0.011,0.55,0.09,0.121
Gout,0.397,-0.054,0.119,0.124,-0.267
Chronic_kidney_disease,0.395,-0.058,0.324,0.059,0.004
Obesity,0.625,-0.062,-0.093,0.107,0.078
Congestive_heart_failure__nonhypertensive,0.051,-0.063,0.461,0.431,-0.1
Diabetes,0.58,-0.079,0.15,-0.004,0.095
Ischemic_heart_disease,0.381,-0.09,0.156,0.06,0.23
Acute_cerebrovascular_disease,0.14,-0.11,0.267,0.179,0.062
