"",ML4,ML6,ML5,ML3,ML1,ML2,ML7
Anxiety_disorders,-0.104,0.574,0.111,0.032,0.055,0.116,-0.069
Esophageal_disorders,0.109,0.551,-0.093,-0.175,0.172,-0.214,0.077
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.086,0.473,-0.037,0.123,-0.089,0.209,0.317
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.079,0.457,0.084,0.041,0.075,-0.125,0.005
Sexual_disorders,0.143,0.437,-0.055,0.034,0.022,0.166,-0.331
Allergic_rhinitis,0.04,0.437,-0.165,-0.158,0.162,0,0.106
Depression_and_Mood_disorders,0.132,0.395,0.111,0.099,-0.09,-0.117,0.009
Headache__including_migraine,0.085,0.389,0.107,0.084,-0.158,0.186,-0.012
Other_male_genital_disorders,0.359,0.321,-0.049,-0.063,-0.448,0.034,0.092
Hyperplasia_of_prostate,0.041,0.319,0.158,-0.059,0.106,0.065,0.252
Vision_defects,0.125,0.316,0.207,-0.235,0.203,-0.061,-0.191
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.04,0.314,0.422,-0.013,0.022,-0.123,0.201
Osteoarthritis,0.217,0.287,-0.096,0.179,0.023,0.008,0.192
Disorders_of_lipid_metabolism,0.447,0.261,0.041,-0.001,-0.053,-0.019,-0.023
Thyroid_disorders,0.114,0.229,-0.1,0.035,0.172,0.023,0.101
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.051,0.173,0.183,0.288,-0.062,0.227,0.165
Psoriasis_and_other_inflammatory,0.371,0.142,-0.076,-0.043,0.069,0.042,-0.112
Glaucoma,0.114,0.126,0.058,-0.068,0.042,0.154,0.421
Obstructive_Sleep_apnea,0.432,0.114,0.088,-0.062,0.043,-0.117,-0.165
Ischemic_heart_disease,0.25,0.113,0.118,0.322,-0.036,0.238,-0.333
Cataract,0.084,0.094,0.126,0.1,0.097,0.012,0.462
Hypertension,0.556,0.086,0.101,0.159,0,0.084,0.107
Coagulation_and_hemorrhagic_disorders,0.037,0.067,0.028,0.128,0.92,0.054,0.009
Obesity,0.57,0.039,-0.076,0.07,0.091,0.078,-0.12
Urinary_incontinence,0.074,0.037,0.7,0.124,-0.044,-0.059,0.062
Neoplasms,0.025,-0.013,0.192,0.054,-0.067,0.162,0.014
Peripheral_and_visceral_atherosclerosis,0.011,-0.013,-0.016,-0.048,0.045,0.999,0.006
Chronic_kidney_disease,0.374,-0.016,0.153,0.282,-0.009,0.019,-0.027
Congestive_heart_failure__nonhypertensive,0.009,-0.021,0.01,0.938,0.155,-0.058,0.002
Cardiac_dysrhythmias,0.132,-0.022,0.153,0.222,0.421,0.097,0.208
Acute_cerebrovascular_disease,0.015,-0.039,0.624,-0.181,0.199,0.045,-0.188
Gout,0.44,-0.054,-0.035,0.159,0.094,-0.259,0.046
Hepatic_steatosis_and_other_liver_diseases,0.429,-0.081,-0.15,-0.258,0.216,-0.006,0.262
Diabetes,0.643,-0.14,0.182,-0.057,0.007,0.087,0.044
Chronic_ulcer_of_skin,0.035,-0.154,0.492,0.131,0.043,0.131,0.211
