"",ML1,ML2
Disorders_of_lipid_metabolism,0.152,0.533
Obesity,0.156,0.516
Obstructive_Sleep_apnea,0.174,0.516
Other_male_genital_disorders,-0.314,0.514
Allergic_rhinitis,-0.068,0.513
Hypertension,0.376,0.505
Hepatic_steatosis_and_other_liver_diseases,-0.26,0.485
Sexual_disorders,-0.173,0.482
Neuropathy_and_other_nervous_system_disorders,-0.098,0.456
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.157,0.431
Inflammatory_conditions_of_male_genital_organs,-0.129,0.43
Alcohol-related_disorders,-0.132,0.406
Anxiety_disorders,0.02,0.388
Depression_and_Mood_disorders,0.194,0.38
Osteoarthritis,0.347,0.366
Diverticulosis_and_diverticulitis,0.224,0.33
Headache__including_migraine,0.175,0.324
Psoriasis_and_other_inflammatory,0.045,0.32
Esophageal_disorders,-0.151,0.308
Vision_defects,0.096,0.297
Diabetes,0.312,0.286
Gout,0.297,0.274
Peripheral_and_visceral_atherosclerosis,0.243,0.227
Hyperplasia_of_prostate,0.257,0.218
Osteoporosis,0.234,0.208
Thyroid_disorders,0.213,0.148
Ischemic_heart_disease,0.408,0.14
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.266,0.137
Urinary_incontinence,0.459,0.123
Glaucoma,0.304,0.116
Chronic_kidney_disease,0.501,0.074
Cataract,0.442,0.06
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.444,0.055
Coagulation_and_hemorrhagic_disorders,0.58,0.01
Cardiac_dysrhythmias,0.745,0.001
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.453,-0.019
Congestive_heart_failure__nonhypertensive,0.687,-0.024
Acute_cerebrovascular_disease,0.25,-0.029
Neoplasms,0.261,-0.06
Chronic_ulcer_of_skin,0.552,-0.091
Transient_cerebral_ischemia,0.495,-0.092
