"",ML1,ML2,ML3
Obesity,0.024,0.631,-0.058
Diabetes,0.108,0.599,-0.072
Hypertension,0.238,0.529,0.13
Obstructive_Sleep_apnea,-0.072,0.526,-0.028
Disorders_of_lipid_metabolism,-0.05,0.481,0.207
Psoriasis_and_other_inflammatory,-0.076,0.424,0.058
Ischemic_heart_disease,0.23,0.39,-0.066
Chronic_kidney_disease,0.338,0.358,-0.031
Gout,0.177,0.344,-0.067
Sexual_disorders,-0.108,0.343,0.19
Other_male_genital_disorders,-0.394,0.341,0.34
Vision_defects,0.013,0.255,0.155
Hepatic_steatosis_and_other_liver_diseases,-0.037,0.25,0.109
Acute_cerebrovascular_disease,0.312,0.177,-0.107
Depression_and_Mood_disorders,0.025,0.168,0.344
Urinary_incontinence,0.432,0.164,0.052
Headache__including_migraine,0.025,0.161,0.362
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.034,0.148,0.374
Osteoarthritis,0.119,0.145,0.364
Esophageal_disorders,-0.196,0.141,0.485
Peripheral_and_visceral_atherosclerosis,0.166,0.102,0.112
Thyroid_disorders,0.086,0.094,0.259
Coagulation_and_hemorrhagic_disorders,0.671,0.075,0.058
Anxiety_disorders,0.036,0.056,0.454
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.351,0.055,0.261
Neoplasms,0.176,0.055,0.012
Cardiac_dysrhythmias,0.663,0.05,0.113
Allergic_rhinitis,-0.123,0.037,0.445
Chronic_ulcer_of_skin,0.516,0.031,0.003
Congestive_heart_failure__nonhypertensive,0.738,0.004,-0.051
Hyperplasia_of_prostate,0.172,0.001,0.464
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.238,-0.011,0.367
Glaucoma,0.128,-0.017,0.387
Cataract,0.339,-0.078,0.356
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.053,-0.139,0.645
