"",ML13,ML10,ML7,ML9,ML8,ML4,ML3,ML6,ML5,ML2,ML1,ML12,ML11
Congestive_heart_failure__nonhypertensive,-0.002,0.946,0.008,0.025,-0.024,0.007,-0.063,-0.053,-0.044,-0.092,0.104,-0.002,0.052
Ischemic_heart_disease,0.039,0.427,0.045,-0.001,0.095,0.05,0.27,0.005,0.148,0.209,-0.184,-0.096,-0.019
Chronic_kidney_disease,0.183,0.268,0.275,0.01,0.15,0,0.037,-0.235,0.139,0.146,0.047,0.046,-0.001
Coagulation_and_hemorrhagic_disorders,-0.014,0.248,0.032,-0.031,-0.278,-0.016,0.115,0.176,0.129,0.095,0.246,0.045,0.64
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.051,0.234,0.16,0.261,-0.048,0.018,0.256,0.181,0.024,0.066,0.036,0.083,-0.23
Osteoarthritis,0.312,0.176,0.066,0.064,0.04,-0.03,0.056,0.181,-0.137,0.078,0.038,0.062,-0.025
Urinary_incontinence,-0.112,0.163,0.198,0.349,0.1,0.032,-0.038,-0.054,0.279,0.128,-0.035,0.249,-0.036
Depression_and_Mood_disorders,0.509,0.146,-0.116,-0.019,0.011,0.066,-0.139,0.052,0.108,0.082,-0.01,0.089,-0.123
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.139,0.143,-0.046,0.081,0.025,0.133,-0.072,0.154,-0.099,0.251,-0.17,0.267,0.125
Hypertension,0.34,0.117,0.326,0.106,0.068,0.02,0.139,0.115,0.083,-0.005,0.136,-0.128,-0.073
Obesity,0.139,0.102,0.125,0.282,0.247,0.185,0.054,0.019,-0.089,0.131,-0.085,-0.408,0.268
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.154,0.093,0.056,0.042,0.204,-0.025,0.246,0.197,-0.016,-0.071,-0.04,0.35,-0.071
Cataract,0.095,0.09,0.058,0.142,0.106,-0.075,0.046,0.022,-0.102,-0.02,0.136,0.32,0.115
Anxiety_disorders,-0.071,0.081,0.019,-0.063,0.299,0.138,0.14,0.145,0.116,0.041,-0.039,0.296,0.129
Cardiac_dysrhythmias,0.011,0.061,0.031,0.051,0.076,0.024,0.007,-0.044,0.016,0.069,0.928,0.003,0.02
Headache__including_migraine,0.422,0.048,-0.003,0.022,-0.072,0.168,0.158,0.069,0.073,0.067,0.041,0.058,-0.291
Chronic_ulcer_of_skin,-0.007,0.021,-0.108,0.954,-0.115,-0.092,0.035,0.03,0.036,-0.023,0.07,0.019,-0.023
Obstructive_Sleep_apnea,0.27,0.007,0.078,0.053,0.138,0.038,-0.108,0.109,0.217,0.074,-0.04,-0.211,0.085
Sexual_disorders,-0.024,0.005,-0.052,-0.081,-0.062,1.006,0.022,0.028,0.007,0.006,0.025,0.001,-0.031
Gout,-0.03,-0.002,1.007,-0.09,-0.074,-0.041,-0.051,0.022,-0.027,-0.007,0.027,0.008,-0.011
Other_male_genital_disorders,0.001,-0.016,-0.07,-0.101,0.97,-0.047,0.016,0.097,-0.023,0.036,0.064,0.016,-0.06
Hyperplasia_of_prostate,0.268,-0.023,-0.019,0.02,0.106,-0.039,0.08,0.016,0.103,0.038,0.066,0.297,0.114
Thyroid_disorders,0.188,-0.033,-0.012,0.061,0.058,0.184,-0.011,0.118,-0.097,-0.252,0.189,0.094,0.181
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.077,-0.038,0.048,0.249,0.078,0.153,-0.132,-0.11,-0.024,0.051,0.051,0.531,0.096
Glaucoma,0.127,-0.041,0.08,-0.09,0.052,-0.022,0.213,0.204,0.085,-0.074,0.119,0.209,-0.037
Neoplasms,-0.118,-0.042,0.094,0.094,-0.041,0.12,0.133,0.097,0.087,-0.047,0.28,-0.087,-0.26
Acute_cerebrovascular_disease,0.011,-0.045,-0.028,0.004,-0.018,0.002,-0.013,-0.001,1.005,-0.009,0.01,-0.004,0.017
Disorders_of_lipid_metabolism,0.117,-0.048,0.234,0.191,0.173,0.372,-0.025,-0.011,-0.051,0.05,-0.068,0.091,0.082
Esophageal_disorders,0.001,-0.049,0.021,0.026,0.078,0.035,-0.075,0.965,-0.001,0.003,-0.036,-0.024,0.025
Peripheral_and_visceral_atherosclerosis,-0.017,-0.051,-0.051,0.015,0.007,0.025,0.989,-0.073,-0.014,-0.015,0.01,-0.012,0.023
Psoriasis_and_other_inflammatory,0.19,-0.071,0.162,0.082,0.179,0.247,0.012,-0.122,0.049,-0.087,-0.102,-0.01,0.26
Vision_defects,-0.006,-0.073,-0.012,-0.018,0.006,0.003,-0.015,-0.005,-0.008,0.995,0.052,-0.008,0.003
Diabetes,0.075,-0.091,0.292,0.3,0.277,0.123,0.089,-0.049,0.116,-0.103,0.016,-0.089,0.19
Allergic_rhinitis,0.381,-0.151,0.058,-0.121,-0.144,0.014,0.08,0.184,-0.189,0.071,0.003,0.21,0.094
Hepatic_steatosis_and_other_liver_diseases,0.453,-0.229,-0.023,-0.012,0.065,-0.057,-0.019,-0.066,-0.036,-0.024,0.135,-0.097,0.287
