"",ML7,ML8,ML6,ML5,ML1,ML4,ML3,ML2
Disorders_of_lipid_metabolism,-0.036,0.625,0.016,0.008,0.003,0.128,0.159,0.129
Hypertension,0.269,0.587,0.111,-0.061,0.082,0.06,0.025,0.064
Diabetes,0.202,0.501,0.022,-0.014,0.052,-0.012,-0.097,-0.125
Sexual_disorders,-0.285,0.457,0.234,-0.009,-0.035,0.07,0.04,-0.099
Psoriasis_and_other_inflammatory,0.118,0.434,-0.296,0.098,0.03,-0.217,0.101,0.212
Obesity,0.07,0.422,0.28,-0.152,0.284,0.02,-0.045,0.171
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.025,0.421,0.062,0.277,-0.199,0.171,0.084,-0.146
Inflammatory_conditions_of_male_genital_organs,-0.17,0.42,-0.048,0.069,0.216,0.153,-0.089,-0.075
Chronic_kidney_disease,0.373,0.35,0.093,-0.006,-0.282,-0.141,-0.144,-0.057
Vision_defects,-0.017,0.342,0.038,-0.122,0.11,0.091,-0.212,0.166
Headache__including_migraine,0.014,0.337,0.204,0.092,-0.214,-0.04,0.082,0.04
Other_male_genital_disorders,-0.181,0.332,0.019,-0.005,0.114,-0.117,0.279,0.026
Allergic_rhinitis,-0.077,0.314,0.117,0.205,0.063,0.05,0.128,-0.034
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.205,0.287,-0.095,0.128,-0.171,-0.198,-0.15,0.092
Depression_and_Mood_disorders,-0.011,0.278,0.31,0.227,-0.195,0.091,0.009,-0.043
Osteoarthritis,0.156,0.274,0.158,0.241,-0.064,0.069,-0.067,0.188
Anxiety_disorders,-0.137,0.265,0.215,0.123,-0.1,0.182,0.262,0.022
Peripheral_and_visceral_atherosclerosis,0.286,0.253,-0.216,0.132,0.215,0.022,0.02,0.102
Alcohol-related_disorders,0.082,0.252,-0.159,0.188,0.396,-0.203,-0.167,0.045
Glaucoma,0.378,0.156,-0.095,0.196,-0.136,0.018,0.231,-0.18
Gout,0.315,0.151,0.204,0.076,0.081,-0.104,-0.065,0.092
Ischemic_heart_disease,0.287,0.136,-0.028,0.307,-0.009,0.122,-0.122,0.097
Diverticulosis_and_diverticulitis,0.121,0.114,0.393,0.114,0.137,-0.013,-0.281,0.063
Hyperplasia_of_prostate,0.244,0.102,-0.037,0.096,0.122,0.05,0.085,0.228
Congestive_heart_failure__nonhypertensive,0.718,0.099,0.13,-0.198,-0.062,-0.076,0.007,-0.035
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.253,0.054,0.101,0.074,-0.197,0.159,-0.044,0.009
Transient_cerebral_ischemia,0.065,0.039,-0.023,-0.015,-0.038,0.958,-0.061,0.063
Cataract,0.3,0.022,0.029,0.319,-0.081,0.05,-0.078,0.151
Esophageal_disorders,0.051,0.019,0.035,0.01,0.016,-0.052,0.983,0.006
Chronic_ulcer_of_skin,0.342,0.014,0.04,0.206,-0.183,0.093,-0.244,0.073
Hepatic_steatosis_and_other_liver_diseases,0.034,0.006,0.088,0.093,0.95,-0.04,0.027,-0.042
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.464,0.003,0.173,-0.088,0.042,-0.029,-0.097,0.058
Obstructive_Sleep_apnea,0.031,0.001,0.948,0.038,0.072,-0.029,0.061,0.06
Cardiac_dysrhythmias,0.781,-0.005,0.05,-0.025,0.095,0.22,0.059,-0.071
Osteoporosis,0.253,-0.013,0.068,0.358,-0.207,-0.198,0.004,0.253
Thyroid_disorders,-0.053,-0.013,0.037,-0.026,-0.029,0.046,0.004,0.992
Acute_cerebrovascular_disease,0.104,-0.025,0.003,0.256,-0.07,0.321,-0.048,-0.124
Neuropathy_and_other_nervous_system_disorders,-0.088,-0.032,0.045,0.974,0.109,-0.014,0.025,-0.033
Coagulation_and_hemorrhagic_disorders,0.595,-0.06,-0.033,0.07,0.072,0.198,0.105,0.128
Neoplasms,0.254,-0.074,-0.096,0.088,-0.169,0.021,0.204,0.133
Urinary_incontinence,0.274,-0.083,0.403,0.13,0,0.155,0.039,0.054
