"",ML12,ML9,ML10,ML6,ML1,ML11,ML5,ML4,ML7,ML8,ML2,ML3
Congestive_heart_failure__nonhypertensive,-0.068,0.924,0.089,-0.026,0.07,-0.113,0.016,-0.044,-0.061,0.133,-0.098,0.065
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,-0.015,0.52,0.139,-0.093,-0.022,-0.094,0.044,0.093,-0.053,-0.085,0.111,0.201
Ischemic_heart_disease,0.142,0.446,0.064,-0.043,-0.239,0.28,-0.02,-0.003,0.287,0.047,0.1,-0.013
Headache__including_migraine,0.433,0.321,-0.13,0.02,-0.002,0.208,-0.113,-0.122,0.103,-0.18,-0.096,-0.122
Other_circulatory_disease,0.161,0.263,-0.049,0.066,0.005,0.19,-0.081,0.014,0.211,-0.051,0.079,0.107
Chronic_kidney_disease,0.183,0.255,0.068,0.448,0.17,-0.041,-0.161,-0.104,-0.153,0.165,0.029,-0.145
Glaucoma,-0.019,0.254,0.187,0.101,-0.14,0.166,-0.111,0.083,0.244,-0.072,0.102,0.018
Diabetes,0.141,0.252,-0.104,0.279,0.17,-0.095,0.074,0.229,0.135,0.022,0.14,-0.07
Peripheral_and_visceral_atherosclerosis,-0.016,0.244,0.117,0.141,-0.101,0.06,0.164,0.138,0.189,0.013,0.226,-0.008
Hypertension,0.456,0.234,0.116,0.4,-0.048,-0.111,0.176,0.01,0.11,0.039,0.081,0.017
Depression_and_Mood_disorders,0.13,0.209,-0.096,0.133,0.262,0.237,-0.164,0.227,0.131,-0.084,0.08,-0.099
Allergic_rhinitis,0.362,0.173,-0.096,-0.235,0.055,0.31,0.026,0.081,-0.291,0.036,0.063,0.071
Cardiac_dysrhythmias,-0.057,0.135,0.889,0.059,0.119,-0.037,0.065,0.104,0.087,-0.039,-0.133,0.029
Chronic_ulcer_of_skin,-0.073,0.129,0.197,0.09,0.248,0.056,-0.206,0.111,-0.034,0.188,0.084,0.153
Coagulation_and_hemorrhagic_disorders,0.143,0.11,0.488,-0.037,-0.082,0.011,0.087,-0.107,-0.043,0.231,-0.05,0.244
Heart_valve_disorders,0.027,0.102,0.001,-0.024,0.09,0.081,-0.048,0.034,0.041,0.928,0.046,-0.063
Cataract,0.074,0.101,0.27,0.197,0.106,0.313,-0.103,0.009,-0.117,0.036,0.114,-0.254
Anxiety_disorders,0.247,0.095,-0.003,-0.061,0.184,0.213,-0.092,0.176,0.067,-0.199,0.001,-0.124
Diverticulosis_and_diverticulitis,0.31,0.093,0.17,-0.033,-0.028,0.063,0.188,-0.008,-0.054,0.096,0.183,0.095
Hyperplasia_of_prostate,0.222,0.092,0.167,0.146,0.005,0.015,0.112,-0.155,0.016,0.019,0.293,0.036
Neoplasms,-0.031,0.086,0.21,0.044,0.133,0.07,-0.151,-0.216,-0.006,-0.34,0.052,0.117
Osteoporosis,-0.01,0.073,0.025,0.05,0.011,0.104,-0.098,-0.024,0.046,-0.065,0.061,0.938
Obesity,0.402,0.07,-0.046,0.239,0.135,-0.185,0.366,0.197,0.087,0.07,-0.143,0.058
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.356,0.057,0.077,-0.078,0.071,0.282,-0.195,0.126,-0.13,-0.059,0.093,0.109
Obstructive_Sleep_apnea,0.248,0.054,0.009,0.187,0.452,0.06,0.318,-0.015,-0.014,-0.112,-0.152,0.08
Sexual_disorders,0.229,0.051,-0.306,0.186,0.09,0.037,0.054,0.283,0.102,0.013,-0.336,0.043
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.198,0.049,0.236,0.118,0.076,0.106,-0.221,0.069,-0.132,-0.338,0.266,-0.13
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.046,0.027,0.119,0.053,0.305,-0.072,-0.192,0.05,0.076,0.111,0.18,0.117
Urinary_incontinence,-0.039,0.023,0.086,0.01,0.921,0.058,0.021,-0.043,-0.022,0.099,0.123,-0.001
Disorders_of_lipid_metabolism,0.532,0.019,-0.044,0.101,0.007,-0.005,0.012,0.169,0.139,0.062,0.069,0.01
Alcohol-related_disorders,0.114,0.014,0.167,-0.061,-0.065,0.155,0.384,-0.045,0.052,-0.175,0.113,0.046
Myodesopsia_and_other_eye_disorders,-0.017,0.009,0.109,0.173,-0.017,0.226,-0.115,0.087,-0.199,0.042,0.204,0.207
Hepatic_steatosis_and_other_liver_diseases,-0.021,0.009,0.045,-0.077,0.028,0.129,0.955,0.034,-0.025,-0.026,0.112,-0.089
Esophageal_disorders,0.023,0.006,-0.003,0.128,0.106,0.145,0.136,-0.087,-0.075,-0.014,-0.141,0.03
Other_male_genital_disorders,0.084,0.005,-0.155,0.066,-0.161,-0.052,0.138,0.347,0.036,-0.058,0.038,0.345
Osteoarthritis,0.383,0.004,0.18,-0.007,0.135,0.216,-0.061,0.183,0.007,0.04,-0.105,0.067
Vision_defects,0.327,0.003,0.077,-0.212,0.211,-0.159,0.014,0.188,0.08,-0.336,0.074,0.149
Inflammatory_conditions_of_male_genital_organs,-0.052,-0.033,0.063,-0.041,-0.041,0.026,0.009,0.986,-0.093,0.027,0.04,-0.022
Gout,0.427,-0.037,0.218,-0.059,0.087,0.038,0.165,-0.133,-0.096,0.081,-0.123,0.209
Acute_cerebrovascular_disease,-0.008,-0.038,0.049,0.035,-0.013,0.047,-0.007,-0.096,0.961,0.035,0.042,0.05
Psoriasis_and_other_inflammatory,0.384,-0.043,0.19,0.235,-0.363,0.114,0.026,0.074,-0.291,-0.008,-0.02,0.023
Other_non-traumatic_joint_disorders,0.327,-0.056,0.379,-0.145,0.011,-0.003,-0.15,-0.047,0.212,0.236,0.124,-0.083
Irritable_bowel_and_other_GI_disorders,-0.008,-0.063,-0.124,0,0.101,-0.036,0.109,0.059,0.05,0.034,0.935,0.068
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,-0.06,-0.069,0.01,0.986,0.006,0.061,-0.06,-0.026,0.04,-0.04,-0.008,0.065
Transient_cerebral_ischemia,0.193,-0.105,0.287,-0.087,0.176,-0.067,-0.213,0.165,0.321,0.154,-0.114,-0.073
Neuropathy_and_other_nervous_system_disorders,-0.047,-0.114,-0.036,0.064,0.051,0.929,0.158,0.035,0.062,0.08,-0.029,0.121
Thyroid_disorders,0.455,-0.137,-0.035,-0.004,0.119,-0.172,-0.062,-0.069,-0.11,0.162,0.035,0.274
