"",ML20,ML19,ML17,ML16,ML5,ML8,ML11,ML15,ML9,ML2,ML6,ML12,ML4,ML10,ML3,ML1,ML13,ML7,ML14,ML18
Allergic_rhinitis,0.013,0.752,-0.019,-0.097,0.014,-0.078,-0.254,0.052,0.002,0.022,-0.028,0.126,0.126,0.012,0.038,-0.035,0.122,0.028,0.164,0.034
Depression_and_Mood_disorders,0.004,0.601,-0.026,0.074,-0.084,0.005,0.212,0.101,0.003,-0.116,0.002,-0.092,0.015,0.18,0.01,0.236,0.017,0.113,0.018,0.09
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.02,0.437,0.095,0.182,0.139,0.019,-0.093,-0.054,-0.028,-0.14,0.042,-0.019,0.079,0.13,0.008,-0.014,0.076,0.027,-0.006,0.078
Neuropathy_and_other_nervous_system_disorders,-0.21,0.3,-0.192,0.054,0.361,0.271,0.172,-0.299,-0.018,0.341,0.178,0.117,-0.001,0.094,0.019,0.062,0.133,-0.103,-0.199,-0.171
Headache__including_migraine,0.269,0.289,-0.141,0.122,-0.077,0.173,0.141,0.202,-0.066,-0.03,0.268,-0.18,0.005,-0.147,0.062,-0.123,-0.124,0.025,-0.063,-0.071
Ischemic_heart_disease,-0.109,0.251,-0.015,-0.028,0.064,0.112,0.334,0.272,0.199,0.087,0.142,0.092,-0.149,-0.065,0.119,-0.257,-0.05,-0.142,0.108,-0.041
Obstructive_Sleep_apnea,0.369,0.233,0.153,0.043,0.089,0.059,-0.039,0.025,-0.018,0.364,0.144,-0.167,0.044,-0.075,-0.164,0.24,-0.18,0.211,-0.04,-0.021
Osteoarthritis,0.366,0.196,0.117,0.03,0.114,0.202,0.021,-0.064,0.107,-0.026,0.042,0.021,-0.061,0.178,-0.002,0.04,-0.025,-0.146,-0.065,-0.16
Hyperplasia_of_prostate,0.03,0.172,0.158,0.178,0.034,0.174,0.087,0.054,-0.071,0.144,-0.127,-0.012,0.107,-0.131,0.123,-0.033,-0.031,0.037,0.092,0.315
Diverticulosis_and_diverticulitis,0.181,0.159,0.24,0.069,0.127,-0.005,-0.107,0.022,-0.021,0.269,0.268,0.107,-0.278,-0.061,-0.169,-0.225,-0.085,-0.014,-0.014,0.164
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.042,0.159,0.183,-0.07,0.104,0.044,0.104,0.101,-0.041,-0.148,-0.036,0.03,-0.102,0.034,0.275,0.409,-0.071,0.191,-0.128,0.303
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.02,0.131,0.163,0.146,-0.037,0.202,-0.167,-0.103,0.279,-0.212,0.161,-0.295,-0.086,0.038,-0.232,-0.105,0.117,-0.216,-0.007,0.1
Other_non-traumatic_joint_disorders,0.107,0.125,0.374,-0.045,-0.125,0.123,0.205,-0.048,-0.047,-0.177,0.061,0.279,-0.012,-0.075,0.12,-0.013,0.102,0.017,0.02,0.141
Myodesopsia_and_other_eye_disorders,0.022,0.121,0.001,0.207,0.298,0.103,-0.153,-0.081,-0.055,-0.1,0.069,0.076,-0.112,0.118,-0.226,-0.109,0.153,-0.237,0.027,0.035
Disorders_of_lipid_metabolism,0.469,0.11,-0.037,0.101,-0.033,0.067,0.121,-0.077,0.259,-0.112,0.026,0.074,0.203,0.11,-0.036,-0.147,0.102,-0.039,0.002,0.047
Transient_cerebral_ischemia,0.095,0.106,0.383,-0.106,-0.085,0.057,0.268,-0.084,-0.029,-0.121,0.142,0.168,-0.22,0.078,-0.09,0.077,-0.225,0.105,0.112,-0.063
Congestive_heart_failure__nonhypertensive,-0.01,0.086,0.064,0.11,0.054,0.027,-0.049,0.861,0.119,-0.005,0.012,0.139,0.032,-0.059,-0.063,0.03,0.02,-0.047,0.012,-0.135
Coagulation_and_hemorrhagic_disorders,-0.038,0.084,0.505,-0.005,0.237,0.052,-0.036,0.074,0.148,0.141,-0.127,0.196,0.06,-0.129,0.208,-0.101,-0.137,-0.018,0.051,-0.036
Other_circulatory_disease,0.012,0.074,-0.126,-0.051,0.17,0.154,0.267,0.187,0.075,-0.004,0.254,-0.004,0.07,-0.04,0.219,0.008,-0.106,-0.062,0.141,0.034
Hypertension,0.374,0.072,0.171,0.19,0.014,0.109,0.093,0.115,0.289,0.042,0.056,0.02,0.062,-0.089,-0.093,-0.238,0.135,0.111,0.016,0.057
Vision_defects,-0.008,0.059,0.029,0.068,0.052,0.069,0.049,-0.029,-0.013,0.045,0.048,-0.13,-0.084,0.041,0.037,0.05,-0.018,0.046,0.947,0.017
Alcohol-related_disorders,0.032,0.054,0.06,-0.065,0.009,-0.016,0.049,0.029,-0.032,0.09,-0.02,-0.049,-0.086,-0.051,0.088,0.044,0.931,0.143,-0.018,0.041
Esophageal_disorders,0.004,0.054,0.046,-0.07,-0.001,0.008,-0.018,0,-0.023,0.047,0.131,0.016,0.954,-0.057,0.052,0.057,-0.085,0.006,-0.088,-0.022
